x	Y_20180212_14590b_1_14g	Y_20180212_14590b_1_3g	Y_20180212_14590b_10_4g	Y_20180212_14590b_11_2g	Y_20180212_14590b_12_3g	Y_20180212_14590b_13_4g	Y_20180212_14590b_13_5g	Y_20180212_14590b_13_7g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_3g	Y_20180212_14590b_15_5g	Y_20180212_14590b_16_4g	Y_20180212_14590b_16_5g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_18_5g	Y_20180212_14590b_18_9g	Y_20180212_14590b_19_1g	Y_20180212_14590b_19_2g	Y_20180212_14590b_19_4g	Y_20180212_14590b_19_5g	Y_20180212_14590b_19_6g	Y_20180212_14590b_2_1g	Y_20180212_14590b_2_3g	Y_20180212_14590b_20_1g	Y_20180212_14590b_20_2g	Y_20180212_14590b_21_4g	Y_20180212_14590b_21_5g	Y_20180212_14590b_22_3g	Y_20180212_14590b_22_4g	Y_20180212_14590b_23_1g	Y_20180212_14590b_23_2g	Y_20180212_14590b_23_4g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_4g	Y_20180212_14590b_24_5g	Y_20180212_14590b_26_6g	Y_20180212_14590b_27_4g	Y_20180212_14590b_27_6g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_1g	Y_20180212_14590b_29_4g	Y_20180212_14590b_31_1g	Y_20180212_14590b_31_3g	Y_20180212_14590b_32_2g	Y_20180212_14590b_34_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_38_1g	Y_20180212_14590b_38_3g	Y_20180212_14590b_38_5g	Y_20180212_14590b_39_1g	Y_20180212_14590b_39_5g	Y_20180212_14590b_4_3g	Y_20180212_14590b_4_6g	Y_20180212_14590b_4_7g	Y_20180212_14590b_40_2g	Y_20180212_14590b_41_1g	Y_20180212_14590b_41_3g	Y_20180212_14590b_41_4g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_46_1g	Y_20180212_14590b_46_5g	Y_20180212_14590b_47_4g	Y_20180212_14590b_48_10g	Y_20180212_14590b_48_13g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g	Y_20180212_14590b_5_11g	Y_20180212_14590b_5_2g	Y_20180212_14590b_5_4g	Y_20180212_14590b_6_3g	Y_20180212_14590b_6_7g	Y_20180212_14590b_6_8g	Y_20180212_14590b_7_6g	Y_20180212_14590b_8_2g	Y_20180212_14590b_8_4g	Y_20180212_14590b_9_1g	Y_20180212_14590b_9_6g
0	41124.07	36300.645	33752.84	37022.137	34079.453	35912.184	35526.812	37640.773	35847.152	35952.977	40758.324	42730.676	40279.844	35633.102	36945.051	40087.004	31745.402	30545.426	30529.967	32449.064	39471.973	34531.102	36681.367	37063.941	38109	40485.27	41029.762	35934.219	32481.221	37616.043	37355.82	32697.143	41694.23	34872.238	37415.621	42047.309	36125.449	32887.469	41998.355	37694.961	38534.883	34927.414	38547.074	32059.566	40203.473	37859.602	37080.277	39678.254	38066.301	38216.105	35658.988	39928.684	33020.387	39392.367	40824.391	36347.246	38060.156	40659.625	37735.258	33840.566	36671.148	40189.668	35134.066	39428.469	44599.109	33568.625	42623.223	43138.934	41927.527	38077.074	41255.922	35515.492	33651.5	40054.496	35422.367	37392.699	32993.445	37137.055	38038.793	35931.973	37832.555
0.1334	39962.773	37478.16	34936.633	35727.309	35724.398	36481.434	34417.16	39112.789	36662.035	36185.316	39527.562	42794.32	40643.016	36252.168	37105.164	40162.211	32614.426	30017.975	30407.211	32421.062	38199.734	34897.324	36909.391	36900.598	39930.309	39602.816	42750.047	36521.441	32884.68	38616.707	38975.234	33765.141	39826.613	35123.84	38766.426	40817.82	37918	32494.057	40495.008	36924.898	40018.078	35521.535	37708.883	33250.484	41247.93	38608.457	37681.641	40914.125	40859.012	38338.895	35533.312	39927.738	35400.465	40548.547	40197.352	37130.004	39192.305	40225.918	38037.344	34844.203	39087.891	39503.926	36454.793	38752.949	43580.836	33088.191	40292.391	41378.125	42949.492	37155.887	40606.348	35848.477	32626.566	39921.215	35264.727	37493.316	32473.928	37036.699	37224.438	36001.477	40166.82
0.2668	40606.293	36485.352	34799.426	35840.82	35494.805	37419.492	35043.684	40358.645	37307.434	36045.969	38507.695	40689.062	41439.195	36553.176	37449.355	39570.328	33536.93	29847.996	32589.539	33323.422	38933.652	33587.055	36590.91	36279.082	39568.285	39480.852	42194.469	35870.137	34885.047	37612.449	37177.25	34301.516	39409.348	36251.637	37441.359	42419.09	37710.16	33865.434	39059.027	36671.211	40485.289	33871.59	38027.191	32802.297	40547.156	39514.684	37545.344	39760.82	39302.434	38380.488	34569.312	39052.16	35782.246	38305.508	39172.598	37463.992	37679.301	38676.836	38285.758	36193.223	38032.988	40238.312	36104.887	40379.52	43468.324	33786.727	39450.973	42922.43	43434.891	37290.148	39970.168	36320.375	33526.938	38466.113	36041.395	35864.832	36359.172	35329.695	36022.043	35094.23	40347.848
0.4003	40937.852	37132.312	34999.508	35209.629	36406.867	37167.449	36837.672	40603.176	36310.898	34940.773	39117.738	40576.875	40493.121	36575.02	37857.992	38460.281	33238.555	31849.594	32187.719	33668.043	37512.574	33045.148	35346.934	37981.18	39038.113	39852.906	42196.75	36780.195	33355.098	39240.383	36881.449	35551.133	40343.07	37538.586	37305.531	43425.754	36392.012	34636.598	40537.867	37731.555	36735.715	35324.926	37438.445	30646.9	38684.457	38769.223	37967.656	40285.422	43310.414	36744.664	34388.977	37775.715	34939.68	38407.785	38130.168	36453.684	39761.137	40951.879	38743.121	34448.043	38248.59	40602.508	35971.801	40463.715	42908.492	33775.617	41638.48	41493.121	44480.977	37952.027	39129.781	36094.562	33663.602	40680.652	35123.805	35595.301	38499.715	35203.621	36483.094	37480.531	40082.793
0.5337	39811.77	37383.723	35083.113	35145.223	36615.277	37042.727	33672.457	40534.316	36164.574	35795.047	40853.398	40869.242	41826.445	36354.328	37698.254	37816.195	33416.324	30908.426	33196.047	33957.289	37735.082	33708.277	35763.734	36468.844	39006.75	40770.945	41614.469	38521.059	33958.922	39110.406	36646.062	34671.723	40676.375	37402.516	37185.289	40559.895	39012.492	33885.457	39828.688	38357.781	37532.297	36109.48	37810.246	33278.109	40063.918	38634.152	37512.664	40120.68	41078.965	36297.938	33127.438	39067.93	33576.059	39951.348	42312.453	35411.684	37615.879	40430.668	39018.586	34091.406	39042.02	39933.543	36301.926	38961.547	41417.965	34698.59	40977.285	41676.379	42142.352	38356.973	41528.707	35948.328	34286	39269.031	35393.516	35735.602	36300.539	36332.18	37586.477	37023.387	40684.211
0.6671	39943.43	35949.73	35098.191	35891.984	35466.09	37203.152	33967.82	39142.551	36378.664	35256.695	39791.125	40015.625	40322.5	36322.758	37886.082	38799.422	35157.727	32415.496	34456.648	35210.176	37601.66	34948.406	36255.809	35541.461	38704.723	40391.227	41349.406	38197.668	33465.438	38550.059	35922.551	34581.895	40946.641	38684.961	38427.449	40463.301	37322.227	33072.48	39952.133	36878.848	39305.07	35418.695	38023.762	31775.604	39349.465	38374.727	37782.742	40618.316	40589.219	37854.133	32767.574	38230.488	36996.055	41545.117	39930.574	35511.891	37460.191	40536.422	39496.191	36248.598	38729.008	39942.156	34604.406	39583.609	40711.164	34411.113	42539.238	40391.562	42713.316	38864.422	40010.609	35505.121	34137.836	37613.516	36257.844	36129.434	34512.273	37043.82	36259.492	36887.566	39556.902
0.8005	42317.461	36089.246	35892.77	35893.641	35116.348	37010.73	34148.113	39616.398	34314	35999.5	39449.207	39145.293	41968.961	36669.543	38273.094	39686.141	34202.641	32291.699	33577.41	34912.793	38419.246	33559.75	37018.133	34459.09	41056.926	38490.527	41659.016	38208.23	36117.352	40047.957	35502.52	33670.602	42109.109	36358.105	38014.605	39947.145	35873.469	34760.664	41021.934	37275.652	40425.312	35262.453	36613.465	31771.035	39676.184	36293.008	38030.852	38404.832	40575.039	37045.367	32668.404	39907.312	37949.879	41157.219	40005.965	33785.281	37398.449	40713.559	41125.859	35781.145	39839.512	40640.512	33614.164	38544.859	42331.457	35797.324	42708.863	42633.551	41838.148	38195.285	40111.672	34022.672	33834.086	37858.188	35739.055	36604.633	35081.16	36318.551	37633.711	38766.516	40930.727
0.934	43147.613	36294.941	35976.43	37209.582	35907.016	37227.445	34616.367	42752.668	35757.414	35100.941	40275.445	41429.719	40190.293	38884.25	39446.77	41275.305	35524.672	32016.971	31947.998	34955.809	38458.914	34828.07	37304.188	35982.656	40753.418	37929.367	42473.578	39825.484	33419.609	38680.906	34466.418	34760.402	42108.941	37995.945	39193.191	41278.125	36934.953	33340.328	39952.762	39205.516	41691.547	37249.074	37050.723	31950.824	39287.809	38315.102	38990.055	40514.137	38550.297	36596.07	33559.527	41008.559	38172.094	43532.07	40176.906	36200.926	37220.332	40124.852	40840.355	36365.965	40654.605	40178.098	30715.617	40423.109	41338.453	35803.941	43097.215	41489.465	41601.672	40163.684	38833.922	36491.906	35901.336	38762.832	34601.016	37816.668	34105.645	36592.621	37350.465	38306.793	42048.031
1.0674	43019.582	35713.148	37396.516	35746.879	37409.512	37782.984	34988.07	43510.805	36270.777	35932.336	40505.102	41822.359	43011.801	41082.414	38507.047	41973.605	34443.102	34627.09	32242.488	34173.66	38874.863	35467.289	35484.184	36466.566	40176.613	38980.141	41850.781	38195.863	33646.078	36135.195	34728.273	34293.34	39894.695	37898.754	39286.895	39966.531	37549.363	34346.141	40570.656	37527.629	40666.164	36260.176	37790.559	31931.756	40121.473	37152.887	41206.816	41092.773	41064.84	36988.781	33765.91	41304.508	39939.875	45859.223	42384.309	35135.742	40031.93	39328.746	40572.375	38039.031	39152.262	39766.406	33378.176	40436.512	41936.125	35763.246	42202.773	41663.254	41294.32	38097.344	38206.734	35924.727	36703.555	38684.617	36998.59	37384.113	35697.703	36067.613	38006.914	38675.465	43733.605
1.2008	42133.953	38439.887	37439.676	37217.184	36008.816	36640.117	36012.324	49923.988	35295.875	35646.012	40511.637	45452.102	45612.266	43174.535	38754.09	41814.98	35238.809	34690	32623.506	34133.855	38205.805	35676.312	36771.32	39657.441	41292.812	38442.082	43310.227	40174.234	36629.328	35989.547	36632.801	35656.539	41694.949	37705.48	39585.066	40387.758	40036.648	34819.723	40667.25	38412.852	41674.242	37147.402	39489.602	32335.568	40827.594	41532.668	46973.164	44769.773	40262.672	37722.586	34439.68	39754.703	40622.633	49945.258	43468.875	35372.961	39225.945	38870.539	40343.668	39594.23	40779.047	38769.043	35279.715	40637.617	43376.535	36662.758	43438.793	43915.316	41329	38192.551	40686.48	37114.062	36771.137	41996.562	36567.777	39244.105	33705.781	38077.352	37979.285	42224.445	43487.805
