x	Y_20180212_14590b_1_4g	Y_20180212_14590b_12_5g	Y_20180212_14590b_15_8g	Y_20180212_14590b_17_8g	Y_20180212_14590b_18_7g	Y_20180212_14590b_22_1g	Y_20180212_14590b_22_5g	Y_20180212_14590b_25_2g	Y_20180212_14590b_25_3g	Y_20180212_14590b_30_2g	Y_20180212_14590b_34_4g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_6g	Y_20180212_14590b_39_3g	Y_20180212_14590b_4_8g	Y_20180212_14590b_43_1g	Y_20180212_14590b_44_1g	Y_20180212_14590b_44_6g	Y_20180212_14590b_45_2g	Y_20180212_14590b_5_3g	Y_20180212_14590b_6_4g	Y_20180212_14590b_6_6g	Y_20180212_14590b_7_8g
0	41542.457	41794.918	35912.207	35571.484	41083.199	36956.254	40277.996	40447.977	40780.887	38129.453	32461.391	36069.684	37000.133	38114.559	34947.336	32916.906	40456.066	42247.215	37905.781	35766.477	38986.641	37006.059	38959.781
0.1334	39769.434	41884.109	34301.992	33724.199	40219.262	37123.488	40144.848	41289.691	40024.723	38894.203	32488.57	36174.715	38369.906	37365.082	35693.961	35096.004	40207.934	40868.84	38193.816	34157.562	39277.969	38540.48	38584.262
0.2668	39855.133	38631.98	34433.836	32701.52	38933.621	37836.988	40302.035	41256.191	41169.738	38840.027	33677.332	36571.625	39914.527	37836.918	38429.086	36795.926	41232.016	41963.23	35982.648	35483.031	41251.145	37728.996	38061.535
0.4003	38070.668	39904.16	35984.605	32875.121	40822.129	37974.758	40899.82	40923.172	41074.41	40659.262	33923.949	37689.867	38685.453	39290.957	38263.121	38355.184	40835.996	41394.098	38044.23	34964.277	40524.281	37896.234	37093.145
0.5337	38107.422	42428.148	34484	35161.086	41030.539	37415.629	40519.219	41234.957	39811.789	40111.824	32734.273	37341.672	39587.262	38648.027	37558.48	34314.551	42736.977	40925.547	38646.355	33212.207	41256.664	38296.465	36162.059
0.6671	40119.898	41310.32	34223.254	34224.5	39497.121	37041.254	40837.852	41208.93	41544.551	39139.699	32846.945	36936.977	40088.562	38600.711	36989.707	34604.867	39917.91	41238.223	37592.648	34428.363	39907.957	38157.148	35638.566
0.8005	39074.973	40617.266	36130.426	33295.242	38886.773	37588.609	39828.512	39433.898	39429.574	39387.656	32198.23	36509.699	40086.266	39578.473	36631.77	36684.766	38927.23	42971.672	37067.25	35456.66	40943.332	40052.789	37262.633
0.934	38690.867	41343.922	36858.5	34595.824	39030.277	37887.047	40270.57	39313.062	37949.719	40805.504	33826.488	38723.375	40624.816	39927.641	35364.074	35929.793	41604.328	41876.312	37414.215	33888.168	39541.559	40516.809	37127.688
1.0674	39006.316	40803.082	35496.973	35662.117	39386.891	37061.312	40793.496	40561.867	39595.129	39916.551	33469.695	38659.039	39896.703	40886.797	37161.555	36832.547	42065.645	42520.609	38158.223	34921.641	37332.246	40126.438	35020.191
1.2008	39762.742	40018.891	35999.98	36862.121	40521.781	38881.996	40231.387	39037.344	43497.047	37927.309	33322.898	39911.816	42432.145	39021.613	36078.43	36812.469	41552.953	43470.941	37421.793	36943.352	37658.395	40456.156	36635.402
1.3342	39568.695	41191.941	35021.074	38908.574	39022.266	37581.363	40613.188	40015.195	42237.648	39777.141	32972.711	39841.121	42040.293	38552.723	35316.777	35887.227	40891.168	42672.84	40786.809	34312.438	38037.504	40128.277	37760.281
1.4676	40535.047	41205.348	37855.742	42058.488	39937.168	39181.375	41595.402	42346.625	43775	39394.172	33777.371	40761.434	42224.105	39004.109	37336.66	39972.934	40142.711	44180.145	43864.93	36147.281	37963.578	40944.938	37272.219
1.6011	37669.016	42053.625	37318.383	43342.883	40366.309	37517.773	42157.285	42846.047	47091.09	39596.141	33753.809	41622.453	43433.086	39032.469	38805.68	39963.52	40906.875	44507.516	47182.664	38725.664	36528.977	39270.734	38926.621
1.7345	39204.395	41401.309	39897.141	40353.98	44689.961	37948.352	42182.703	45961.934	44754.398	40907.051	34758.574	39720.605	44089.66	42188.422	40865.023	40907.145	42865.16	44214.168	49900	44948.824	38120.594	41627.07	38439.375
1.8679	40065.504	42154.23	47324.406	39973.305	52480.121	38832.707	45182.84	54433.598	52915.199	41686.586	38848.832	42550.043	46002.742	45109.613	39384.391	41975.719	43017.109	44165.258	63463.77	52617.449	40570.75	43811.363	36385.059
2.0013	42573.715	43187.539	65203.352	43049.301	65967.125	40811.156	52443.219	69623.852	62352.305	44681.98	41816.363	45114.316	53832.184	52761.641	45695.09	45792.812	43572.988	44079.797	93985.086	75563.898	41859.344	49778.828	37597.898
2.1348	51806.77	51451.645	95649.516	51652.977	107883.219	42402.645	67110.219	103651.367	86933.273	51126.465	54734.023	54773.629	70943.227	77562	55173.258	56553.309	45669.746	47667.332	150955.297	100609.555	44648.031	70463.398	38433.922
2.2682	72367.625	65388.559	107010.328	72036.406	151358.625	49822.684	99545.57	133545.656	139269.875	65205.293	78349.195	74803.023	122617.43	107158.922	78923.219	80374.469	51380.531	59671.375	181794.125	132113.422	53248.637	109768.273	40254.09
2.4016	113115.391	106085.727	83391.055	108486.336	122622.461	69503.828	145864.25	113533.969	164111.234	99841.398	111552.234	110701.547	206252.891	110428.742	116598.383	126221.883	58077.824	83623.562	146628.938	136550.25	70523.953	123062.492	44338.41
2.535	127988.945	144519.734	56281.121	121862.914	77688.789	112433.758	146773.938	74107.555	125287.234	141704.125	107470.273	119007.578	247321.734	80597.922	123708.312	139031.312	75668.617	107868.023	91934.492	94449.188	113514.609	98838.5	56507.137
2.6684	91416.641	134594.734	NaN	93832.969	53537.824	163092.734	98567.789	52922.355	78834.484	131042.992	70541.422	86118.422	220934.281	55350.281	82906.68	99752.742	111183.93	100136.141	58700.684	59365.516	164015.016	73184.672	80667.094
2.8019	62472.777	84832.727	NaN	57051.488	44154.34	136669.562	64086.445	46045.586	58325.844	88801.578	48705.672	NaN	144039.719	46134.48	57890.484	66118.18	144807.203	72644.102	49177.922	47091.809	162501.188	NaN	112079.992
2.9353	50597.348	58991.094	NaN	43646.98	NaN	82220.188	51472.188	NaN	NaN	61252.496	NaN	NaN	79869.422	NaN	NaN	51677.688	120970.336	54258.051	NaN	NaN	101913.281	NaN	107731.758
3.0687	45573.359	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42951.176	77494.891	45341.879	NaN	NaN	65826.75	NaN	73398.57
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55668.125	NaN	NaN	NaN	48998.242	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46888.824	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
