x	Y_20180130_15100b_10_11g	Y_20180130_15100b_10_6g	Y_20180130_15100b_11_2g	Y_20180130_15100b_12_5g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_1g	Y_20180130_15100b_13_3g	Y_20180130_15100b_13_6g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_6g	Y_20180130_15100b_17_13g	Y_20180130_15100b_19_1g	Y_20180130_15100b_19_7g	Y_20180130_15100b_20_3g	Y_20180130_15100b_20_4g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_3g	Y_20180130_15100b_21_4g	Y_20180130_15100b_22_11g	Y_20180130_15100b_22_19g	Y_20180130_15100b_22_9g	Y_20180130_15100b_24_14g	Y_20180130_15100b_4_12g	Y_20180130_15100b_4_14g	Y_20180130_15100b_4_20g	Y_20180130_15100b_4_21g	Y_20180130_15100b_5_19g	Y_20180130_15100b_5_6g	Y_20180130_15100b_6_4g	Y_20180130_15100b_6_9g	Y_20180130_15100b_7_11g	Y_20180130_15100b_8_2g
0	37223.125	34380.934	32408.176	33784.664	38116.285	37510.301	37439.852	34305.914	32865.672	36657.277	37792.383	33037.258	34875.859	35627.566	38394.27	45933	33595.68	36602.766	31952.807	31060.918	36601.836	39282.73	38632.254	34862.145	38757.508	32783.664	34228.246	41625.566	35240.926	34445.258	40972.91	37144.652
0.1334	38280.395	33992.957	33507.289	34019.148	38859.98	38113.863	36561.566	34590.355	35089.723	35914.812	37045.582	32381.379	33388.156	35580.559	39104.285	41166.934	32378.328	37414.246	32738.754	29690.715	37020.332	39050.91	39375.598	35682.578	38395.848	32557.252	33142.094	40372.035	36269.723	33808.352	41299.27	35669.652
0.2668	35516.965	34566.562	35886.164	33953.887	38929.48	36690.992	39596.367	33972.742	34179.129	36387.023	36053.211	32034.236	34598.062	35890.629	38640.215	37952.254	32727.221	37976.012	33161.965	30193.4	35699.316	38328.316	38528.238	34584.648	38549.523	32499.922	34416.43	40186.828	37248.441	34293.379	41266.59	38193.129
0.4003	37450.879	34429.461	37172.02	34224.215	38858.812	38312.73	37527.32	34670.879	33705.367	36043.375	39463.762	32475.479	33542.195	34943.352	39594.156	35616.508	32671.422	39918.453	33760.602	32324.939	38294.48	39157.945	37606.785	36269.938	36369.875	32455.512	36939.137	39134.008	36647.855	34765.16	39015.422	37904.227
0.5337	39321.297	34727.707	34861.352	33714.719	40897.43	39416.113	39493.805	34069.984	34254.961	36386.656	37471.035	31895.18	34121.957	36030.605	41602.172	35066.301	33150.016	37898.391	34962.434	32707.031	36959.996	38887.094	37785.691	36835.184	37376.129	32670.439	36749.793	38546.723	38949.586	35612.176	38947.258	37705.398
0.6671	37595.348	35189.703	35595.434	32585.969	38521.883	38419.867	40712.785	34266.242	34360.355	35703.871	38878.789	31508.34	36132.027	34912.133	40441.453	36663.504	33177.109	36848.352	33981.332	32471.285	37345.977	39834.676	39315.141	36865.648	37187.465	31498.941	36006.199	40185.18	38714.012	34413.199	39515.367	37592.039
0.8005	36979.797	35091.102	38022.086	34407.164	36796.887	38153.363	38833.117	33141.363	34550.84	35996.984	38873.387	31571.873	37165.918	35598.195	44812.109	37105.535	34453.039	37115.035	33466.652	33174.602	37743.02	39827.16	39722.539	36483.285	38496.355	32143.875	35111.297	39333.84	36260.746	34397.355	39374.484	37175.699
0.934	39562.234	34295.734	42773.484	33873.168	37337.805	39835.012	40933.332	32951.984	35962.441	37176.699	38576.406	32076.719	41269.461	35112.859	45315.41	35846.445	34536.812	37617.559	34193.078	32522.291	39848.5	40403.43	39183.098	35571.375	37567.055	34354.18	35620.309	40437.082	38894.352	34763.262	39146.312	37107.859
1.0674	39811.68	35486.207	47491.57	33974.312	37211.617	38120.719	41094.426	35169.234	35179.129	39627.664	41475.441	31711.076	49290.973	36154.445	45394.633	38496.758	33232.684	37714.082	34492.098	31918.252	42817.297	42478.836	38920.031	36513.32	37621.156	35518.02	37395.008	40097.199	40709.668	34821.715	38810.742	35884.004
1.2008	39029.902	36300.348	47903.18	33416.523	36772.848	39413.234	44927.609	35752.52	35502.484	45166.566	47926.215	33195.539	62464.379	35552.203	55937.566	36987.168	34058.191	39095.629	35397	33176.387	46870.855	42264.016	39890.195	35846.793	39344.992	36715.738	37123.973	40199.59	42176.805	35668.223	40903.562	37745.199
