x	Y_20180224_15100_11_6g	Y_20180224_15100_13_6g	Y_20180224_15100_14_2g	Y_20180224_15100_16_1g	Y_20180224_15100_30_4g	Y_20180224_15100_7_10g	Y_20180224_15100_7_3g
0	14529.634	15818.036	13920.353	14250.473	13615.299	14981.556	15437.899
0.1334	15676.964	16298.428	14938.481	15498.399	13206.427	16676.424	15977.862
0.2668	16713.252	18665.562	18459.414	18556.537	14907.315	19763.072	19309.709
0.4003	20881.23	23669.107	22293.613	22086.625	17834.15	21905.389	20130.898
0.5337	26515.557	29957.908	23854.285	25060.443	21148.918	22083.168	19120.902
0.6671	26958.379	31310.939	23143.309	25036.438	22787.578	19603.672	17374.557
0.8005	25364.889	26914.391	20731.916	23315.934	21792.697	16887.783	17494.525
0.934	24785.043	24919.197	21602.203	20742.914	21663.242	16154.622	17766.152
1.0674	22769.414	24645.342	20537.309	20245.982	21238.562	16071.878	17834.078
1.2008	22709.729	23072.672	19364.992	19806.262	20873.367	16090.981	17407.85
1.3342	22559.465	21271.248	17157.734	18134.775	20565.625	16256.073	16712.779
1.4676	21324.32	19950.83	17008.723	16677.014	19392.635	15362.049	16390.938
1.6011	19804.1	19358.615	17192.973	16839.242	17996.725	14830.346	17406.934
1.7345	18524.633	18283.035	16077.187	16182.904	17632.432	15348.612	16763.398
1.8679	17423.178	17502.531	16032.625	15171.972	17978.516	15308.603	15925.693
2.0013	17203.172	17052.004	15220.199	15771.67	16602.322	14931.11	16003.258
2.1348	17145.041	16692.959	15081.177	15274.407	15861.706	15896.776	15878.479
2.2682	17227.314	16314.382	15317.78	15917.739	15430.531	15978.927	NaN
2.4016	16509.477	14780.519	15419.771	15389.891	16070.736	16914.6	NaN
2.535	NaN	15109.058	NaN	15961.456	NaN	NaN	NaN
2.6684	NaN	14654.481	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN
