x	Y_20181208_15692b_12_14g	Y_20181208_15692b_12_4g	Y_20181208_15692b_14_4g	Y_20181208_15692b_2_6g	Y_20181208_15692b_7_7g	Y_20181208_15692b_8_5g
0	13304.3516	10538.8877	9455.6738	10063.5059	15914.2861	9684.8359
0.1334	16005.627	11834.04	10513.6738	10459.1768	19384.9336	10069.4805
0.2668	20686.998	14195.2783	11366.3848	10635.3984	19954.3984	11266.8105
0.4003	20701.3086	17945.4941	13030.751	12230.2373	19187.5898	14200.3799
0.5337	18314.9668	17730.3613	14432.3398	15042.1924	16679.0312	16475.5137
0.6671	16951.8984	15190.6895	13846.5732	19339.1895	15403.6543	15527.959
0.8005	15979.5449	13287.3301	13713.7861	20551.8223	13970.9219	14352.6279
0.934	14927.9658	11870.9131	14319.6758	18129.0332	13994.6035	14222.2754
1.0674	15281.9131	12155.1357	13405.6025	16973.2305	14389.6895	14299.3428
1.2008	15153.4531	12871.5342	13206.8955	17701.4902	14704.1152	14625.5352
1.3342	14759.7695	12472.96	12641.4189	17213.9727	14734.8496	14175.4092
1.4676	14829.6172	12770.8398	12087.1943	17919.9297	14688.3438	13980.835
1.6011	13996.0957	12163.2715	12173.4219	17573.0957	15071.2432	12958.0732
1.7345	13682.666	12929.3389	11516.7783	17684.4551	14203.7754	12246.1631
1.8679	13347.9551	12639.0381	11245.3008	17259.4648	13886.8486	12422.2334
2.0013	12661.6699	11835.7344	11028.2256	16522.6836	13317.501	12819.3506
2.1347	12373.9775	11434.585	10316.8018	15806.2891	13029.0693	12964.8115
2.2682	12279.7139	11910.0283	11190.3506	15550.7744	13248.4785	12777.2812
2.4016	12769.2002	11581.417	12017.6211	15325.6436	13660.7402	12902.9502
2.535	14597.8965	11157.3545	12625.1777	14105.3662	13750.9961	13529.9775
2.6684	14171.2842	11128.9512	12943.792	13227.2344	14557.1572	14820.0469
2.8019	14775.7012	10907.6816	13196.6914	12323.1963	14710.167	14497.9854
2.9353	15186.0781	12437.0488	12959.5459	11774.3975	15349.6162	12824.8018
3.0687	14690.6865	12851.9854	12919.1406	11341.8516	14722.1895	12446.3516
3.2021	13958.3291	13459.6543	12386.7275	11197.3281	14607.9268	12706.5322
3.3355	14025.8027	12482.8418	12119.1221	11600.7959	14577.9463	13111.5645
3.469	13047.1504	11946.165	12016.3428	12006.7158	14171.3301	13161.4229
3.6024	12451.9121	11673.9443	12194.7588	12222.5625	13655.0752	11858.4199
3.7358	12657.2705	11512.1465	11742.415	11732.373	NaN	12589.0928
3.8692	12835.1787	12378.1797	11939.8428	11374.8652	NaN	NaN
4.0027	12324.3984	NaN	11684.7637	12513.8545	NaN	NaN
4.1361	12045.3857	NaN	11900.8682	11857.4189	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
