x	Y_20181208_15693_17_11g
0	9783.1279
0.1334	10914.0439
0.2668	14586.082
0.4003	18297.7578
0.5337	18672.0957
0.6671	17105.8711
0.8005	16331.8057
0.934	15755.2412
1.0674	14537.4688
1.2008	14006.29
1.3342	13810.4473
1.4676	13787.3232
1.6011	13729.3545
1.7345	13058.4131
1.8679	13124.6543
2.0013	12927.0684
2.1347	13077.6191
2.2682	13450.4609
2.4016	13226.2832
2.535	12559.833
2.6684	13777.7285
2.8019	13630.4961
2.9353	13989.3633
3.0687	13663.752
3.2021	14551.6787
3.3355	14209.5957
3.469	13383.5771
3.6024	13385.1416
3.7358	13061.499
3.8692	12332.6602
4.0027	11837.4229
4.1361	11189.958
4.2695	11727.8535
4.4029	11326.5752
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
5.3369	NaN
5.4703	NaN
5.6037	NaN
