x	Y_20181208_15100_1_1g	Y_20181208_15100_1_2g	Y_20181208_15100_11_3g	Y_20181208_15100_11_4g	Y_20181208_15100_13_8g	Y_20181208_15100_14_1g	Y_20181208_15100_15_5g	Y_20181208_15100_16_1g	Y_20181208_15100_16_4g	Y_20181208_15100_3_3g	Y_20181208_15100_5_12g	Y_20181208_15100_5_6g	Y_20181208_15100_6_10g	Y_20181208_15100_6_2g	Y_20181208_15100_6_3g	Y_20181208_15100_6_6g	Y_20181208_15100_7_5g	Y_20181208_15100_7_8g
0	30006.9316	29050.5723	32758.1328	31341.8281	28875.3867	35144.7773	34040.3984	27618.9277	30903.6074	31523.9863	29549.6504	31339.75	32206.8574	31566.4902	29562.1562	31247.4082	30646.2109	31386.3027
0.1334	28640.1523	30448.2305	30928.6953	31402.2617	30860.1133	31087.2148	33095.4805	28150.6035	29872.3848	30072.2109	31892.0684	31723.8906	32959.0977	31851.5449	28950.123	30913.6387	30392.3926	29232.3047
0.2668	28747.4219	30913.1309	30436.623	31618.168	28574.2305	29266.1602	33101.7852	27366.4336	31930.0312	29132.5137	31253.1309	30221.707	31631.1309	33083.5508	29229.3789	31579.3984	30542.5703	29406.377
0.4003	29763.6406	30877.834	31618.5801	31558.3105	28247.4766	29533.127	31994.0195	27491.2969	31225.959	30197.5938	31966.6523	30415.0254	33315.6562	31200.9336	30124.6523	32078.0996	31225	31554.0938
0.5337	28595.248	31747.8809	31581.4238	31807.293	29606.377	29336.6523	33010.9375	27635.4922	31353.125	30480.3047	32748.5	30151.4434	33245.4688	31536.2207	31579.1367	30201.5664	30051.4395	31695.4824
0.6671	28975.0508	31487.6992	31384.8184	32661.5566	29022.1719	28843.7852	32701.6797	27525.2656	29644.5742	29882.2227	31619.5977	30053.7324	33409.3984	31336.7305	30957.1328	29578.8145	29353.4473	31633.2363
0.8005	29384.4824	30931.582	31002.1895	32354.9277	28631.3906	30572.9375	33349.0078	26460.3691	30246.0352	31776.998	31284.4551	30468.2324	32161.8984	30849.9336	31553.1562	31319.0078	30849.9707	32088.1094
0.934	29460.2031	29966.0938	32010.5176	33290.2969	29842.9238	28006.3848	33176.2344	26239.5781	30882.4375	30825.9121	31256.207	31232.9961	31763.3379	31034.8164	31270.7324	30845.4863	30844.4004	32296.166
1.0674	29694.5195	31548.1992	32463.8281	34152.9766	30208.582	31219.1328	33177.7695	27574.1621	30496.5371	33490.1484	30813.0195	30239.0625	31500.9395	31102.2637	31858.4492	30706.0098	30641.1504	32093.5156
1.2008	30530.877	31342.6309	32982.3008	33774.125	30069.4395	30398.2383	33819.0781	27604.2754	30772.9531	30961.8887	31318.5781	31206.8691	31998.7676	31380.0039	32197.5371	30935.2383	31115.1289	31935.6719
1.3342	31797.9492	32770.5234	33061.6523	33811.0938	31162.1758	28534.2715	32027.7871	27270.0059	32778.8828	29560.1582	32496.1895	31671.4141	32038.8887	32276.1875	31806.9473	31839.2598	31723.0938	32690.6289
1.4676	30481.2031	31527.9863	35934.7266	32040.4336	31007.9785	28937.0098	33701.2578	26872.7539	33122.7969	29651.1367	33035.5664	30958.2441	32904.8828	32199.623	32589.5371	30234.8086	32128.082	33041.4805
1.6011	31623.4219	33188.043	37033.6836	32060.541	31440.0625	30994.9043	33887.9062	26988.3398	31865.0156	30593.875	30322.0898	31575.9629	31668.0059	35183.3164	33656.2969	31631.4707	31734.6133	32320.707
1.7345	31337.9824	34049.9023	42206.457	32676.6094	31898.4551	32351.8242	33540.8672	28545.4922	34100.9766	31171.3496	30567.1719	32619.9199	30963	35732.0469	34777.7891	31313.9043	34225.457	34159.7188
1.8679	34931.4648	38710.3984	57008.8867	32075.1133	32777.4844	36918.9141	33336.0703	27886.6387	36623.4258	32546.209	29096.8945	35758.082	33256.9648	40012.7266	38215.1445	30484.4121	39762.0273	35858.1523
2.0013	36293.0898	47721.168	93211.3359	33272.9336	36436.3125	36043.043	35487.4414	29174.0625	42180.6367	39575.0156	29827.8555	43139.7188	33845.0547	51412.3984	41449.8672	33200.0703	48868.332	40489.5859
2.1347	43545.5273	75056.6328	123411.8203	34262.5938	42890.3086	48063.8867	36770.6602	28046.0625	57261.7422	47595.9336	35020.7656	61474.8359	36110.7734	69120.2812	49085.4688	32649.6328	72453.0469	50406.457
2.2682	50836.6172	101564.7031	109305.1484	36665.9961	60066.25	77263.4609	40143.7266	30627.8242	90497.375	53033.9023	36599.4648	97471.0547	41466.6328	75621.3828	68528.3047	34074.5078	94268.8203	71975.2188
2.4016	47969.7383	81522.7969	69921.9844	38010.5117	68739.9375	132996.9219	48317.4492	33671.0234	108505.2266	52900.3086	44208.4453	104072.2266	56233.4102	60541.9531	114185.875	35807.832	78435.8125	76000.2891
2.535	40867.4883	53099.6719	50293.8477	48965.793	57832.9883	160240.2031	67059.6875	41397.125	92265.0391	42151.4023	67232	74687.9297	88038.4844	44201.1719	142890.2969	42937.5039	51048.1055	60526.2969
2.6684	34077.8359	41938.5625	40824.6523	67700.9141	42321.3359	120914.0625	80853.9766	60850.5547	59793.0781	37303.1016	106214.8125	46543.5586	124119.9531	39262.6484	110291.6016	62074.1523	39350.2812	44718.4961
2.8019	33502.7188	36293.3125	39668.5117	82268.1719	33825.7305	69516.8984	70188.8438	82920.0391	46464.7031	34529.5938	110547.125	37261.2578	106486.6797	37419.918	62876.9883	96629.1641	34711.4375	37320.6367
2.9353	33881.8047	34980.8906	NaN	70776.7031	31555.5762	45196.082	50451.2773	78569.5859	46060.3047	31994.7148	80667.8125	34272.6094	70838.4844	35138.3359	40622.8438	112394.0781	32664.3105	NaN
3.0687	33084.668	NaN	NaN	52205.4883	30073.4316	36877.2539	41156.6797	61358.0547	48572.4727	NaN	54769.9922	35095.8906	50314.293	34133.25	35105.5078	82176.3359	31136.3027	NaN
3.2021	NaN	NaN	NaN	41684.9766	29418.2383	35654.2578	37384.9844	67698.9219	NaN	NaN	41814.2344	34248.25	41311.4453	34741.2891	32252.5566	54998.4492	NaN	NaN
3.3355	NaN	NaN	NaN	37443.4062	30099.7539	32707.3848	35589.1094	NaN	NaN	NaN	35829.3711	34266.2891	39110.418	NaN	31333.2441	41185.9844	NaN	NaN
3.469	NaN	NaN	NaN	36120.5391	NaN	NaN	35433.4766	NaN	NaN	NaN	34544.957	NaN	33994.2812	NaN	30597.8613	37152.9688	NaN	NaN
3.6024	NaN	NaN	NaN	35815.332	NaN	NaN	35203.6914	NaN	NaN	NaN	34508.2812	NaN	33611.0664	NaN	NaN	32826.8711	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	34070.8398	NaN	NaN	NaN	NaN	NaN	33441.6484	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
