x	Y_20181208_15100_11_1g
0	9878.4287
0.1334	11184.6807
0.2668	13997.7422
0.4003	16799.4531
0.5337	18599.7129
0.6671	18062.6113
0.8005	16781.1719
0.934	15233.167
1.0674	15204.2598
1.2008	14417.6777
1.3342	13778.082
1.4676	13735.6016
1.6011	14252.6914
1.7345	14603.5205
1.8679	14682.6484
2.0013	14815.5801
2.1347	14987.498
2.2682	14546.6865
2.4016	14482.3301
2.535	14904.0615
2.6684	14563.8867
2.8019	14085.5635
2.9353	14038.1133
3.0687	12874.5049
3.2021	11249.0088
3.3355	11260.7891
3.469	10376.4961
3.6024	10796.0273
3.7358	10834.7275
3.8692	11139.2891
