x	Y_20181208_15692_30_12g	Y_20181208_15692_30_2g	Y_20181208_15692_32_12g	Y_20181208_15692_37_13g	Y_20181208_15692_37_3g	Y_20181208_15692_37_9g	Y_20181208_15692_38_2g	Y_20181208_15692_38_3g	Y_20181208_15692_38_4g	Y_20181208_15692_38_7g	Y_20181208_15692_39_15g	Y_20181208_15692_39_1g	Y_20181208_15692_41_17g	Y_20181208_15692_41_4g	Y_20181208_15692_41_5g	Y_20181208_15692_42_8g	Y_20181208_15692_43_6g	Y_20181208_15692_45_5g	Y_20181208_15692_6_4g	Y_20181208_15692_8_9g
0	32644.373	29340.6406	29914.7539	28923.9434	24784.7227	28244.0508	26001.8184	26950.5078	28312.7949	28983.1348	29914.6562	28869.4414	31373.6094	29490.9473	29154.0645	29056.4512	31372.5742	30882.7578	32549.4961	30672.9082
0.1334	32691.1016	29715.8516	29418.2363	28818.0879	24159.4062	27199.8789	27458.0449	27180.5625	27744.4902	29809.707	29621.6484	28873.0645	31210.1191	29979.3125	30268.4629	28595.5312	29983.8438	30326.8281	32977.5547	29771.2656
0.2668	32196.4336	27512.1465	30169.3965	30251.9902	23854.7402	26919.1172	25858.2793	28121.7891	28053.9355	28385.9004	30687.4141	29154.1582	29657.2656	30005.6504	29269.7188	28934.3105	31721.4629	31365.6543	32695.4238	30400.3145
0.4003	30735.8809	26569.1777	30024.3516	29645.0781	25494.3477	28499.9785	26894.9785	28919.2051	28239.4727	28673.7344	30423.8125	31050.9688	29671.1523	31122.7852	30990.5723	29221.5254	30782.5566	31177.2285	33457.2773	30986.8086
0.5337	33528.8203	28696.2012	30358.4941	29785.1523	24707.2324	28400.457	27539.9023	27592.8242	28197.4238	29872.6191	31110.9199	29012.9551	31642.0488	32285.0195	30328.7324	29105.0957	31334.8652	31184.7441	32959.5625	29812.3613
0.6671	32968.5586	29014.291	30178.9805	31429.2227	24963.168	26564.6562	25215.4453	27185.0234	27914.8809	31172.0645	32990.4844	30501.7168	31863.0508	31908.1445	29675.0781	30469.4844	30754.457	30795.5391	33521.1562	29740.7715
0.8005	33189.7656	28178.8926	30213.2891	32610.3711	25909.8809	27708.3828	27430.4902	28432.252	29741.6113	31180.6094	31903.5996	31229.8223	33399.3125	31371.9199	31590.1055	30262.6504	29399.4668	30507.4609	35856.4531	28938.6797
0.934	34315.1562	29533.8672	30330.6895	30392.8906	26133.8145	27919.125	28324.9805	29364.0547	27786.416	32127.707	31504.0156	31409.1309	33929.293	31889.6172	30722.8945	30574.9609	27946.916	30866.5273	34957.0859	30252.9805
1.0674	33713.6094	28661.2344	30351.7266	29212.4043	26107.3398	26039.7344	27453.6387	29102.7324	28527.0059	32428.6582	32534.3438	30860.4844	32295.1543	32119.6309	31779.5547	30782.3184	29987.2207	31215.5723	35906.4727	30417.1934
1.2008	33405.1602	30089.3301	32243.6816	30261.9258	25241.2871	27838.2617	29227.2305	30017.3145	29176.6523	31020.7715	33753.5586	30715.5078	32471.9609	33098.0039	30639.1738	30821.9707	28227.0293	31870.2969	35548.0039	29908.8594
1.3342	33850.5859	29437.6895	32356.2227	31035.5332	25348.2949	28982.5781	28704.3965	30907.1895	27940.8945	31627.7949	33188.5195	31200.8945	32692.4961	32711.2383	31356.4473	30261.2031	30669.8965	31571.9668	33746.7578	28930.0488
