x	Y_20180224_15100_10_4g	Y_20180224_15100_11_6g	Y_20180224_15100_12_3g	Y_20180224_15100_13_10g	Y_20180224_15100_13_6g	Y_20180224_15100_14_1g	Y_20180224_15100_14_2g	Y_20180224_15100_16_1g	Y_20180224_15100_16_4g	Y_20180224_15100_16_5g	Y_20180224_15100_20_4g	Y_20180224_15100_21_8g	Y_20180224_15100_22_7g	Y_20180224_15100_24_6g	Y_20180224_15100_2_8g	Y_20180224_15100_30_2g	Y_20180224_15100_30_4g	Y_20180224_15100_30_5g	Y_20180224_15100_31_2g	Y_20180224_15100_33_1g	Y_20180224_15100_6_3g	Y_20180224_15100_6_8g	Y_20180224_15100_7_10g	Y_20180224_15100_7_3g	Y_20180224_15100_7_4g	Y_20180224_15100_9_2g
0	39644.543	37503.797	41244.98	33304.395	42193.945	40232.891	37749.012	37519.34	36282.98	36041.152	42643.297	36245.289	36959.219	36303.668	39726.293	38293.684	38957.609	38285.176	35763.52	41472.633	37734.156	38245.535	38926.23	40315.527	38182.043	39793.434
0.1334	39981.176	36108.414	41227.715	34092.82	43341.652	41157.684	37615.328	39049	38118.375	36750.648	43904.77	35565.988	36393.348	36863.359	38453.422	37441.297	39429.805	38664.992	35090.742	40770.16	38834.789	40075.258	38863.102	40077.094	37772.234	38584.609
0.2668	41123.133	36194.07	41678.66	32028.098	44940.508	41268.375	36853.102	39806.172	37063.492	35570.895	43848.039	37265.336	37149.016	37752.629	38203.453	36618.672	37662.172	39464.227	35802.398	42898.371	40191.43	40203.48	38105.109	40370.598	36197.68	39139.863
0.4003	40958.613	36060.266	41930.027	35555.328	43470.258	41650.078	37893.578	40526.449	37582.598	38847.465	44083.945	38109.086	38152.551	36130.957	42064.992	37290.742	38216.164	39131.652	36942.395	44218.629	38473.324	41197.926	37855.328	38282.684	37439.266	39555.609
0.5337	40698.102	36194.266	43797.273	34276.102	42269.66	41926.52	38490.223	42399.453	38685.723	37239.23	44431.105	38141.766	37160.906	36636.516	39514.23	39193.387	39845.641	38116.879	38136.582	45040.867	40864	41342.457	38480.137	41399.051	38729.066	38650.355
0.6671	40370.016	38191.457	43189.457	34933.355	43493.109	41467.508	40339.297	44359	41134.73	37391.898	43229.695	37749.949	38908.215	36479.402	38796.324	38628.965	40215.027	40189.426	38676.746	43285.82	41320.465	41204.727	39918.977	40884.66	38498.52	37751.434
0.8005	40894.93	39254.449	45236.18	36254.617	42163.926	41642.684	39537.879	46531.18	41858.629	38551.703	43179.691	39178.145	37785.07	37577.852	39212.422	37249.348	39773.059	40645.195	37942.879	41419.641	39763.684	40996.414	40400.941	38841.406	37804.859	38850.914
0.934	41194.625	37500.137	44398.59	38100.059	42190.062	40345.457	40594.176	48801.422	40525.652	39223.574	43561.887	38568.887	38789.184	36209.184	40203.688	39136.352	41210.125	41727.199	39672.719	41097.758	40286.137	41340.324	41123.852	37885.766	36939.82	37607.246
1.0674	42499.555	36966.359	44909.652	40261.859	41512.66	42099.566	40428.551	51572.641	42253.801	39491.484	44596.652	36983.328	41683.48	37702.277	39341.324	39496.188	42813.789	41095.246	39189.965	40666.531	42157.98	42212.395	41911.742	40928.77	38773.723	39740.102
1.2008	42868.695	36904.148	45911.445	45323.312	39759.691	40735.719	40129.191	52605.555	50024.391	39812.836	43073.297	38774.445	49583.004	37406.715	40805.828	39662.766	42083	41536.461	40016.168	42440.34	46852.027	43181.289	42709.016	38210.879	42893.094	42464.422
