x	Y_20180130_15100b_11_12g	Y_20180130_15100b_21_8g
0	12142.12	10525.758
0.1334	12770.852	10966.239
0.2668	14906.138	12337.646
0.4003	17121.74	14650.27
0.5337	16353.999	16794.971
0.6671	15957.895	16107.021
0.8005	15554.309	16270.938
0.934	15078.445	16432.416
1.0674	15257.055	16663.898
1.2008	15625.835	16202.566
1.3342	16350.479	16837.723
1.4676	17188.488	15830.154
1.6011	17264.838	15493.095
1.7345	18172.445	14692.609
1.8679	17687.311	14426.311
2.0013	17446.16	14624.857
2.1348	17018.611	14738.472
2.2682	16025.447	15199.229
2.4016	15569.686	15489.307
2.535	14518.35	16508.262
2.6684	14387.042	17099.406
2.8019	14261.154	15134.664
2.9353	13747.249	16615.578
3.0687	12825.08	15321.683
3.2021	12367.024	14356.209
3.3356	11624.775	14188.275
3.469	12382.498	13949.264
3.6024	NaN	13538.646
3.7358	NaN	12988.307
3.8692	NaN	13017.693
4.0027	NaN	12818.236
