x	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_2g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_7g	Y_20181208_15692b_6_2g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_7g
0	27667.1973	30018.0273	30598.666	30603.0352	32548.4004	27695.4961	28018.9355	31331.6055	29665.752	27943.8574	31155.0508	27913.4883
0.1334	27954.3613	30367.8145	30282.9785	29573.4395	31715.627	29013.8301	26124.8164	31386.9336	30573.9297	27727.1016	31524.9492	27587.2617
0.2668	27373.2363	30385.5293	29284.5332	28184.8848	32134.5039	28527.1484	26297.6934	32336.6035	29696.1738	28092.752	31524.8145	26770.4102
0.4003	27290.7598	29758.791	29638.0938	28456.0215	32119.1367	29215.0488	27264.3184	31841.5684	28441.8945	27997.0664	31558.2246	26543.4082
0.5337	28206.0371	29241.3242	31176.1699	27962.4297	31288.1875	28798.2773	28033.2812	30830.0957	29657.6523	26412.125	30417.7617	27393.4121
0.6671	27942.1211	29341.2344	30250.7988	29120.7949	31042.5312	29548.0176	28325.0332	31774.1836	29650.8086	25728.9492	30776.0488	26746.7207
0.8005	27499.8516	30254.7207	28985.6289	27601.9746	31030.3105	29509.8164	28248.8164	30662.9102	31468.0645	27233.1934	32583.0195	26771.1133
0.934	28859.5801	28947.0781	30211.502	27154.957	31560.0039	30016.418	26991.0273	30973.8418	29902.0879	28490.5938	33485.3008	26100.6797
1.0674	30200.3652	29597.0508	29863.2812	27579.5898	31974.8125	28384.0098	28494.627	31338.7324	30586.377	28699.0195	31581.6465	25610.2012
1.2008	29176.8516	30167.2402	28511.7461	27731.0391	32788.832	29431.4316	27773.6367	32582.4023	30395.6055	28689.1504	33233.5352	24978.252
1.3342	29015.1133	29993.8359	30152.4004	28559.7773	33277.1211	29964.3105	30576.2324	30957.627	32846.7109	29859.4668	34797.0391	25466.1602
1.4676	28652.9727	32530.5293	29087.1738	28691.6738	33859.0859	31517.1582	32497.4531	31094.2773	34482.25	32635.334	38422.9688	26253.5273
1.6011	29307.3809	34720.0312	31783.8457	28894.0195	37146.4219	29953.5332	39475.2148	34816.332	39714.5938	39198.5117	47311.1289	27375.3379
1.7345	29276.7539	42180.2305	31183.3301	30696.623	38941.8633	29689.8047	56516.1719	35393.3828	52303.0469	56594.7031	71564.3359	29885.4434
1.8679	30467.4023	55183.9648	38541.2617	37167.1953	45045.6445	32173.5898	84631.2578	38004.7227	68588	73387.4531	94899.4688	31957.9922
2.0013	32190.2695	64601.7891	49669.3516	52177.4258	57773.4688	39462.3633	100733.5859	47656.4648	77598.3438	70284.5625	85865.3281	38450.3984
2.1347	34351.543	57561.5117	64101.4375	69750.8203	92271.9609	53730.0508	85205.5781	58749.0352	65537.6094	48363.4414	59235.5977	53055.3633
2.2682	40836.6953	43236.6055	54454.5234	66809.0938	128693.625	74260.2344	59571.5312	53780.8906	44707.5	36071.3203	NaN	59326.2695
2.4016	54555.8594	35675.1875	39316.3594	51145.7188	116680.25	65313.6797	41933.0586	43610.668	36361.9062	30805.8379	NaN	48541.957
2.535	59490.6641	33077.9453	35149.5195	40314.6641	75347.5469	46895.5703	34848.5586	35456.8867	32865.9414	28530.332	NaN	37133.9961
2.6684	47193.3594	31437.8691	31429.6211	35904.4375	49245.3086	38010.6211	31056.418	33018.8594	31000.9727	27754.623	NaN	33724.9922
2.8019	37867.9414	30379.2344	NaN	32754.5547	40081.6523	33102.5273	30612.4004	32088.0039	NaN	NaN	NaN	33065.918
2.9353	32985.7188	28859.4102	NaN	32852.9766	36784.9062	32981.6562	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	32650.4902	34518.4648	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	34840.4336	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	33905.6406	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
