x	Y_20180224_15102_1_2g	Y_20180224_15102_11_8g	Y_20180224_15102_11_9g	Y_20180224_15102_12_15g	Y_20180224_15102_12_5g	Y_20180224_15102_12_7g	Y_20180224_15102_12_9g	Y_20180224_15102_13_7g	Y_20180224_15102_15_13g	Y_20180224_15102_15_2_S_g	Y_20180224_15102_15_3g	Y_20180224_15102_15_7g	Y_20180224_15102_16_3g	Y_20180224_15102_16_5g	Y_20180224_15102_17_2g	Y_20180224_15102_18_3_1g	Y_20180224_15102_18_3_2g	Y_20180224_15102_19_2g	Y_20180224_15102_19_3g	Y_20180224_15102_2_6g	Y_20180224_15102_20_12g	Y_20180224_15102_21_1_S_g	Y_20180224_15102_21_3g	Y_20180224_15102_23_1g	Y_20180224_15102_23_5g	Y_20180224_15102_23_8g	Y_20180224_15102_23_9g	Y_20180224_15102_24_3g	Y_20180224_15102_25_6g	Y_20180224_15102_27_14g	Y_20180224_15102_27_3g	Y_20180224_15102_28_10_S_g	Y_20180224_15102_29_4_1g	Y_20180224_15102_4_11g	Y_20180224_15102_5_1g	Y_20180224_15102_5_5g	Y_20180224_15102_6_3g	Y_20180224_15102_6_5g	Y_20180224_15102_6_7g	Y_20180224_15102_8_2g	Y_20180224_15102_8_8g	Y_20180224_15102_9_5g
1.3342	14353.666	22365.779	18094.535	17736.131	26866.287	16920.195	17047.725	16462.914	18065.271	23642.467	16247.528	18671.229	29543.518	17961.482	19244.869	19889.785	17636.873	20412.613	15912.032	19488.906	16607.15	14644.975	19418.908	15845.376	15218.321	17693.064	17043.107	19516.623	15666.31	15346.439	20363.201	18888.223	14870.925	14158.989	22056.33	18069.311	17276.182	17653.25	20086.932	20090.854	23721.336	19398.65
1.4676	14906.823	22006.113	17324.146	17934.418	26866.039	16027.44	16072.816	16066.68	16789.035	23636.301	18502.115	18835.143	24738.141	19639.615	18941.855	19769.1	17541.619	18448.729	15438.604	18060.332	16159.042	14668.538	19881.07	16476.207	15091.473	17739.465	17184.473	18421.809	15784.047	14745.168	19030.648	18225.115	16279.677	14610.437	21010.637	17484.889	18036.516	17512.791	19120.34	20193.639	21432.365	19909.318
1.6011	14992.474	21216.008	16819.449	18254.459	25437.449	14300.777	15224.301	16365.173	16584.973	23287.863	19614.34	19777.074	20544.773	18877.746	18454.652	18576.236	18050.357	17596.465	15309.032	16461.863	15729.28	14503.706	22283.613	17284.715	14564.368	17236.324	16241.652	18567.654	16459.496	14333.766	17977.863	17342.008	15679.936	14367.007	19989.332	15558.586	19210.648	17133.953	18782.49	21138.035	18563.838	19341.949
1.7345	14226.775	21159.391	18494.588	16877.412	22648.736	14384.95	14819.197	16143.126	15749.025	21270.541	19217.703	19703.373	18753.883	17840.881	17161.975	19116.467	18522.248	17296.648	14909.701	15621.757	14540.839	14862.438	21763.998	16595.17	15040.904	17691.199	15921.976	18774.592	16491.232	14071.458	20127.803	17562.162	15989.119	15298.73	17170.391	15727.52	21507.219	17814.111	17602.996	20237.234	17200.951	15447.948
1.8679	14968.489	23263.125	19209.385	15962.454	20572.305	14542.94	14570.188	15641.037	14834.872	20193.754	16739.445	18015.982	15763.555	17728.195	15980.291	18621.902	17888.156	16673.771	14930.231	14679.966	14883.168	16270.671	19916.387	17301.807	15463.884	17662.074	16535.734	19316.873	15495.549	14929.883	22619.811	18000.66	15841.208	15002.053	14897.777	15962.746	21665.725	18699.559	15714.477	18244.314	16767.102	15311.33
2.0013	14748.708	22484.162	20688.23	15976.391	18738.092	14518.664	14174.871	15298.688	14641.817	18334.049	16303.771	15949.866	14694.193	17615.416	16364.076	17712.762	17908.391	16332.738	14468.863	15069.273	13928.136	16465.557	18502.676	15279.662	16194.832	17517.047	18311.723	18131.338	15619.553	15976.693	20439.152	18550.414	14774.736	14895.652	13975.206	16947.418	19645.164	19337.148	15575.954	17116.225	16171.665	14417.988
2.1348	14654.377	22404.824	22986.541	15543.164	15829.47	14388.45	14428.44	14043.646	14974.495	18523.508	16771.518	14532.142	14675.438	15345.636	15174.8	17289.195	17073.055	16492.199	14025.18	14630.745	14124.876	15150.76	16321.899	14856.217	14867.127	16614.443	17792.115	16325.313	15859.906	16818.221	17561.182	17179.191	14515.632	14252.61	13645.591	17499.979	18438.156	19783.641	16611.861	15589.162	14967.332	15788.474
2.2682	15648.993	21495.668	23087.25	14699.116	15626.574	14168.244	14557.857	13571.046	16811.979	17373.518	18352.703	15474.438	15249.995	15227.985	14605.46	16399.137	16331.809	15833.068	13746.198	16361.3	14575.233	16358.98	15193.534	15360.851	14230.527	16726.061	16357.916	15655.136	15977.157	16589.324	15655.581	16819.152	14299.896	13924.301	13803.059	18739.338	17449.113	20303.217	17237.162	15160.183	15744.936	15472.478
2.4016	17108.41	20799.145	20339.182	13612.999	17280.707	15105.424	14771.466	14288.711	16659.658	17507.283	17663.01	14838.427	14139.581	15452.27	13963.324	15545.017	15232.339	15560.862	13337.233	19035.033	14062.944	18157.77	13591.536	15188.826	13595.242	16347.447	14332.142	15953.732	15992.36	16506.518	14273.964	16281.607	14735.385	14073.704	14040.882	20121.992	16250.216	20323.328	18600.936	14270.505	15279.186	16900.684
2.535	17650.607	19039.285	NaN	13539.64	17903.641	14030.102	15821.768	14345.416	17500.711	17685.346	NaN	15169.822	14285.325	15231.868	14698.761	15160.127	15166.13	15769.261	13810.838	23890.975	13747.458	17778.77	13671.322	16634.303	13460.89	16667.816	14321.032	15724.007	16969.916	15868.358	14086.314	16587.551	15025.175	14536.59	14261.41	19032.721	15359.631	NaN	19110.592	14568.623	15611.541	NaN
2.6684	18836.635	18052.17	NaN	14089.968	18445.934	NaN	NaN	14842.864	18374.281	16212.655	NaN	14860.768	15470.086	15646.259	15007.371	14792.057	14457.621	15844.75	14657.971	NaN	13356.921	16857.836	14371.45	NaN	13633.781	16627.682	13864.981	15746.789	20014.188	16125.629	14210.338	16521.57	NaN	13557.89	NaN	17936.551	14003.473	NaN	19470.799	14142.69	15773.99	NaN
2.8019	18135.922	17746.719	NaN	13895.689	NaN	NaN	NaN	15904.68	18473.965	16599.166	NaN	14661.314	NaN	16803.061	NaN	14800.557	14738.129	NaN	15016.309	NaN	13861.613	NaN	15082.883	NaN	NaN	16655.32	13389.441	NaN	21556.42	NaN	15134.691	16733.461	NaN	13241.854	NaN	16804.273	14665.793	NaN	19685.406	14808.158	15066.019	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17275.865	17577.826	NaN	NaN	NaN	NaN	NaN	NaN	14795.571	15286.04	NaN	14822.979	NaN	NaN	NaN	NaN	NaN	NaN	15357.498	NaN	NaN	20467.348	NaN	16686.387	NaN	NaN	NaN	NaN	NaN	13631.333	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13997.804	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19188.494	NaN	16164.916	NaN	NaN	NaN	NaN	NaN	13646.822	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
