x	Y_20181208_15693_17_9g	Y_20181208_15693_18_2g	Y_20181208_15693_18_9g	Y_20181208_15693b_8_6g
0	27620.0762	33430.6836	30288.0762	29657.7344
0.1334	27161.2227	31109.8281	30350.4102	28805.7148
0.2668	28249.7207	30013.1484	30208.2324	29083.2949
0.4003	28494.127	28574.5625	30754.0371	28141.3672
0.5337	28494.1641	28663.5176	32076.627	29033.0938
0.6671	29439.7441	27340.7988	31485.0117	30280.2715
0.8005	28620.4004	28872.1719	32276.7656	30611.498
0.934	28935.4883	28050.1973	32715.8672	30254.8398
1.0674	28417.5547	29274.1582	32058.1895	30382.1426
1.2008	30329.6152	28828.0039	32621.4805	30009.1699
1.3342	29694.8691	28718.9824	31913.998	29715.7441
1.4676	29301.543	29193.7812	32377.7949	29259.125
1.6011	30418.5039	29001.4805	33485.6797	31155.2617
1.7345	29444.9668	29151.7559	32881.4609	31566.2949
1.8679	30147.8789	28367.8711	34258.9219	30590.6309
2.0013	31120.5566	29903.3887	35059.9648	31397.0645
2.1347	33645.9453	32324.4316	37129.3828	30859.5898
2.2682	38699.793	31831.1719	42637.6562	31039.7168
2.4016	49219.1562	33042.25	59099.9102	30835.6582
2.535	75371.7656	33588.5508	96808.9922	32287.4785
2.6684	101317.9922	40557.3203	134079.9688	32387.1641
2.8019	85973.6172	56514.5742	123591.2422	33548.0898
2.9353	54482.582	60398.1445	80320.6406	32852.4453
3.0687	39338.2656	45271.4805	53197.4766	36272.3203
3.2021	34732.1836	35101.3828	43066.7305	42164.3555
3.3355	35007.7695	32809.1953	37835.2422	60732.6367
3.469	34855.9727	31606.8926	35019.6992	90491.6094
3.6024	NaN	29276.166	34524.1289	102577.0391
3.7358	NaN	NaN	32576.5156	75447.4688
3.8692	NaN	NaN	31190.0195	48640.0156
4.0027	NaN	NaN	NaN	40116.1289
4.1361	NaN	NaN	NaN	35626.2773
4.2695	NaN	NaN	NaN	34124.207
4.4029	NaN	NaN	NaN	32320.4355
4.5363	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN
