x	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_4g	Y_20181208_15693b_1_7g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_3g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_1g	Y_20181208_15693b_11_2g	Y_20181208_15693b_11_3g	Y_20181208_15693b_13_17g	Y_20181208_15693b_13_20g	Y_20181208_15693b_13_9g	Y_20181208_15693b_2_10g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_5g	Y_20181208_15693b_3_9g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_15g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_18g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_24g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_11g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_14g	Y_20181208_15693b_6_5g	Y_20181208_15693b_6_6g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_2g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_17g	Y_20181208_15693b_8_4g	Y_20181208_15693b_8_8g	Y_20181208_15693b_8_9g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_5g	Y_20181208_15693b_9_7g
0	27858.4941	30865.3594	32608.1387	29884.9277	27802.1113	30475.5312	31190.5039	25281.5156	27636.1738	26955.0039	31731.9609	30619.5664	26156.4785	25567.334	30314.5078	29502.5742	33102.0938	25548.3555	32776.6211	31286.6699	32347.3555	28326.9199	31768.709	32714.2441	29852.8223	29037.3594	28339.7188	26973.3828	31591.416	29725.666	26807.4023	28229.4727	25882.5195	31575.2656	29118.4629	26090.4453	30082.4082	31398.5098	30821.9648	32510.4688	31257.1582	24604.8633	29279.2129	26309.2324	27706.7012	33119.0312	29677.3203	30216.0332
0.1334	26378.7617	29690.8633	30282.9023	29996.2832	28250.3984	30616.4336	32777.6719	25220.7988	28046.6699	27887.041	33421.3047	30956.3066	25344.5801	24155.0312	30360.4062	28777.0859	32441.2754	26472.5566	32628.8574	30191.5586	31745.3184	28044.25	32108.2773	34044.3984	32480.6621	31278.6484	28815.5918	26794.4648	32462.3359	29678.6953	28515.0508	26635.2109	26064.3613	31800.4395	28379.7305	26368.1465	30478.2793	31760.502	30969.5371	32390.543	32521.4844	24661.1504	28879.7559	26841.7539	27807.6602	32871.8086	28759.1074	29407.9766
0.2668	26907.4609	30249.6816	31079.2734	29919.4453	27331.7656	30966.1016	31962.1738	26270.6758	27981.0352	28649.373	32405.3008	29633.4785	25380.7305	25324.6641	29838.0117	28974.1035	32046.2305	27738.2227	32666.2305	29888.9863	32293.6855	28034.7891	31247.1562	33756.1602	32069.0371	31597.7891	28714.6406	25331.9727	30916.7559	29909.8633	28349.3516	26090.1816	26490.8887	31544.125	29341.2676	28339.8496	28782.8398	30293.5352	31035.8867	32759.2598	31488.4238	24318.5	28748.0137	27740.0234	27249.5469	33382.2695	29207.8262	30435.3047
0.4003	27502.1328	29569.7734	29711.8008	29584.3496	26401.8027	30959.5332	31841.5586	25566.3457	28153.5254	29760.6543	31299.627	29158.8828	24283.873	25770.9199	28533.8145	30461.5664	32835.3633	27465.7422	30654.627	31926.918	31932.375	29179.7695	30796.793	32931.1211	31658.1602	31915.3906	28631.6914	25250.4707	30968.4785	29082.5996	28224.082	26560.166	25418.0605	30016.0293	27939.2402	27798.4824	27404.9922	30131.4219	31047.6641	33644.5273	32351.5098	24864.7871	29149.3789	28023.5977	26153.627	33630.4141	28866.1387	29531.707
0.5337	27457.6641	31008.2285	31181.7539	30204.6504	26283.0215	30968.0605	32282.0156	25170.9199	27084.1562	28496.8477	31341.707	29674.3145	25517.8281	25626.6914	30502.625	29347.4082	32467.8984	27983.0918	31496.0215	30810.75	31534.3691	27811.4805	30850.4277	31943.3223	31378.4609	29740.502	29147.0059	25231.6465	31791.6133	29307.543	28170.2363	26046.2539	27414.8125	29950.9023	28909.0781	27583.7051	28257.748	29754.584	31065.5605	33379.9062	32682.3809	23984.5664	29209.6914	27064.9551	25953.8926	33272.5781	29356.8945	29305.6953
0.6671	26630.3359	30612.2246	30642.6211	30918.9883	25949.7559	30800.4668	31430.2461	24816.2617	26429.3027	29265.7305	32068.1465	29222.9746	27243.3535	25610.4707	31266.625	28643.7109	31698.9355	26731.2441	31150.7266	30241.3242	29917.8496	29093.2598	30741.6758	33229.6328	31780.6621	31398.4219	27983.0391	25472.7773	32530.2773	28823.6367	27848.7637	27496.4121	26990.7246	31463.5098	28946.5469	26799.5234	28395.9707	30380.3945	31715.0195	32596.7383	33599.8906	24640.9805	28384.3848	28370.3594	27624.3379	33204.6445	29333.7227	27244.9355
0.8005	27256.0547	31249.0371	30906.6172	30446.6094	26917.4375	30259.582	30715.9824	24553.3906	26192.2988	28793.6582	30916.0684	29781.7441	25061.0723	25186.9551	28718.3184	29285.9355	31157.1445	25943.543	30582.4902	30724.2207	30900.3906	30296.0742	31181.0508	32490.2988	31267.248	29649.0742	27713.4648	25350.2969	31940.9668	29591.5449	26470.9941	26502.627	27187.7852	31593.6699	28562.4082	26618.2168	28445.3555	30529.3047	31534.3945	33070.5742	32667.8555	24448.2871	29936.7598	26098.457	27145.084	31580.9805	28554.1211	29149.9277
0.934	26784.2832	30093.7207	32126.3652	29254.1152	26615.1152	31479.4199	31181.7812	25805.8125	25696.1523	28735.9434	30783.7754	28283.7227	24611.5977	26437.9922	28962.0176	28817.541	31845.0156	24788.125	30806.2168	31548.5449	30499.0332	28024.1367	31185.293	30358.834	30824.9062	29649.3203	28994.002	25704.3418	31696.918	28928.8613	28163.1348	26264.6172	27219.8887	32546.0645	28727.7812	26758.4531	27007.2969	29599.9258	31208.4219	33074.5977	31606.0703	24001.4238	29509.9141	27179.2812	27410.7227	31903.4434	28913.627	29483.418
1.0674	26255.0527	29916.1484	32898.2617	29904.4766	25929.3398	32856.0117	31410.8496	25051.3418	27336.1621	28613.0391	30462.0684	30226.2695	25972.3633	26551.7344	30291.2656	29279.584	31908.9102	26427.2793	31555.1152	32319.6309	31700.3789	28024.9023	30593.625	32566.7422	31229.3184	31462.1211	30036.8145	25584.3398	32189.6484	30180.9395	26460.6836	25899.4883	27352.502	31281.627	29922.748	26928.0176	27382.252	30261.3164	31725.4395	33373.4336	32844.957	24964.2324	29292.8203	28525.8496	26697.3027	31995.7305	28940.6035	29239.418
1.2008	27251.8809	29920.873	34742.9727	30426.9102	24679.3555	31594.2949	30931.6191	25924.3359	27294.625	28659.7344	30091.2656	30504.9395	25402.9238	25196.5215	29707.2246	29123.0605	32931.9297	26079.0391	31805.627	30867.4629	30830.9492	28576.9297	32660.3496	31576.0703	31208.1484	30897.8223	30178.2812	26812.7812	31652.7012	30420.9375	27648.8438	26941.1133	26683.2715	31031.0312	29344.7832	27835.0176	26522.0078	30115.707	30727.0801	33034.3281	31768.7207	24096.1074	28291.0898	27433.7988	27969.9277	32857.2617	26942.9473	29288.5469
