x	Y_20181208_15694_1_12g	Y_20181208_15694_1_6g	Y_20181208_15694_1_7g	Y_20181208_15694_13_3g	Y_20181208_15694_13_6g	Y_20181208_15694_15_2g	Y_20181208_15694_16_7g	Y_20181208_15694_19_13g	Y_20181208_15694_19_6g	Y_20181208_15694_2_11g	Y_20181208_15694_2_8g	Y_20181208_15694_20_3g	Y_20181208_15694_20_5g	Y_20181208_15694_23_12g	Y_20181208_15694_23_4g	Y_20181208_15694_23_5g	Y_20181208_15694_24_9g	Y_20181208_15694_25_1g	Y_20181208_15694_26_7g	Y_20181208_15694_28_2g	Y_20181208_15694_28_6g	Y_20181208_15694_28_7g	Y_20181208_15694_7_12g	Y_20181208_15694_9_14g	Y_20181208_15694_9_7g
0	28614.75	30315.75	32436.0176	30633.9102	29604.6172	30993.3496	27294.873	30220.6562	32044.6953	29727.9414	29301.668	26304.1895	29763.2793	28608.9023	30100.8867	32113.7031	26418.8867	26739.0195	28825.7969	30208.1426	28457.9648	26840.8613	29362.2539	30011.0938	29073.2676
0.1334	27748.8809	32228.1387	32068.3047	29017.3633	28761.6133	29583.3398	27171.2363	31069.6875	33620.6016	32050.4082	29678.6973	26615.3047	30298.1191	29096.127	30190.0762	31290.8652	26338.3945	27323.9199	29270.9453	30931.4316	27864.1738	27267.3711	30396.6406	30472.043	28850.2812
0.2668	28362.8438	31111.3164	31561.3711	30530.9199	30145.6211	30063.8359	25927.4219	30406.5137	32960.2656	30361.4453	30075.8105	27143.3457	31049.9707	28871.6055	30649.5059	30382.1289	26510.9297	26512.209	28246.3008	32774.8203	28173.2578	28693.1094	29294.1035	31667.5293	28646.2891
0.4003	29309.9512	30707.877	31922.4785	29734.1562	30785.4922	30454.0234	26670.7012	31026.9805	31028.6211	29338.4629	29650.7207	26457.8848	33197.8906	28808.3711	29853.5312	29738.7656	26071.1133	26698.0703	29049.3984	31648.5332	27633.3242	26762.2832	29899.8398	31229.6367	28701.4629
0.5337	28267.0332	29780.9316	29653.1973	31788.0273	28945.7383	29363.7285	27003.3184	30225.8867	30636.2148	29738.2754	29306.6016	25786.4668	31068.8574	29560.6582	30298.9258	29646.3379	25502.9121	26689.4629	29168.9004	32445.0312	27642.5625	27721.6191	30244.2207	32024.627	28413.0938
0.6671	28054.6406	30255.0469	31139.1855	30296.8359	28440.9609	28191.4238	29227.9043	30348.0801	31597.4375	31647.7148	28532.6094	25623.9258	30481.8965	28869.6113	29198.0527	27663.5234	24952.8086	27188.3965	29599.3203	32216.2832	27649.1758	28164.1719	30453.627	32942.2148	27880.4785
0.8005	27734.7656	29897.209	31230.4961	30980.0059	29224.498	29322.6387	28465.8789	30816.6836	31005.4141	31310.0918	29936.5625	26392.5977	30439.002	29088.6172	28877.3535	27869.4785	25803.9785	27350.3398	27865.0566	29591.957	28556.3789	27359.7949	32140.5762	30642.0195	28394.1035
0.934	28223.8105	29906.2461	30267.6855	30215.2598	29278.2422	29378.8965	27695.3008	30158.4805	31424.4902	30718.4375	30413.666	27523.252	33043.9219	28978.4863	30557.5488	28719.7246	25920.6582	29707.0293	27666.7188	29408.248	29959.1152	26890.0117	31350.3906	30308.9395	29313.9336
1.0674	29584.7656	30620.4473	30760.7012	29045.4844	30619.5918	28667.1426	29126.623	30705.0254	32919.5625	32391.1445	30053.1875	26830.75	32105.668	28580.6074	29965.7852	28762.9062	27383.7539	29267.1348	29072.1387	31003.4316	28922.4668	26322.6289	32532.998	30299.3203	30738.1113
1.2008	30118.627	31488.8613	31022.5957	29720.3105	29463.7773	28903.4648	29857.625	31599.4824	33792.5977	33059.6445	31582.1094	27905.4062	30056.3945	28880.5742	28940.2402	27923.6035	27299.1465	29242.4062	29049.8945	30276.3359	27766.2871	27058.166	31677.127	30575.0098	29636.3008
