x	Y_20181208_15692_31_14g	Y_20181208_15692_31_5g	Y_20181208_15692_32_2g	Y_20181208_15692_32_7g	Y_20181208_15692_33_9g	Y_20181208_15692_37_11g	Y_20181208_15692_38_11g	Y_20181208_15692_38_12g	Y_20181208_15692_39_1g	Y_20181208_15692_41_1g	Y_20181208_15692_42_1g	Y_20181208_15692_43_12g	Y_20181208_15692_43_17g	Y_20181208_15692_43_4g	Y_20181208_15692_44_3g	Y_20181208_15692_45_16g	Y_20181208_15692_46_17g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_47_10g	Y_20181208_15692_47_11g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_7_7g	Y_20181208_15692_8_11g	Y_20181208_15692_8_7g
0	28924.7285	27826.6641	32291.209	28564.8457	28771.3535	28103.5176	27266.3047	30006.8516	30870.0488	27794.9668	24446.5762	28903.2832	29729.8965	26738.7637	28462.4668	30366.3066	31021.1172	28620.3711	29529.2227	28875.1758	34124.8242	25276.4297	32695.0488	29997.1426	26803.9258	26389.0664
0.1334	28527.3789	28619.5449	31370.1738	29728.457	29136.8848	28371.6309	29451.4941	28448.7246	30586.5645	26744.7656	24452.7129	27190.4062	29970.2461	26749.1562	29334.5605	28581.2344	31431.8516	28218.3164	29317.2656	29061.6934	34266.543	25811.2773	33281.7109	29274.6172	28364.1699	27243.6914
0.2668	29032.916	28563.8711	30082.291	30150.9707	29071.3789	29039.6777	28597.1543	28138.9785	30124.6543	25879.8887	26303.0059	28231.4824	30631.2949	27420.5293	28678.0234	27987.373	30470.2109	28021.2852	30271.3789	29348.8516	33798.3359	27583.1504	33640.6367	29041.5586	27593.1875	27034.1914
0.4003	28562.002	29267.6172	29825.5684	30163.2812	26806.543	29626.2715	27946.8613	28620.5117	30817.75	26318.8184	25188.8789	28787.3203	30282.8164	28167.5781	29399.1465	27043.293	30870.7734	30706.6621	29760.0488	29932.7266	34799.2539	25911.0449	32174.6855	28940.0547	26863.5781	26450.1641
0.5337	30967.9668	29884.1582	30585.8496	30231.1934	28905.6094	27968.8652	27432.1582	29009.4531	29916.2637	26898.2578	24807.3047	30149.3574	30119.5859	26771.6797	27895.1816	26799.5488	30813.8984	30833.6875	29490.877	29551.3789	34731.3242	26348.3242	32175.6875	29614.4785	27148.3516	26716.6367
0.6671	29752.0117	28764.6074	30442.1094	29730.7754	29254.5762	28543.623	28467.8555	28532.334	30032.2773	28867.8359	25800.8418	30175.5547	30511.9785	26926.9336	29588.0293	28527.5684	32290.1172	29310.1348	30053.9902	28364.4844	34664.7031	26979.0918	31989.9648	30287.5664	27298.7578	27216.2324
0.8005	29011.375	29648.7812	30808.0664	30584.6621	28545.0723	28515.9668	29356.6836	29318.0449	30392.0312	28210.6016	25065.1562	30223.1582	30155.8887	26276.125	27694.9824	28661.4043	30437.4473	28500.5566	29648.6348	28981.7988	32876.5938	25572.7559	31292.5312	29535.1113	27244.5605	26835.9043
0.934	28425.3906	32062.3516	30119.207	30711.9746	27810.668	29689.2148	28334.9492	29543.2734	29568.5879	27594.2559	24252.4395	31252.4023	30818.4492	26702.6777	27697.3027	27608.5566	29612.4863	30035.9688	31217.0449	30161.625	34241.1602	26838.3672	31598.0469	30175.0859	26461.127	26889.3066
1.0674	29236.6328	31280.252	30652.9668	31539.8145	27756.959	30040.8281	28648.5332	30819.3418	28475.7988	29179.1074	25086.5332	29626.1309	29650.5215	27078.0234	29045.457	28566.3223	30067.8926	30124.9551	30834.8301	30225.8457	32244.4277	25691.9512	31197.2422	28975.7188	26467.7402	26558.4395
1.2008	28285.7559	30583.5449	31699.1152	29831.9824	28466.0234	30042.2363	28161.207	30675.9844	29325.9707	28157.625	26097.709	30616.5254	30994.6094	27118.0801	26464.0137	27919.1152	30790.8867	29361.3633	29878.8047	31368.248	32227.8281	26036.5566	30906.041	30258.75	25296.7051	25224.2305
