x	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
0	10274.8096	13068.4434	11451.3643	10668.6348	10725.1729	11808.0205	10609.167	11511.7412
0.1334	11282.502	13577.835	11387.4316	11855.083	11038.6758	11366.8643	10706.4893	12761.9707
0.2668	14172.3398	15898.6992	11928.0557	13545.9453	12155.0176	12298.3447	11366.7305	15947.3486
0.4003	17781.1875	18876.6426	12764.8926	16016.0947	13387.2832	14490.1104	11588.4111	18328.5098
0.5337	18754.373	23015.2969	14565.5537	18206.3223	16095.2363	17111.2852	12394.877	16750.5684
0.6671	16982.5605	20738.7832	15376.5625	20254.5098	17687.8184	18234.1035	13388.1152	14300.8057
0.8005	15578.7432	18853.8047	15757.1709	18904.6641	17939.0332	15874.4346	14960.7373	13743.7969
0.934	13958.0186	17829.7441	15174.6768	18080.166	15810.2383	13868.748	15694.6289	13766.6787
1.0674	13956.4189	16051.3848	13617.9482	17830.2422	15076.4033	12923.8154	14654.6309	14133.7324
1.2008	14360.0264	15312.0986	13309.4932	16861.8789	14036.5928	11999.501	13463.2363	14002.8174
1.3342	14260.3301	14802.1973	12677.6055	17956.4805	14098.1709	12166.9443	12152.4658	13815.417
1.4676	14247.8584	14517.5449	12643.251	17031.4023	13520.3184	11938.1191	12237.498	12983.0381
1.6011	14315.5645	14388.707	12515.9766	16684.748	12087.5605	11464.9062	11699.0635	12178.0195
1.7345	14497.3271	13296.4424	12540.5342	16829.3867	11566.4922	11157.4609	11816.8516	12853.9648
1.8679	15421.6729	13462.2881	12326.0361	16176.8877	11185.8555	12378.7266	11839.0664	13806.2451
2.0013	14768.3115	12076.5459	12517.5244	15046.2051	10704.3623	12469.5322	11908.209	13281.9473
2.1347	13967.1738	13201.584	12913.6064	15117.377	11434.376	12124.291	12460.7295	12512.7148
2.2682	14247.5371	14118.4541	12937.6865	14938.1396	11310.9072	11521.6543	13020.8574	13209.7002
2.4016	14888.002	13692.7744	12670.5059	14453.2246	11841.9482	11787.751	14493.1943	14335.5381
2.535	14007.582	14945.2607	12678.9248	14642.5801	13852.5342	13228.2559	14367.9482	15202.709
2.6684	12364.7061	15112.4443	12545.6787	13834.5342	13505.5518	13634.0723	14001.1953	15159.4512
2.8019	12192.4824	14594.9072	12843.3564	13705.6885	12033.5918	13695.1133	13295.5352	14608.8086
2.9353	12533.9316	14316.1113	13409.3574	13678.1602	11131.3457	12381.3301	13446.1982	13163.0176
3.0687	11874.0752	12826.9492	11887.9727	13980.8301	10895.2148	12494.6768	14820.1562	12619.1221
3.2021	11183.3018	12888.1885	11968.874	12386.5391	11753.4531	12033.5273	14013.5264	12195.1699
3.3355	11162.3516	11830.2754	12384.4873	13066.418	11510.9258	11872.6953	13696.1729	12075.7236
3.469	10906.9727	11311.9355	12270.3408	12737.0986	11467.46	11227.1377	13854.8789	12937.7012
3.6024	11594.5361	11744.2461	11660.8662	12229.3154	11392.2822	10639.5264	13437.9424	12335.3496
3.7358	12432.3809	11014.2051	11274.8945	12554.6436	11417.3369	11217.6475	12427.1836	12006.9385
3.8692	11911.9102	11443.8125	11390.4375	11840.0342	11718.2129	10611.2822	11691.0801	12319.9043
4.0027	11735.0225	10962.1729	NaN	10664.8838	11261.3145	11040.2949	11311.3975	11777.623
4.1361	12025.2041	11427.4639	NaN	10875.4355	11657.3066	10887.8828	11363.8145	NaN
4.2695	12272.7451	11064.1172	NaN	10987.2705	11742.6777	NaN	NaN	NaN
4.4029	NaN	11368.4551	NaN	NaN	11044.7002	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
