x	Y_20181208_15693_17_11g	Y_20181208_15693b_11_8g	Y_20181208_15693b_12_14g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_5g
0	9783.1279	9782.0801	10818.9873	10375.2998	10890.4229
0.1334	10914.0439	10559.042	13002.0664	10774.3828	11360.3145
0.2668	14586.082	10424.9297	14431.9355	12701.2939	12829.458
0.4003	18297.7578	10770.0811	14800.5928	14161.416	15259.4717
0.5337	18672.0957	12278.3535	13834.3398	13966.7471	16611.25
0.6671	17105.8711	13247.1748	12130.2266	12964.8262	15778.2324
0.8005	16331.8057	14210.4277	12098.0918	12242.4541	14414.6162
0.934	15755.2412	13121.3057	12404.5303	14002.5586	14811.8398
1.0674	14537.4688	12441.1396	13084.416	14004.5859	14164.7568
1.2008	14006.29	12635.6748	12735.8994	13818.2686	15230.1318
1.3342	13810.4473	13565.957	12400.3877	12940.8779	15838.5898
1.4676	13787.3232	13308.3066	13175.1904	13290.6025	15214.3066
1.6011	13729.3545	13102.7451	13101.0664	13669.8623	13921.5801
1.7345	13058.4131	13183.375	13292.876	13283.3477	13476.958
1.8679	13124.6543	14181.9307	13909.1426	12356.5986	13189.5176
2.0013	12927.0684	13714.9082	13986.5537	12509.8076	14140.292
2.1347	13077.6191	14588.4072	14539.0176	13301.5527	14914.376
2.2682	13450.4609	14388.3535	15039.3711	12613.2969	15011.4561
2.4016	13226.2832	13064.6377	14061.1055	13255.9678	14072.8525
2.535	12559.833	13143.0078	14106.7148	13302.7021	14101.8691
2.6684	13777.7285	13852.0918	14373.7158	13851.8154	13676.333
2.8019	13630.4961	12516.6504	13668.7227	13113.9287	13332.0967
2.9353	13989.3633	12495.8516	13456.2529	13382.8496	13398.501
3.0687	13663.752	12145.3838	14140.4414	12532.9258	13637.0137
3.2021	14551.6787	12374.5723	12788.6865	12121.623	14466.1123
3.3355	14209.5957	11894.8643	12493.2617	12329.3799	13909.8457
3.469	13383.5771	11108.8828	12085.4863	12155.7695	14474.9512
3.6024	13385.1416	11243.2188	11450.6611	11980.0449	13873.0732
3.7358	13061.499	11261.2207	11166.9893	11882.6016	13607.6348
3.8692	12332.6602	10850.4922	10982.3223	10805.0225	12858.6865
4.0027	11837.4229	10944.3574	10716.2764	10271.2588	12774.4238
4.1361	11189.958	NaN	9707.1973	10565.6543	11786.6807
4.2695	11727.8535	NaN	NaN	NaN	11431.0605
4.4029	11326.5752	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN
