x	Y_20181208_15692b_10_6g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_2g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_12_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_5g	Y_20181208_15692b_7_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_6g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_5g
0	28852.1855	27667.1973	30018.0273	29317.752	30598.666	30603.0352	26084.2051	31214.1621	30089.5293	29305.416	32548.4004	27695.4961	28018.9355	30031.8438	32169.6641	29910.5137	31331.6055	30270.7324	32055.3457	31695.373	29617.1074	29665.752	27943.8574	31155.0508	27913.4883	25329.9121	34392.6602
0.1334	28833.5293	27954.3613	30367.8145	29732.0645	30282.9785	29573.4395	26922.9609	31548.5039	31587.6895	30702.8613	31715.627	29013.8301	26124.8164	32289.4043	31677.4453	28260.6094	31386.9336	28914.7246	32095.3906	32958.7695	28184.75	30573.9297	27727.1016	31524.9492	27587.2617	25119.8633	32968.3008
0.2668	28053.4121	27373.2363	30385.5293	28389.2852	29284.5332	28184.8848	25362.2305	31516.1816	30143.707	29025.248	32134.5039	28527.1484	26297.6934	30279.3945	31968.8105	29197.8906	32336.6035	27619.7207	32342.2617	33106.2031	29372.2793	29696.1738	28092.752	31524.8145	26770.4102	24731.8496	33204.5625
0.4003	26367.2012	27290.7598	29758.791	29113.127	29638.0938	28456.0215	24446.168	30354.7793	29786.2148	29265.6895	32119.1367	29215.0488	27264.3184	31010.7012	30655.6934	29098.2129	31841.5684	27778.0723	30284.5957	31920.582	30191.4375	28441.8945	27997.0664	31558.2246	26543.4082	24765.3086	32862.0469
0.5337	27034.9629	28206.0371	29241.3242	30175.168	31176.1699	27962.4297	25015.25	31251.7891	30893.3242	29528.6406	31288.1875	28798.2773	28033.2812	32553.2539	32140.4785	30107.5996	30830.0957	29205.7734	30309.4902	31702.8457	30884.8809	29657.6523	26412.125	30417.7617	27393.4121	24129.75	33961.5273
0.6671	25700.0293	27942.1211	29341.2344	29132.5098	30250.7988	29120.7949	24933.5781	31252.2363	29379.9531	31447.6875	31042.5312	29548.0176	28325.0332	33050.7773	32723.7754	30382.3633	31774.1836	28299.0059	31333.6797	34208.4961	30193.7363	29650.8086	25728.9492	30776.0488	26746.7207	25649.9453	31675.5918
0.8005	26386.3164	27499.8516	30254.7207	29484.998	28985.6289	27601.9746	24000.7539	32106.8066	29393.6836	30382.4727	31030.3105	29509.8164	28248.8164	34016.7422	32712.1621	29036.6016	30662.9102	26795.2832	30901.5898	33158.0469	31237.2812	31468.0645	27233.1934	32583.0195	26771.1133	25895.2656	31082.6621
0.934	27946.3848	28859.5801	28947.0781	28523.2383	30211.502	27154.957	23588.0312	31533.1504	29903.7852	30876.502	31560.0039	30016.418	26991.0273	32183.6777	31748.7246	27714.4883	30973.8418	26230.8242	31649.9453	33668.125	29958.7031	29902.0879	28490.5938	33485.3008	26100.6797	26324.7715	30201.4277
1.0674	26938.2871	30200.3652	29597.0508	28633.0801	29863.2812	27579.5898	25082.2988	30010.0371	29647.7031	30196.1016	31974.8125	28384.0098	28494.627	32094.8125	32151.0801	28567.3789	31338.7324	26950.1328	30570.6973	32854.75	30435.791	30586.377	28699.0195	31581.6465	25610.2012	26810.5859	31675.7051
1.2008	27866.7773	29176.8516	30167.2402	28302.4414	28511.7461	27731.0391	25715.9727	29801.9453	29824.4941	31469.752	32788.832	29431.4316	27773.6367	32111.0547	33305.3438	30025.2695	32582.4023	27256.6602	29833.8535	32026.1855	30676.8535	30395.6055	28689.1504	33233.5352	24978.252	27458.875	32941.9023
