x	Y_20181208_15693_10_3g	Y_20181208_15693_10_8g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_5g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_7g	Y_20181208_15693_18_6g	Y_20181208_15693_19_5g	Y_20181208_15693_3_7g	Y_20181208_15693_4_6g	Y_20181208_15693_7_5g	Y_20181208_15693b_1_12g	Y_20181208_15693b_10_8g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_4g	Y_20181208_15693b_2_3g	Y_20181208_15693b_3_19g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_26g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_3g
0	12471.7939	12765.2637	10693.4346	11647.3643	11662.7217	14792.4609	10994.5068	10551.2656	12653.7451	13156.6104	11340.6221	11894.2256	11388.3301	11590.3271	11272.3623	11987.165	15450.4795	12796.7256	11799.9609	13384.3555	12127.8936	16643.7754	10622.2637	12817.4824	11819.7705	11136.6855	12006.8262	12359.7793
0.1334	13226.9307	14909.1963	11928.9482	12920.7266	11884.3965	16446.1562	11139.083	11156.8975	14176.6973	13123.9912	12545.125	13767.6602	12075.2041	11692.5146	11476.167	13288.4795	18563.043	15175.4209	12687.2559	16495.4355	14659.502	21224.7695	10792.918	13402.3945	11870.3506	13180.9385	11895.8418	12979.6406
0.2668	14768.543	18709.9492	12356.2891	14772.377	13121.5078	15551.9766	12255.5908	11869.9805	16026.2686	14328.7451	13948.3174	15769.7051	13510.0361	13158.2871	12933.1631	15027.0166	20337.4863	16191.1777	14201.6504	19595.0977	16978.4141	23500.8555	11158.3418	15404.1172	11966.2998	16031.0684	12014.0127	13536.709
0.4003	15471.0107	20061.4316	14612.9209	15876.7734	14280.9492	14453.9385	14171.6455	13647.3818	19577.9395	16454.5957	13956.0908	14217.6396	15782.8721	15201.7412	14958.6201	15740.8291	18315.8535	14529.6387	16471.709	17107.5312	18724.5684	19788.0859	12819.8301	17545.5117	12631.0029	17028.8164	12107.1025	14441.9561
0.5337	15488.8535	19200.5254	15594.249	14490.3643	13438.7402	13787.1836	15857.2412	15174.3301	17213.6035	18079.8516	13343.1904	13859.6592	15453.1875	18014.9102	19371.1523	13940.0498	14979.7178	14395.1631	17336.7871	14709.1436	17007.2324	16841.0176	14712.9463	18544.5039	13952.9951	16834.9414	13668.3828	15583.4961
0.6671	14358.1416	16514.8535	15643.7559	12904.667	12426.7988	14122.543	16187.627	15005.5684	14682.2842	17536.3516	12867.7256	12434.0273	13351.3779	19156.877	22005.9941	11485.9297	15646.2119	13379.6494	17872.1426	13044.1934	16549.0039	15183.9502	16988.7109	16606.3984	15962.0439	15780.4561	15817.0977	15791.2969
0.8005	12985.3486	15717.7119	15693.7002	12231.9229	11961.6523	14078.6328	15413.9424	15498.6836	13864.3994	16427.9258	12744.1934	12598.623	13253.7178	17119.3848	19404.9004	10885.6709	15898.0615	13569.3926	16631.416	11435.1797	15312.5234	13319.75	16020.8965	15624.8574	15190.7041	15525.709	18414.7402	16716.4844
0.934	11578.8467	14405.3184	15813.8516	12541.8604	11842.2031	14469.8779	15021.2529	13653.0762	13682.7549	14113.3877	13021.8828	12544.2012	13250.8154	15404.1641	17007.5977	11294.4717	15805.3965	12533.9648	15304.5557	12203.7471	14427.3389	12531.4424	13207.625	14905.1045	14204.1318	15210.8271	18828.2168	15688.6992
1.0674	11357.2324	14099.0879	15589.9482	12066.8281	11821.3428	13695.5088	14618.8848	12215.9277	13995.5635	13278.2012	13382.459	11467.75	13636.5771	15628.6748	16575.0586	11950.7412	14216.332	13792.9219	14914.3779	12478.1201	14475.6865	12285.4463	12607.0625	14386.7461	14325.1914	14740.9434	17826.6152	15639.792
1.2008	11800.1084	13562.9863	15691.999	12491.6699	11517.4248	12666.2842	14692.7246	12104.7324	13903.749	14705.709	13086.6221	11614.2109	13418.1201	14844.3301	15361.9834	12423.8594	14071.2686	13286.5684	14116.7041	11362.1807	13381.0225	13141.6426	12625.46	13395.1699	12723.7842	15028.7188	15722.3926	16223.7822
