x	Y_20181208_15100_1_1g	Y_20181208_15100_1_2g	Y_20181208_15100_11_3g	Y_20181208_15100_11_4g	Y_20181208_15100_13_8g	Y_20181208_15100_14_1g	Y_20181208_15100_15_5g	Y_20181208_15100_16_1g	Y_20181208_15100_16_4g	Y_20181208_15100_3_3g	Y_20181208_15100_5_12g	Y_20181208_15100_5_6g	Y_20181208_15100_6_10g	Y_20181208_15100_6_2g	Y_20181208_15100_6_3g	Y_20181208_15100_6_6g	Y_20181208_15100_7_5g	Y_20181208_15100_7_8g	Y_20181208_15100b_11_4g	Y_20181208_15100b_13_10g	Y_20181208_15100b_13_12g	Y_20181208_15100b_13_9g	Y_20181208_15100b_14_1g	Y_20181208_15100b_14_5g	Y_20181208_15100b_15_2g	Y_20181208_15100b_15_5g	Y_20181208_15100b_16_12g	Y_20181208_15100b_16_14g	Y_20181208_15100b_16_1g	Y_20181208_15100b_16_5g	Y_20181208_15100b_16_6g	Y_20181208_15100b_17_10g	Y_20181208_15100b_17_12g	Y_20181208_15100b_17_5g	Y_20181208_15100b_17_8g	Y_20181208_15100b_18_10g	Y_20181208_15100b_19_6g	Y_20181208_15100b_20_3g	Y_20181208_15100b_20_4g	Y_20181208_15100b_20_7g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_2g	Y_20181208_15100b_21_4g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_8g	Y_20181208_15100b_21_9g	Y_20181208_15100b_22_11g	Y_20181208_15100b_22_21g	Y_20181208_15100b_23_1g	Y_20181208_15100b_23_9g	Y_20181208_15100b_26_10g	Y_20181208_15100b_26_3g	Y_20181208_15100b_26_8g	Y_20181208_15100b_27_4g	Y_20181208_15100b_28_2g	Y_20181208_15100b_3_1g	Y_20181208_15100b_3_3g	Y_20181208_15100b_30_1g	Y_20181208_15100b_30_3g	Y_20181208_15100b_32_6g	Y_20181208_15100b_4_1g	Y_20181208_15100b_5_4g	Y_20181208_15100b_7_4g	Y_20181208_15100b_8_4g
0	15469.0332	15275.7129	11324.3496	11460.54	14037.7168	12361.5508	13195.8135	12144.915	12235.834	12091.0693	12963.8408	12229.8613	12587.0898	15764.9375	11174.5332	12550.9688	12047.9199	12764.752	13058.3691	11096.5156	15095.8281	11169.4092	12689.5039	12185.7129	12657.6895	11592.9023	12210.5039	12467.1543	10674.1758	12400.0137	13147.6279	11251.918	10520.8184	12790.6631	12079.9648	12368.5762	11398.6582	13805.9932	13594.1475	11658.7471	15551.665	11032.6416	13134.3711	11115.0391	10570.2598	12672.5098	13691.9551	11064.1377	12431.8281	12416.6104	11403.667	10056.8896	13448.4814	11641.8848	13287.333	11897.7314	12289.1113	12904.0742	14164.3271	12147.2236	12920.9717	10413.4082	11815.8496	12646.7793
0.1334	18168.3066	19110.123	11853.8779	13540.8682	14700.7852	14705.9053	12657.3594	12448.6689	12066.957	13606.7402	13575.4219	14317.3906	13131.2832	19487.8086	12886.6523	12867.7734	13016.1211	15988.4668	13183.9492	12207.8867	17618.7188	11469.8887	15101.1836	13290.5234	12956.4785	12342.7266	12783.9756	13034.4561	13324.3887	12727.4482	13883.5273	11641.7012	11806.6963	13559.4561	13266.0586	12815.1357	11452.5098	13664.5166	14901.1631	14711.79	16455.418	11217.8262	14066.3174	11544.2051	10715.3789	12849.0078	13802.0889	12436.5371	12992.0723	14682.5684	11822.3623	12043.1113	13546.0459	12553.6758	14755.2959	12560.5527	14189.3584	13615.0371	16446.0352	12345.6807	14607.4297	11104.7744	12709.5762	12784.4873
0.2668	21904.7109	24631.5645	11227.3584	16798.9004	15923.2725	19705.4473	13666.1201	15223.8125	13276	16463.9277	14927.6084	17992.0215	14839.5469	23327.0391	16567.1953	14768.0273	14483.9473	21366.3438	13856.2354	11745.1562	24332.8008	11981.0264	15538.1953	14814.9004	13481.9531	13716.458	13288.4688	14522.0908	16505.5352	14160.4092	14884.6309	13512.3691	14947.1201	14898.8096	15396.915	12792.4443	12653.2695	14224.5117	16199.9951	20239.7461	16051.5117	11158.1182	16140.5918	14641.415	12025.5508	14857.4238	13408.4102	13824.4766	15842.1299	16592.7793	12944.1348	14769.4043	14828.543	13739.5283	18206.1426	13449.6641	17315.875	15646.2607	19334.5859	12714.9951	16941.1875	12060.2148	14743.3994	13373.9541
0.4003	21991.8066	23295.4375	11500.1357	26014.3418	19393.8828	24186.4492	14759.4219	16943.8457	14474.5391	20153.5742	18369.2793	21522.6035	18716.8984	23831.9805	19057.4727	15107.7803	16754.2031	20573.4297	14856.3311	12013.7041	30231.9629	13027.8145	14720.2344	17562.834	15729.2959	15843.1055	13803.6934	14898.0293	17878.7422	16744.9336	17914.248	16464.6816	18285.6172	19416.9453	17960.2188	13465.0908	13786.0195	16004.9648	16724.7168	21485.8281	14127.2725	12910.4805	18353.0801	17919.4023	14072.8301	17631.3223	13938.335	16289.4316	17244.7715	17447.3672	14386.168	18105.8359	18118.2188	16509.7695	22542.0469	14897.2627	20119.8887	17024.1328	22386.4492	14700.5732	17047.4883	12695.0566	18824.9531	16890.209
0.5337	19269.6113	21690.9434	12302.3496	34883.8477	20508.793	23069.5645	17896.2773	18523.2012	16405.332	18005.3633	25217.207	20482.3418	18943.2324	21052.2402	18378.3711	19533.4531	15910.2842	18282.6562	16316.1934	13723.624	28186.1562	14948.1729	12967.5898	17197.0801	17827.0684	17842.7578	15501.4668	16870.8516	16101.2666	17352.5	17731.1074	19091.6836	19950.0801	23327.2266	18560.9395	15239.6172	14619.3682	18561.3652	13884.6826	18182.3594	13020.3389	14211.8574	18851.4746	19670.8047	15839.7842	18044.4902	16878.4355	19035.2461	16987.1074	14521.7803	15701.6152	20340.4902	20480.3867	20092.3828	21672.3418	17573.2598	19037.2383	16993.8145	26104.6699	18141.1211	15684.0127	14545.1152	20048.3594	19937.0176
0.6671	15998.1992	19371.7012	13891.7441	37155.668	20257.7539	19141.1426	18728.4629	18570.166	16140.2998	16989.5508	26751.7988	16892.4199	17387.0684	18822.2129	16513.1289	25194.3066	13380.0684	16401.5449	16890.8125	14911.4512	22200.8594	17701.6387	12599.375	13900.3457	16738.918	18134.5	18250.7539	19061.5449	15054.8926	16665.6543	15798.8779	17326.6172	19750.9727	20666.2773	16642.3066	16440.4902	14341.0967	18897.2266	12675.6123	16221.709	13405.2871	14689.458	16722.8809	18831.0488	15577.6035	15166.9297	18742.3379	20171.0469	16103.8057	12504.2861	14413.8486	17760.4277	19125.9824	22341.0469	16549.7207	17891.2695	16111.832	15202.4912	23121.3926	18877.3633	14399.8555	16563.6367	20071.5215	20603.832
0.8005	14999.0283	18805.5273	14428.7383	32572.75	18817.7305	16050.5195	16419.373	18409.8359	15347.4072	17213.459	27665.5391	15332.0986	14486.8652	17495.1504	15673.2686	25995.3008	12887.2822	14935.4248	16626.6992	15187.6963	18016.3848	19235.5293	11911.9365	12301.1533	15465.9102	15056.7637	16217.209	17736.1465	13489.3604	14984.3809	14466.1543	15574.4658	16477.3945	15820.0811	16759.623	18864.5156	13876.5225	17120.1582	11794.6387	15310.2031	13518.5508	14444.2969	16075.5801	16901.3848	14829.4424	13081.249	20349.334	19829.4492	14444.7012	12373.5449	14189.8584	15496.9307	17185.2109	20910.6133	14054.1621	16978.8086	15084.0986	13589.2383	21842.5234	17036.0625	13625.9678	16253.4453	16431.6191	17501.4629
0.934	13755.2148	17267.2734	14502.3682	26932.5918	17090.9473	14367.8564	15110.748	17374.2598	15085.6797	16197.9541	26604.4062	14534.6963	12937.4355	16843.5195	14945.6318	21462.7871	12191.6348	13966.6416	14442.1357	15241.3711	15724.2334	17069.2656	11713.2568	12844.9717	16049.4307	14548.7393	14777.2217	15758.1396	13516.3262	14473.998	14254.7852	15262.3945	14156.6641	14173.9385	17655.2031	19517.5703	12044.5996	15537.4863	11427.3682	14662.7168	16252.8232	14226.0684	16155.7598	16993.1094	15265.6855	11765.2412	18282.5762	19086.6973	14922.5557	12672.0332	13590.0732	14539.4912	16371.1162	20071.3301	13353.7959	15071.0146	15916.6523	13669.1943	21113.8945	15785.2578	12372.9209	14995.6602	15727.2051	15629.3721
1.0674	14045.3398	16480.8477	14562.0137	24446.8457	14978.1982	14067.1143	16179.6162	15007.7822	14700.5449	13946.1152	24087.5938	13690.0049	12201.0361	16396.7988	14453.1299	18104.4238	12126.5576	14471.1426	12742.5781	14809.9092	14368.0869	15491.1699	12669.5498	12512.3252	16759.2383	13243.5342	13823.2246	13499.626	12951.3428	14654.6016	13713.5186	15777.0928	13241.6709	13721.3652	17356.3652	17184.8672	11305.3145	14181.2314	11346.3477	13073.8408	17717.5742	13604.3535	15263.165	16481.5215	14774.8486	12054.1357	16806.6465	17038.7871	14279.4521	13190.3369	13662.4268	15053.1055	16984.1777	20031.0176	12522.7363	15116.7275	16571.0195	13340.4004	19075.1504	14384.8691	12069.6914	14438.5117	14754.0205	16186.2773
1.2008	14236.6143	15461.2754	13742.7529	21801.9414	14565.2891	15103.1045	18503.5449	14873.3252	14960.877	13716.1123	21540.0391	13636.4893	11758.6602	15284.1621	15055.4678	15971.207	11398.9531	14296.1611	12138.0566	14478.2979	13967.6592	13684.9014	13448.958	13218.29	16250.4326	13932.2461	13325.2227	13994.9609	12898.6455	14363.582	14067.4766	14853.085	12294.6768	13961.0215	16183.21	14993.999	11200.5596	14388.8994	11683.543	12410.0215	17487.1367	14223.376	13640.998	14460.2822	14570.4727	12528.2842	15491.7148	16670.9004	13816.4746	14181.54	13091.1162	14408.3467	19711.6621	19217.5781	12585.085	14588.1592	16583.8809	13567.9883	17796.8535	13751.457	11351.7217	14579	17073.2754	17032.7695
