x	Y_20180224_15102_10_5g	Y_20180224_15102_12_12g	Y_20180224_15102_12_16g	Y_20180224_15102_12_7g	Y_20180224_15102_14_4g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_6g	Y_20180224_15102_24_5g	Y_20180224_15102_25_3g	Y_20180224_15102_25_9g	Y_20180224_15102_26_5g	Y_20180224_15102_26_7g	Y_20180224_15102_27_1g	Y_20180224_15102_27_6g	Y_20180224_15102_28_5g	Y_20180224_15102_28_8g	Y_20180224_15102_29_1g	Y_20180224_15102_4_10g	Y_20180224_15102_4_11g	Y_20180224_15102_4_3g	Y_20180224_15102_5_1g	Y_20180224_15102_7_8g	Y_20180224_15102_8_1g	Y_20180224_15102_8_6_s_g	Y_20180224_15102_8_8g	Y_20180224_15102_9_5g	Y_20180224_15102_9_6_s_g
0	13265.404	12502.217	13266.377	15331.705	13564.671	14719.169	12790.079	11354.395	12811.2	13572.865	12372.418	13091.377	13151.463	12007.658	15899.979	14023.619	13933.407	12948.308	12471.049	12677.084	18796.559	20840.73	10812.687	12966.981	15918.085	15045.634	13514.629
0.1334	14904.613	13350.605	13774.383	18712.625	16090.009	15589.59	16469.295	12037.929	15938.848	14539.2	13203.878	15031.062	13250.107	13205.344	15859.445	15759.024	15392.873	13653.415	13228.263	14070.906	20104.438	29041.869	11917.501	12165.196	16577.885	19735.648	14889.581
0.2668	17862.828	14812.858	15164.54	28363.422	19717.77	17830.488	22211.988	14406.437	22905.656	16363.283	16485.227	19020.604	15827.409	15321.071	17242.406	18295.164	18276.838	17687.852	15577.178	16572.844	26976.25	31945.58	13121.228	12383.645	19061.984	28965.393	19051.141
0.4003	23058.979	18730.859	17510.947	42201.18	26260.809	22392.494	29107.223	18695.928	27188.924	20208.277	21565.15	25784.07	16285.1	18225.281	21745.314	23159.096	19408.809	20894.414	19247.146	22174.074	34006.918	26920.975	15852.113	15083.014	22712.941	38497.637	24889.271
0.5337	25343.77	19434.096	18862.52	47339.254	30795.234	25707.25	28161.516	25569.725	27441.326	21033.85	25270.572	27963.537	16921.35	19105.572	24479.406	36452.164	19340.824	22776.66	19864.688	24918.877	35471.988	21958.406	19256.307	20269.346	21316.639	36636.129	26336.023
0.6671	22089.383	19519.141	19486.477	43096.492	32588.969	24865.889	25302.469	26101.914	23779.086	19371.881	24685.277	24257.555	15919.194	17697.98	24077.254	58430.809	17340.479	20132.844	17817.322	22893.697	30696.023	20384.883	20717.311	21768.699	20255.549	31528.721	23211.455
0.8005	20541.092	18238.174	18060.49	38220.824	29515.27	23616.014	22376.342	21708.146	19831.447	18028.432	21980.967	20466.137	14524.014	16370.179	22970.945	70075.43	16979.895	19142.393	16708.553	21557.668	25551.184	22114.578	20243.791	19445.621	20276.982	25489.779	21733.211
0.934	18401.34	17953.924	17934.486	31477.424	27043.02	23339.867	20528.848	21312.311	17875.691	17673.445	19325.621	18728.277	15604.918	15849.254	20931.869	55204.48	17951.947	17446.518	18288.311	19980.098	23674.439	21230.133	19606.082	16531.455	19942.793	22560.496	21530.367
1.0674	18063.553	17746.111	17223.688	27782.764	25735.861	23109.322	19877.117	20382.824	18115.422	17486.232	19500.838	18772.27	16757.201	15054.522	19772.914	46111.855	18070.545	17207.371	20505.033	19079.91	22538.377	19562.229	18429.699	16119.415	18926.68	21133.51	20260.904
1.2008	18128.031	17547.754	16428.393	28367.24	24245.305	23045.037	19816.895	18676.914	19206.418	17988.369	19324.391	18891.689	17841.17	14970.433	20033.076	41841.773	17725.508	18842.227	22131.217	18042.217	22084.969	18519	19967.746	16868.414	18679.219	20195.172	18829.037
1.3342	18283.758	17398.709	15659.383	29899.455	23496.826	20874.818	18966.58	18028.395	20717.023	18409.621	19031.68	18164.006	17727.807	16740.029	19535.002	39188.531	18496.764	20219.994	24037.834	17279.826	21466.57	18218.664	21821.48	17232.094	18313.141	19961.168	17984.553
1.4676	18904.941	17500.539	16442.324	31035.598	21711.242	19463.771	18966.275	16948.641	22143.254	18179.375	18821.283	17871.684	17593.758	17282.83	19316.309	37156.91	19288.043	21339.771	25318.402	15865.899	21078.156	17676.994	23114.975	16092.895	18146.553	20439.477	18335.912
1.6011	18237.992	17169.168	16896.904	31738.051	23186.318	20625.609	19023.496	16474.77	21286.48	18300.242	18435.02	16749.404	16877.248	18253.072	18841.785	37426.551	20389.586	21941.014	23841.477	16116.412	20021.949	17954.594	22227.406	17225.869	18887.268	20211.797	19310.859
1.7345	16259.547	17063.811	16831.381	29217.668	27802.309	21364.324	17491.35	16324.2	20653.02	18163.004	19245.994	16244.675	17092.342	17100.416	18319.014	35370.371	19356.088	20453.35	20733.582	14981.396	19639.5	17798.566	22147.156	16990.848	19668.77	19645.471	21091.945
1.8679	16396.381	16622.504	16525.746	26983.094	30352.482	20265.943	18154.35	16838.254	20003.184	19024.545	20312.713	16172.775	17701.709	16343.095	17734.578	32694.471	19418.598	18481.143	18053.082	15479.51	19527.691	17496.854	21370.023	18819.67	19003.783	19057.836	20109.26
2.0013	16721.346	17025.312	18151.857	25268.533	27836.715	19195.107	16888.803	15716.491	20044.146	21408.824	20296.773	16420.703	18004.381	15407.64	17039.297	33695.293	19974.336	17440.781	18107.318	15893.452	18004.645	17844.512	20657.25	19423.316	18719.002	19194.646	19896.137
