x	Y_20180212_14590_11_1g	Y_20180212_14590_12_1g	Y_20180212_14590_12_2g	Y_20180212_14590_18_3g	Y_20180212_14590_19_1g	Y_20180212_14590_1_1g	Y_20180212_14590_1_2g	Y_20180212_14590_1_5g	Y_20180212_14590_21_1g	Y_20180212_14590_21_2g	Y_20180212_14590_23_1g	Y_20180212_14590_26_1g	Y_20180212_14590_2_2g	Y_20180212_14590_2_4g	Y_20180212_14590_31_1g	Y_20180212_14590_31_2g	Y_20180212_14590_34_1g	Y_20180212_14590_37_1g	Y_20180212_14590_40_2g	Y_20180212_14590_40_3g	Y_20180212_14590_41_1g	Y_20180212_14590_41_2g	Y_20180212_14590_44_1g	Y_20180212_14590_5_1g	Y_20180212_14590_5_2g	Y_20180212_14590_9_1g	Y_20180212_14590b_10_5g	Y_20180212_14590b_12_6g	Y_20180212_14590b_17_1g	Y_20180212_14590b_22_2g	Y_20180212_14590b_26_6g	Y_20180212_14590b_30_5g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_4g	Y_20180212_14590b_40_2g	Y_20180212_14590b_47_1g	Y_20180212_14590b_47_7g	Y_20180212_14590b_48_12g	Y_20180212_14590b_5_6g	Y_20180212_14590b_9_7g
0	13808.517	12835.466	13826.381	13301.799	14323.329	13164.557	17994.619	15208.671	13396.885	15697.947	13864.616	14585.314	13206.183	12307.191	16778.918	14623.701	12561.7	14709.553	10941.557	15913.776	13315.756	17795.639	13898.544	12249.812	13214.231	12987.938	11893.415	12439.051	11754.832	14589.188	17943.676	13824.715	13800.994	14057.221	14709.05	13028.285	13759.576	12433.849	14442.664	12996.186	13215.505	17060.752
0.1334	14046.51	14461.355	15659.877	14094.34	15320.339	14379.037	18268.576	16972.184	13523.394	15550.642	14654.729	14749.443	13809.658	12795.356	15752.085	15961.433	13358.018	14824.891	10722.453	15989.029	14092.516	18183.193	13881.926	13173.684	14265.904	13471.657	13039.602	13321.68	12758.036	15174.482	19130.824	14358.657	14941.636	15225.627	15315.662	16728.141	13961.818	13844.308	17096.576	13097.272	13895.032	17440.637
0.2668	15039.283	16169.851	19777.004	15483.448	15783.423	16459.076	19324.471	20298.008	14853.373	17438.824	14949.939	16894.646	14578.6	14205.712	16690.109	17191.768	15482.911	15846.722	12311.103	17505.395	15529.438	20254.639	14373.911	16502.672	16786.264	14081.9	14839.3	16022.031	13287.547	16317.486	20781.887	14801.404	16125.209	17909.592	17530.842	18990.352	14508.083	18408.221	19864.803	16150.672	14964.016	19392.533
0.4003	16351.201	20304.531	18798.512	20215.248	18694.898	17950.379	22016.496	23453.996	15266.313	21524.377	18202.562	19908.377	17630.092	17035.447	17753.207	19095.139	18049.906	18219.375	13659.428	19736.377	19037.053	25825.293	15264.663	20585.664	18890.172	14937.418	17203.42	20430.688	14446.862	17730.822	22173.744	15013.083	17357.979	20033.941	20157.746	18002.359	15411.367	22716.754	18339.926	19192.125	17710.479	22008.291
0.5337	17328.891	20211.52	18355.27	22974.795	24203.943	19219.92	23799.701	22273.551	17663.217	23811.627	18672.855	25644.496	19105.312	17039.65	20040.07	20676.047	18731.648	20118.793	15145.903	20315.75	25676.703	28760.396	19598.137	20883.936	20109.947	17007.951	19842.977	27768.98	16698.92	17216.268	22051.764	15636.817	17278.168	20155.012	19270.479	17489.311	17165.711	21731.115	18974.416	21899.461	18517.332	20294.545
0.6671	18811.449	19707.463	17731.248	22349.744	29322.574	17297.143	24645.213	20946.242	20673.676	24302.816	16762.178	28083.268	18557.18	16143.076	20630.621	20983.08	19152.377	19630.152	15498.656	18812.146	27226.879	28032.82	25243.641	19998.311	19084.619	18942.746	18053.334	29628.445	17221.402	17609.297	20165.789	18001.363	16777.475	19143.766	18739.924	18754.424	17053.686	21254.691	19570.84	20176.805	17919.184	18705.41
0.8005	17284.783	19156.947	17227.283	19823.648	26218.049	18279.916	21599.6	19745.635	25275.09	21629.52	17440.828	27147.652	15866.441	16149.015	19348.217	20190.158	18572.041	18328.125	14683.083	17904.797	25218.025	27521.492	26894.367	18247.887	17042.393	21426.16	16643.684	26210.742	16490.514	18516.557	19232.033	19384.012	17561.189	17965.619	18559.734	18459.223	17256.109	23395.871	20917.639	17905.938	16088.137	18300.514
0.934	16683.605	18126.244	17431.654	18569.648	23520.482	17980.916	19766.682	18913.209	24311.447	18817.535	17235.994	24280.6	16218.162	15591.122	18441.201	19825.971	17436.137	17524.506	14333.32	18322.465	21811.791	26922.514	23673.586	16217.815	17650.754	21526.09	17045.879	23205.898	17269.445	18494.107	19186.029	19799.625	19202.301	17736.145	18235.957	18273.109	16930.934	23177.652	24922.24	17216.178	15848.104	19070.088
1.0674	16128.744	17727.174	16953.352	17638.557	21132.979	19449.242	19428.305	17329.832	21340.23	18216.379	17695.34	21896.857	16276.013	16587.322	19105.486	19997.502	16888.682	17177.967	14946.381	15912.964	21382.43	25551.449	22341.723	16884.361	18815.469	20025.424	17024.5	21309.77	16885.273	18557.439	18626.158	18417.791	19549.424	18462.67	21441.352	17282.75	17171.512	23082.344	29412.777	16442.631	15993.981	19514.385
1.2008	15386.928	17771.816	17870.055	17022.533	21428.457	22294.186	18732.031	18475.4	19179.406	17061.537	17839.076	21029.164	16957.352	17939.027	19810.662	21832.57	17338.602	17021.756	15289.411	15860.772	20434.545	28485.012	20186.756	18297.842	20540.707	18470.01	16140.354	22475.953	17265.959	21038.52	17113.926	17810.426	21731.635	20035.113	25748.889	19347.223	17129.668	19157.154	28075.244	17044.404	16818.283	20220.707
