x	Y_20181208_15692_30_11g	Y_20181208_15692_30_16g	Y_20181208_15692_30_8g	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_6g	Y_20181208_15692_31_7g	Y_20181208_15692_31_8g	Y_20181208_15692_32_8g	Y_20181208_15692_32_9g	Y_20181208_15692_33_12g	Y_20181208_15692_33_1g	Y_20181208_15692_33_3g	Y_20181208_15692_33_7g	Y_20181208_15692_33_8g	Y_20181208_15692_34_10g	Y_20181208_15692_36_13g	Y_20181208_15692_36_1g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_20g	Y_20181208_15692_37_6g	Y_20181208_15692_37_8g	Y_20181208_15692_38_16g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_38_9g	Y_20181208_15692_39_10g	Y_20181208_15692_39_2g	Y_20181208_15692_39_3g	Y_20181208_15692_40_17g	Y_20181208_15692_40_2g	Y_20181208_15692_40_3g	Y_20181208_15692_41_10g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_16g	Y_20181208_15692_41_6g	Y_20181208_15692_42_5g	Y_20181208_15692_42_9g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_43_20g	Y_20181208_15692_43_2g	Y_20181208_15692_43_3g	Y_20181208_15692_43_6g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_45_10g	Y_20181208_15692_45_13g	Y_20181208_15692_45_15g	Y_20181208_15692_45_2g	Y_20181208_15692_45_3g	Y_20181208_15692_45_5g	Y_20181208_15692_45_6g	Y_20181208_15692_45_8g	Y_20181208_15692_46_15g	Y_20181208_15692_46_18g	Y_20181208_15692_46_7g	Y_20181208_15692_46_9g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_7_10g	Y_20181208_15692_7_1g	Y_20181208_15692_8_3g	Y_20181208_15692_8_6g	Y_20181208_15692_8_8g	Y_20181208_15692_8_9g	Y_20181208_15692b_10_6g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_2g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_12_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_5g	Y_20181208_15692b_7_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_6g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_5g
0	28199.8164	29707.7461	29957.2617	25251.8652	27264.7988	25805.2441	29835.791	29900.8496	26938.9531	31800.832	32294.3145	29529.7715	30447.4043	25923.1152	28630.3633	29925.4863	28075.8398	28648.9551	29334.9453	27607.5215	31553.1758	27834.6914	26202.4922	28515.4434	29825.1387	31423.3203	25564.8086	26990.2871	31138.8145	28939.1875	28847.4336	28236.4844	27276.2793	29760.6641	30744.6738	30743.1953	28847.5098	28904.998	25652.9941	29645.7793	29644.2852	29217.3008	31408.7422	26346.1523	28166.7422	27297.1328	28310.541	31733.0957	31099.5449	29125.3809	27211.5098	31676.3418	28998.5039	29049.9844	29154.4336	29987.0234	25743.2227	30515.7773	29500.0098	32560.3633	25978.1875	30611.873	30235.2148	31252.5508	30730.3379	27969.0488	28950.9629	28627.8164	32674.2109	29312.5918	28852.1855	27667.1973	30018.0273	29317.752	30598.666	30603.0352	26084.2051	31214.1621	30089.5293	29305.416	32548.4004	27695.4961	28018.9355	30031.8438	32169.6641	29910.5137	31331.6055	30270.7324	32055.3457	31695.373	29617.1074	29665.752	27943.8574	31155.0508	27913.4883	25329.9121	34392.6602
0.1334	27964.1289	30371.4375	30203.7891	24852.9004	29308.1172	25649.666	30612.1855	30581.3516	27706.75	31924.9961	33980.8047	29092.0527	30472.498	26864.3066	27984.5723	30009.2422	28913.2441	28493.0566	29078.3535	27483.0938	32487.209	28576.457	27150.0332	28509.5098	29020.9375	31737.2012	26781.2031	27531.8027	32028.3555	28420.8242	29277.6133	28165.9121	28934.0117	28855.1758	31736.666	28301.9863	30257.2988	27768.3027	26182.0391	29471.6035	29683.875	28913.8496	32002.3633	25540.5918	27025.2148	27593.416	28937.1504	30634.6953	33035.4375	27791.4902	26847.8379	32013.3145	30035.3496	30234.957	28970.9453	31372.0195	25819.5664	30758.1934	28557.373	31928.1035	25997.4258	31581.791	32572.3672	31359.498	30644.5234	25963.4102	30325.2305	27414.998	33008.5547	29219.2637	28833.5293	27954.3613	30367.8145	29732.0645	30282.9785	29573.4395	26922.9609	31548.5039	31587.6895	30702.8613	31715.627	29013.8301	26124.8164	32289.4043	31677.4453	28260.6094	31386.9336	28914.7246	32095.3906	32958.7695	28184.75	30573.9297	27727.1016	31524.9492	27587.2617	25119.8633	32968.3008
0.2668	30215.1816	31782.832	30314.4316	25043.2285	28641.8867	26027.627	30010.4707	31859.3008	28029.4004	32278.3574	32986.9648	29970.5312	29884.623	26661.3887	29210.6348	30585.6035	27742.3828	28064.5059	28391.9805	27990.7773	30309.002	28553.2715	28193.4922	29345.418	29122.3496	31172.2578	25706.5	26447.2539	32689.8691	28753.8262	29872.5664	26907.8418	27684.8457	28820.0176	32798.0078	30167.3184	28616.3398	27506.9609	26216.5176	28146.9277	30355.3301	29060.2109	31868.5195	26448.2578	27303.8711	27266.3809	29527.0703	31145.1074	31675.4043	28693.502	26904.0684	31627.5664	29594.3359	28377.1113	28789.7227	30932.1953	26224.1035	30626.418	27779.248	32638.5352	25577.9922	30583.0508	30613.8477	31537.7715	30476.9766	26492.7617	28287.7363	28648.3848	33930.4297	30799.5195	28053.4121	27373.2363	30385.5293	28389.2852	29284.5332	28184.8848	25362.2305	31516.1816	30143.707	29025.248	32134.5039	28527.1484	26297.6934	30279.3945	31968.8105	29197.8906	32336.6035	27619.7207	32342.2617	33106.2031	29372.2793	29696.1738	28092.752	31524.8145	26770.4102	24731.8496	33204.5625
0.4003	29079.0176	31338.873	30980.3301	24755.9395	28072.416	26857.2832	29131.8184	31338.7793	27224.9844	31973.2383	32096.7734	28595.8828	29970.8281	25896.9395	28327.9062	30526.75	27904.5332	28293.2168	28081.5566	26827.4922	31065.7324	28832.332	28804.873	30531.002	29325.7051	30786.0586	25860.3574	26282.7891	32509.5039	29909.9609	30043.5898	27221.4238	28008.0254	28967.7285	31830.4551	28919.3398	29242.5898	28685.082	26176.9199	30344.8379	29617.6602	27739.4746	31853.8633	27238.0488	26992.1582	27726.2168	30035.3633	30870.0625	31504.0273	28950.1074	26312.0508	31684.8203	28704.7227	27876.3945	28983.9355	29993.6113	25477.7656	30560.9238	28544.0801	32229.5566	26333.1016	29596.375	31793.8535	30736.5547	30593.7051	26584.4492	28477.3223	28653.3223	33119.7617	29787.166	26367.2012	27290.7598	29758.791	29113.127	29638.0938	28456.0215	24446.168	30354.7793	29786.2148	29265.6895	32119.1367	29215.0488	27264.3184	31010.7012	30655.6934	29098.2129	31841.5684	27778.0723	30284.5957	31920.582	30191.4375	28441.8945	27997.0664	31558.2246	26543.4082	24765.3086	32862.0469
0.5337	28245.9277	32545.0586	29705.2852	26081.4902	28174.3906	25971.918	30660.5957	31905.6855	26311.5684	31264.2656	32187.9629	28801.7168	31109.1758	26476.1699	29022.9492	32185.5977	28719.0371	27476.8691	28006.1113	27783.2227	31183.8535	29824.9727	28386.457	29560.6523	30232.8008	32304.9199	26433.7793	26350.8535	31816.8555	29310.5547	30761.5352	27132.1191	27721.8145	31230.2285	31954.4766	28509.1875	28234.6855	28031.457	26995.5938	30318.3555	30647.3301	29051.0898	31728.8496	28273.4688	27657.5742	27450.2754	28284.6113	29052.5254	33718.6328	29358.1504	26578.9023	30337.5234	30962.5996	29351.1758	28227.9453	27278.2305	26990.0762	32869.8633	28150.8203	30665.9531	27192.8555	30123.7285	29801.8281	31186.959	30056.1895	25748.4355	29284.9727	28337.6816	32326.3809	30088.2539	27034.9629	28206.0371	29241.3242	30175.168	31176.1699	27962.4297	25015.25	31251.7891	30893.3242	29528.6406	31288.1875	28798.2773	28033.2812	32553.2539	32140.4785	30107.5996	30830.0957	29205.7734	30309.4902	31702.8457	30884.8809	29657.6523	26412.125	30417.7617	27393.4121	24129.75	33961.5273
0.6671	29732.7891	31289.4297	30296.5781	26201.9629	28662.9727	25981.709	29739.4492	31717.8184	27780.2871	31767.0664	32315.7734	30186.791	30980.2383	27240.1602	28148.9824	30143.748	27804.4375	25879.6172	27495.1035	27248.1367	31125.082	30724.6523	26981.6406	27966.8359	30877.748	32112.6836	26594.7227	26012.1484	32126.4062	29980.334	29943.8281	27344.7578	26627.1777	29825.2734	33247.3047	29909.9531	29534.1855	27489.0371	27239.957	29027.9961	30978.4766	28755.5625	30072.459	27315.2207	28096.8457	26557.7402	27312.5625	28774.0176	31307.9727	29138.0312	27135.3145	29978.1055	30873.6387	28700.123	29515.3945	27836.2715	27392.7324	32342.2305	28657.8848	31437.75	27842.8555	30194.709	30532.4141	31005.8945	30737.3555	26639.9277	30818.4043	27999.0781	31547.0996	31117.8574	25700.0293	27942.1211	29341.2344	29132.5098	30250.7988	29120.7949	24933.5781	31252.2363	29379.9531	31447.6875	31042.5312	29548.0176	28325.0332	33050.7773	32723.7754	30382.3633	31774.1836	28299.0059	31333.6797	34208.4961	30193.7363	29650.8086	25728.9492	30776.0488	26746.7207	25649.9453	31675.5918
0.8005	29980.3633	30442.2441	29310.0215	26497.5898	29534.334	25450.6836	29617.4648	30511.3574	28157.7266	32308.1094	32914.1172	31125.3809	31192.5527	25988.4199	29768.8262	30756.5938	27161.8516	28223.4395	27433.9551	26788.0371	32082.1289	30169.5449	27013.793	29866.6172	30091.2969	31797.1602	25773.2148	26526.6816	32749.3555	28524.6816	29399.4492	26786.5371	27716.1582	28072.3477	31265.0078	30329.5801	29663.3066	26831.9141	26880.6777	29325.666	29108.5117	28463.4121	30690.4961	27087.2949	27732.0371	26175.166	29061.9492	28645.3848	32189.5469	28632.1602	26715.7168	30918.9121	30924.6445	27853.1426	29030.4668	29017.793	27475.8418	33154	29154.5449	32215.6113	26823.25	30938.2051	31647.0293	31042.0352	29458.6348	26015.0469	28964.4453	29268.9414	32384.9707	29808.7461	26386.3164	27499.8516	30254.7207	29484.998	28985.6289	27601.9746	24000.7539	32106.8066	29393.6836	30382.4727	31030.3105	29509.8164	28248.8164	34016.7422	32712.1621	29036.6016	30662.9102	26795.2832	30901.5898	33158.0469	31237.2812	31468.0645	27233.1934	32583.0195	26771.1133	25895.2656	31082.6621
0.934	32131.4668	29879.3125	28948.4766	27054.7559	28491.7988	26293.584	29500.5977	31286.3535	29393.5215	32113.1289	32644.7832	30054.7949	32422.3672	25043.7109	30695.6621	30193.8379	28238.584	27177.4902	27378.7852	26691.5508	30630.7383	30625.6016	28679.418	27875.2676	29764.791	33097.293	26833.1777	27108.7148	31407.3027	29239.6113	29161	27355.8301	26752.8613	30335.0938	31734.6035	30167.4824	30584.582	27105.2676	26131.2891	28751.0117	29771.8086	28887.4355	31938.3086	27551.4863	27173.3672	26936.3242	29665.7598	28519.7949	30646.6387	28258.7305	26785.2461	31294.5996	30586.9121	28154.5	29743.5391	30111.3887	27724.8242	32847.3359	27971.623	31139.7266	26406.0293	29300.2676	30206.4297	32210.166	29392.8184	27166.2422	28946.1172	29334.9648	31485.2891	30151.3086	27946.3848	28859.5801	28947.0781	28523.2383	30211.502	27154.957	23588.0312	31533.1504	29903.7852	30876.502	31560.0039	30016.418	26991.0273	32183.6777	31748.7246	27714.4883	30973.8418	26230.8242	31649.9453	33668.125	29958.7031	29902.0879	28490.5938	33485.3008	26100.6797	26324.7715	30201.4277
1.0674	33073.6562	30998.5879	30673.6543	26566.0977	27248.6133	26885.6934	28849.6953	31233.543	28698.8652	31473.3828	34411.7773	28205.9434	31124.8047	25655.9902	30757.1074	30038.4648	28154.5469	26516.041	27802.4688	27375.1113	31628.0957	30811.9805	27174.1914	27726.6016	30508.4551	31432.9375	26170.0508	26721.9297	32149.3516	30391.0391	28286.4473	28254.5371	27518.9961	28951.0781	30792.5742	30070.5586	29052.6797	27825.1328	27116.6855	29061.166	29658.293	29070.6113	31356.7031	28107.0645	26507.6934	26448.0312	28936.1641	30518.4648	30662.582	29285.6855	26180.123	31853.457	31745.2207	28221.4883	29392.8359	30019	26488.7441	33421.9961	28543.0566	30352.4434	26600.7383	29522.668	29584.7168	31622.8281	28861.3164	26884.0859	29279.4648	30353.1172	32023.3945	30999.7344	26938.2871	30200.3652	29597.0508	28633.0801	29863.2812	27579.5898	25082.2988	30010.0371	29647.7031	30196.1016	31974.8125	28384.0098	28494.627	32094.8125	32151.0801	28567.3789	31338.7324	26950.1328	30570.6973	32854.75	30435.791	30586.377	28699.0195	31581.6465	25610.2012	26810.5859	31675.7051
1.2008	32448.0195	30424.1055	30042.8398	26619.7227	28435.1055	29379.166	29269.543	30988.5488	26226.3984	30578.3945	34901.5508	28675.0938	32506.2773	25484.6035	29706.8008	29596.582	28472.1152	26797.5527	28425.0547	27467.2715	32956.832	31984.8105	28525.9414	29305.3105	30477.4668	31826.7031	26014.5039	26957.707	31050.4609	30234.207	28611.1953	29385.6406	27525.5527	31454.502	32292.6777	30055.3555	29314.4551	29326.2852	27694.0508	28950.9082	30492.3164	28416.4395	30431.418	27040.6016	27527.1953	27393.2188	27650.5312	28682.6016	32906.0781	31387.5781	26173.5371	32651.3926	31342.666	28093.8086	28419.6133	30629.9355	24993.0098	32142.8613	28533.1211	30977.1602	26379.0078	28860.543	30404.2188	31218.4355	29497.8691	26374.5293	29909.2227	28747.6309	32344.8105	32559.5723	27866.7773	29176.8516	30167.2402	28302.4414	28511.7461	27731.0391	25715.9727	29801.9453	29824.4941	31469.752	32788.832	29431.4316	27773.6367	32111.0547	33305.3438	30025.2695	32582.4023	27256.6602	29833.8535	32026.1855	30676.8535	30395.6055	28689.1504	33233.5352	24978.252	27458.875	32941.9023
