x	Y_20181208_15100_11_4g_left	Y_20181208_15100_14_1g_left	Y_20181208_15100_16_1g_left	Y_20181208_15100_6_10g	Y_20181208_15100_6_3g_left	Y_20181208_15100_6_6g	Y_20181208_15100_7_8g	Y_20181208_15100_13_10g_right	Y_20181208_15100_14_1g_right	Y_20181208_15100_16_1g_right	Y_20181208_15100_21_8g	Y_20181208_15100_22_11g	Y_20181208_15100_22_21g	Y_20181208_15100_26_3g	Y_20181208_15100_27_4g	Y_20181208_15100_3_1g_right	Y_20181208_15100_30_3g
0	11460.54	12361.5508	12144.915	12587.0898	11174.5332	12550.9688	12764.752	11096.5156	12689.5039	10674.1758	10570.2598	13691.9551	11064.1377	10056.8896	11641.8848	11897.7314	14164.3271
0.1334	13540.8682	14705.9053	12448.6689	13131.2832	12886.6523	12867.7734	15988.4668	12207.8867	15101.1836	13324.3887	10715.3789	13802.0889	12436.5371	12043.1113	12553.6758	12560.5527	16446.0352
0.2668	16798.9004	19705.4473	15223.8125	14839.5469	16567.1953	14768.0273	21366.3438	11745.1562	15538.1953	16505.5352	12025.5508	13408.4102	13824.4766	14769.4043	13739.5283	13449.6641	19334.5859
0.4003	26014.3418	24186.4492	16943.8457	18716.8984	19057.4727	15107.7803	20573.4297	12013.7041	14720.2344	17878.7422	14072.8301	13938.335	16289.4316	18105.8359	16509.7695	14897.2627	22386.4492
0.5337	34883.8477	23069.5645	18523.2012	18943.2324	18378.3711	19533.4531	18282.6562	13723.624	12967.5898	16101.2666	15839.7842	16878.4355	19035.2461	20340.4902	20092.3828	17573.2598	26104.6699
0.6671	37155.668	19141.1426	18570.166	17387.0684	16513.1289	25194.3066	16401.5449	14911.4512	12599.375	15054.8926	15577.6035	18742.3379	20171.0469	17760.4277	22341.0469	17891.2695	23121.3926
0.8005	32572.75	16050.5195	18409.8359	14486.8652	15673.2686	25995.3008	14935.4248	15187.6963	11911.9365	13489.3604	14829.4424	20349.334	19829.4492	15496.9307	20910.6133	16978.8086	21842.5234
0.934	26932.5918	14367.8564	17374.2598	12937.4355	14945.6318	21462.7871	13966.6416	15241.3711	11713.2568	13516.3262	15265.6855	18282.5762	19086.6973	14539.4912	20071.3301	15071.0146	21113.8945
1.0674	24446.8457	14067.1143	15007.7822	12201.0361	14453.1299	18104.4238	14471.1426	14809.9092	12669.5498	12951.3428	14774.8486	16806.6465	17038.7871	15053.1055	20031.0176	15116.7275	19075.1504
1.2008	21801.9414	15103.1045	14873.3252	11758.6602	15055.4678	15971.207	14296.1611	14478.2979	13448.958	12898.6455	14570.4727	15491.7148	16670.9004	14408.3467	19217.5781	14588.1592	17796.8535
