x	Y_20180224_15100_13_2g	Y_20180224_15100_13_4g	Y_20180224_15100_21_5g	Y_20180224_15100_28_10g	Y_20180224_15100_2_5g	Y_20180224_15100_33_6g
0	39346.797	39024.387	39337.316	36652.621	39028.055	32094.357
0.1334	37570.062	39758.039	37545.941	36861.594	40007.121	34617.738
0.2668	37062.871	38045.309	39091.938	38942.121	39516.43	32966.621
0.4003	39952.738	39864.156	38783.262	38429.598	40762.91	32654.346
0.5337	37131.586	40961.844	40030.035	36940.469	41942.066	33207.785
0.6671	37474.793	40390.664	41310.301	37330.59	41674.883	34155.312
0.8005	39036.918	41936.035	40121.484	37878.453	43381.156	37301.105
0.934	38733.199	42327.691	41944.176	37577.035	43583.086	38141.172
1.0674	38117.129	42178.797	42508.035	38068.273	43579.434	36567.391
1.2008	39510.551	43539.504	42241.27	37899.809	42070.344	35280.926
1.3342	39265.438	43639.453	41773.816	37085.23	42267.922	36370.531
1.4676	39898.918	45976.852	39490.91	36626.152	41293.609	36470.223
1.6011	40386.32	44663.059	40930.312	37916.758	41562.25	36103.949
1.7345	38903.176	47361.727	41437.16	38744.125	41373.551	35193.27
1.8679	39373.277	48597.18	40858.852	38620.09	42552.332	35681.633
2.0013	40040.551	55427.312	42641.961	41440.945	42423.539	35224.703
2.1348	41853.594	75386.438	43711.551	47609.668	46612.406	35204.047
2.2682	45652.797	126850.867	44526.711	58533.27	50785.527	38550.301
2.4016	54613.723	184316.062	49123.648	65505.074	53696.145	45305.738
2.535	65824.391	185236.016	62477.082	58018.598	49977.363	54557.781
2.6684	58765.324	121388.344	73210.68	48725.836	44942.5	61834.16
2.8019	47330	75995.312	65442.859	44294.84	43981.695	53890.73
2.9353	41526.301	56612.047	50959.945	NaN	NaN	44012.695
3.0687	39513.375	49358.113	46851.32	NaN	NaN	NaN
3.2021	NaN	NaN	41248.461	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
