x	Y_20181208_15692_30_10g	Y_20181208_15692_30_13g	Y_20181208_15692_30_15g	Y_20181208_15692_30_3g	Y_20181208_15692_31_12g	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_4g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_33_14g	Y_20181208_15692_33_1g	Y_20181208_15692_34_2g	Y_20181208_15692_34_5g	Y_20181208_15692_36_12g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_18g	Y_20181208_15692_37_1g	Y_20181208_15692_37_20g	Y_20181208_15692_37_4g	Y_20181208_15692_37_8g	Y_20181208_15692_38_13g	Y_20181208_15692_38_17g	Y_20181208_15692_38_18g	Y_20181208_15692_38_2g	Y_20181208_15692_39_21g	Y_20181208_15692_39_3g	Y_20181208_15692_40_11g	Y_20181208_15692_40_14g	Y_20181208_15692_40_16g	Y_20181208_15692_40_3g	Y_20181208_15692_40_4g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_15g	Y_20181208_15692_41_16g	Y_20181208_15692_41_17g	Y_20181208_15692_41_2g	Y_20181208_15692_41_7g	Y_20181208_15692_42_14g	Y_20181208_15692_42_18g	Y_20181208_15692_42_2g	Y_20181208_15692_42_8g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_43_16g	Y_20181208_15692_43_8g	Y_20181208_15692_43_9g	Y_20181208_15692_44_10g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_44_4g	Y_20181208_15692_44_6g	Y_20181208_15692_45_11g	Y_20181208_15692_45_13g	Y_20181208_15692_45_5g	Y_20181208_15692_45_7g	Y_20181208_15692_46_16g	Y_20181208_15692_46_18g	Y_20181208_15692_46_1g	Y_20181208_15692_46_20g	Y_20181208_15692_46_21g	Y_20181208_15692_46_22g	Y_20181208_15692_46_2g	Y_20181208_15692_46_3g	Y_20181208_15692_47_1g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_47_7g	Y_20181208_15692_6_13g	Y_20181208_15692_6_3g	Y_20181208_15692_6_7g	Y_20181208_15692_6_9g	Y_20181208_15692_7_1g	Y_20181208_15692_7_5g	Y_20181208_15692_7_9g	Y_20181208_15692_8_1g	Y_20181208_15692_8_8g
0	29681.5488	27754.7168	30055.4824	30160.2812	26378.2773	25251.8652	27264.7988	29844.4531	29900.8496	32686.0957	26443.7344	29529.7715	28315.7285	25152.375	31627.0215	29334.9453	27607.5215	31553.1758	31775.7188	27667.5664	27834.6914	27869.2832	28515.4434	26933.4082	31423.3203	33598.5469	25564.8086	29730.0234	28847.4336	25545.3242	30862.2246	25504.9043	29760.6641	31895.4629	30743.1953	28847.5098	28904.998	25076.1934	25652.9941	30882.4414	32071.7441	29834.7578	31532.5449	30453.3203	28620.8145	27931.3496	31408.7422	26346.1523	30230.1348	27408.291	31513.4199	31257.3906	31099.5449	29125.3809	30015.9941	25650.9551	32016.8438	31676.3418	29987.0234	30745.0605	31562.8906	32560.3633	29153.5898	28231.293	30377.3809	33047.6562	27090.9414	29610.3418	25933.8516	30235.2148	31252.5508	27189.9023	29757.293	31210.1074	31216.1016	28310.3867	27969.0488	29028.7559	28625.6094	29633.3496	32674.2109
0.1334	29067.3574	27842.6348	29891.957	29765.1172	25632.7207	24852.9004	29308.1172	29316.2129	30581.3516	33024.6914	27069.7168	29092.0527	27648.6836	25837.5996	31091.2812	29078.3535	27483.0938	32487.209	31023.7324	27187.5742	28576.457	30182.7285	28509.5098	27965.457	31737.2012	32308.2227	26781.2031	28646.791	29277.6133	27011.7715	32435.4844	26194.1211	28855.1758	31658.8965	28301.9863	30257.2988	27768.3027	25589.8125	26182.0391	31268.6348	31048.209	30052.0898	31675.7441	30769.6406	28696.8418	28248.6738	32002.3633	25540.5918	29557.6934	27580.4902	31648.0684	32894.6797	33035.4375	27791.4902	30230.375	27256.3418	32287.4746	32013.3145	31372.0195	30522.1484	30792.4746	31928.1035	28722.8652	28730.6875	31105.8301	32112.6035	27183.5742	28440.7363	25878.5625	32572.3672	31359.498	26579.5312	29748.8984	31749.5332	31548.8965	28595.5371	25963.4102	28645.0781	27488.0762	29284.8535	33008.5547
0.2668	30143.4473	25935.6152	29622.5605	28709.6094	25873.5625	25043.2285	28641.8867	29475.0664	31859.3008	31747.7559	26952.6133	29970.5312	27268.7246	25863.8887	31055.6504	28391.9805	27990.7773	30309.002	30449.5137	27970.9922	28553.2715	28004.7969	29345.418	28543.5645	31172.2578	31641.2598	25706.5	28540.0879	29872.5664	27144.9473	30715.959	25247.5117	28820.0176	32996.0508	30167.3184	28616.3398	27506.9609	24821.5957	26216.5176	31391.377	28979.0801	29748.6797	30638.4766	29703.2031	29645.3965	28928.5781	31868.5195	26448.2578	30393.2344	27298.2441	30842.5469	31039.7207	31675.4043	28693.502	31415.7559	26910.7266	33318.793	31627.5664	30932.1953	29927.4922	31243.7461	32638.5352	29865.5762	28010.748	30890.3398	31091.8379	27351.8789	28441.3145	25432.3027	30613.8477	31537.7715	26551.332	31055.2617	33543.207	31692.7578	27019.291	26492.7617	30074.3301	27355.2617	28344.6582	33930.4297
0.4003	30406.9258	26473.2539	28674.9316	29153.5312	24857.5391	24755.9395	28072.416	30050.6094	31338.7793	31577.4961	26129.916	28595.8828	27613.1211	25404.8633	31843.1582	28081.5566	26827.4922	31065.7324	30536.7383	26371.75	28832.332	28090.7207	30531.002	27269.6172	30786.0586	31397.8516	25860.3574	28517.0117	30043.5898	25977.6602	30775.9492	26406.7637	28967.7285	33073.543	28919.3398	29242.5898	28685.082	23948.8301	26176.9199	30957.0234	30630.8691	30070.8789	31182.0195	29926.2363	30140.6953	29840.8516	31853.8633	27238.0488	30313.4609	26521.2695	31792.377	30951.2227	31504.0273	28950.1074	32069.8438	26833.5547	31688.6523	31684.8203	29993.6113	27545.3047	30554.1348	32229.5566	31264.0156	27823.5957	31909.8203	30405.6875	25800.6074	28481.2949	26562.998	31793.8535	30736.5547	27637.3809	29518.457	34183.6406	31400.1465	27226.1426	26584.4492	30537.5762	28212.8027	29792.166	33119.7617
0.5337	30085.3281	26902.6016	29819.4922	28372.1992	25429.9902	26081.4902	28174.3906	30094.9688	31905.6855	30223.1426	25941.8457	28801.7168	27582.9844	25057.9531	30216.8555	28006.1113	27783.2227	31183.8535	29963.4258	27328.5469	29824.9727	28955.9297	29560.6523	28610.6484	32304.9199	30346.7383	26433.7793	27625.5137	30761.5352	25980.7598	30029.291	25529.0566	31230.2285	32119.2422	28509.1875	28234.6855	28031.457	25130.7031	26995.5938	29926.4258	30352.9102	29043.8926	31255.0078	29160.9492	31003.5508	29050.6719	31728.8496	28273.4688	31005.5312	27560.1699	29940.8145	28986.8164	33718.6328	29358.1504	31801.8184	25346.1484	31318.3125	30337.5234	27278.2305	27763.9199	30333.0664	30665.9531	30512.4297	27821.7285	31173.6426	31209.6152	27804.2676	28493.1621	27781.1602	29801.8281	31186.959	26770.6699	29580.75	34366.8164	32007.5352	26118.2559	25748.4355	30357.4043	27582.3301	31144.4941	32326.3809
0.6671	30296.4102	27567.7441	30073.2793	29832.9238	26168.5039	26201.9629	28662.9727	30430.5312	31717.8184	31433.418	26362.4824	30186.791	27371.7988	24599.7227	30942.1895	27495.1035	27248.1367	31125.082	30727.0996	26353.0137	30724.6523	26963.8223	27966.8359	28741.373	32112.6836	29850.1719	26594.7227	28160.5527	29943.8281	25157.6582	30872.1289	25496.7656	29825.2734	32312.9863	29909.9531	29534.1855	27489.0371	23738.6387	27239.957	32050.2402	28518.2949	29707.4922	31003.2715	30762.9668	32055.5527	28147.3262	30072.459	27315.2207	31296.6504	27383.4922	29648.8535	29441.1816	31307.9727	29138.0312	33332.9648	25471.6133	32428.3418	29978.1055	27836.2715	28867.7285	31205.2246	31437.75	29628.3262	28635.1914	33726.8125	30045.4219	27267.1055	29423.7559	27526.1055	30532.4141	31005.8945	27085.8867	29292.3906	29778.5664	31324.748	27396.8574	26639.9277	30133.5547	25517.3887	31197.4492	31547.0996
0.8005	30887.459	28391.8945	30665.3066	29381.084	25597.6543	26497.5898	29534.334	30454.3594	30511.3574	30393.5176	26544.4453	31125.3809	28600.4102	26442.2383	30143.7793	27433.9551	26788.0371	32082.1289	31000.1191	27087.7266	30169.5449	26763.8125	29866.6172	28910.2832	31797.1602	31412.0664	25773.2148	26545.4414	29399.4492	27404.2129	31017.2832	24313.0117	28072.3477	30839.8633	30329.5801	29663.3066	26831.9141	24654.2051	26880.6777	32040.2207	29993.207	29378.4785	32911.0781	29013.8633	31126.3457	28254.2188	30690.4961	27087.2949	31379.1621	27456.3848	29031.1328	31444.7676	32189.5469	28632.1602	32331.2812	25749.4082	31825.2578	30918.9121	29017.793	28478.3477	30795.7207	32215.6113	30698.332	28491.7988	33809.75	29446.9297	29436.8594	29203.9609	26416.9102	31647.0293	31042.0352	26721.4707	29641.5547	31540.7285	31041.416	26832.123	26015.0469	30124.7695	25300.8203	30123.041	32384.9707
0.934	30472.2637	27971.4922	32935.4102	30121.2832	25489.5762	27054.7559	28491.7988	29820.416	31286.3535	31895.1367	26053.582	30054.7949	28631.4375	26087.959	32629.3965	27378.7852	26691.5508	30630.7383	31058.0391	26729.8457	30625.6016	26614.4316	27875.2676	29794.3516	33097.293	31183.9316	26833.1777	26631.9688	29161	27337.0332	30673.1074	25624.7285	30335.0938	31638.4551	30167.4824	30584.582	27105.2676	26066.4395	26131.2891	30659.9785	29892.1855	29665.0781	31870.9805	29981.834	31009.0723	29340.123	31938.3086	27551.4863	30186.7617	27671.5625	29087.8438	30113.9238	30646.6387	28258.7305	32728.9121	27008.5703	33461.0469	31294.5996	30111.3887	28975.0547	31254.0117	31139.7266	29242.5918	28776.6172	34169.7852	30864.6289	28150.6387	28496.9688	26985.125	30206.4297	32210.166	26368.793	30255.5	34099.0156	31657.9102	28524.6641	27166.2422	30278.2422	28026.2383	30733.002	31485.2891
1.0674	32160.9062	29548.707	31280.2578	29677.5469	26709.3965	26566.0977	27248.6133	31416.7559	31233.543	31273.3242	27252.0898	28205.9434	31141.7539	26605.5176	32792.7383	27802.4688	27375.1113	31628.0957	32015.4922	27661.2363	30811.9805	26250.9277	27726.6016	29763.3828	31432.9375	32258.0117	26170.0508	26345.8672	28286.4473	28124.9844	30357.8184	24826.7461	28951.0781	30001.668	30070.5586	29052.6797	27825.1328	25393.0098	27116.6855	32755.7656	32503.9277	29555.3633	31412.2754	30544.7031	32116.6719	30053	31356.7031	28107.0645	31654.4844	27523.2168	30835.6504	31460.5254	30662.582	29285.6855	34064.9531	25476.4355	33523.1836	31853.457	30019	30675.0684	32007.502	30352.4434	28693.3066	28622.8496	34998.375	31229.877	29007.5098	28459.3809	28269.082	29584.7168	31622.8281	28292.3066	29597.5312	32705.3848	32853.3711	28640.3105	26884.0859	32175.3672	27354.5039	31539.2695	32023.3945
1.2008	34556.5664	29282.668	31389.584	29447.4941	25289.4277	26619.7227	28435.1055	32205.3164	30988.5488	32518.4141	27032.5293	28675.0938	31819.1562	27650.0723	31699.4316	28425.0547	27467.2715	32956.832	32688.2148	29587.0039	31984.8105	26575.3848	29305.3105	29815.0508	31826.7031	30599.041	26014.5039	26476.9473	28611.1953	29382.834	30627.2754	25348.3965	31454.502	30554.5176	30055.3555	29314.4551	29326.2852	25051.9746	27694.0508	32291.9648	32754.5547	30436.9863	32525.4141	30940.3848	30738.5723	30214.3535	30431.418	27040.6016	32823.25	28071.5117	30572.8691	30853.1309	32906.0781	31387.5781	34487.0742	26343.166	34113.0547	32651.3926	30629.9355	33648.3086	30742.9043	30977.1602	29570.0391	28733.5195	32912.4297	32423.0625	28717.9512	29803.4434	28728.8418	30404.2188	31218.4355	27845.6387	31636.7031	32998.3047	33249.8438	31529.9512	26374.5293	31900.0938	25701.6836	30974.3828	32344.8105
