x	Y_20181208_15100b_11_4g	Y_20181208_15100b_13_10g	Y_20181208_15100b_13_12g	Y_20181208_15100b_13_9g	Y_20181208_15100b_14_1g	Y_20181208_15100b_14_5g	Y_20181208_15100b_15_2g	Y_20181208_15100b_15_5g	Y_20181208_15100b_16_12g	Y_20181208_15100b_16_14g	Y_20181208_15100b_16_1g	Y_20181208_15100b_16_5g	Y_20181208_15100b_16_6g	Y_20181208_15100b_17_10g	Y_20181208_15100b_17_12g	Y_20181208_15100b_17_5g	Y_20181208_15100b_17_8g	Y_20181208_15100b_18_10g	Y_20181208_15100b_19_6g	Y_20181208_15100b_20_3g	Y_20181208_15100b_20_4g	Y_20181208_15100b_20_7g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_2g	Y_20181208_15100b_21_4g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_8g	Y_20181208_15100b_21_9g	Y_20181208_15100b_22_11g	Y_20181208_15100b_22_21g	Y_20181208_15100b_23_1g	Y_20181208_15100b_23_9g	Y_20181208_15100b_26_10g	Y_20181208_15100b_26_3g	Y_20181208_15100b_26_8g	Y_20181208_15100b_27_4g	Y_20181208_15100b_28_2g	Y_20181208_15100b_3_1g	Y_20181208_15100b_3_3g	Y_20181208_15100b_30_1g	Y_20181208_15100b_30_3g	Y_20181208_15100b_32_6g	Y_20181208_15100b_4_1g	Y_20181208_15100b_5_4g	Y_20181208_15100b_7_4g	Y_20181208_15100b_8_4g
0	29926.084	26762.6113	31474.0312	30180.8984	23360.8008	26201.8516	25481.584	28369.5781	30682.1914	32761.5938	28245.5312	30556.3066	28156.3594	29148.9629	30790.916	31855.5293	28722.4492	29612.2285	27667.3262	27879.1348	28421.543	33020.1758	30524.8945	30255.8574	28319.1836	28852.5586	30026.3145	31818.5703	32182.9648	27743.1426	28061.8496	30067.2617	29651.6699	29261.8555	30187.1035	28373.1934	30855.1328	31813.0645	28828.0273	26635.0352	31987.7578	30329.7715	26696.2383	26829.4258	32610.6152	32188.1191
0.1334	29351.8926	27203.1895	32599.1738	28842.2012	23528.3887	26332.5938	26789.5957	28994.4102	31532.6758	33307.2266	27122.8105	29575.8613	28145.7402	29941.7598	29593.5527	30810.8145	28378.5586	28897.7148	26142.3594	28507.4316	28854.1367	33232.9414	30066.8223	30240.8125	27619.207	27619.8496	31312.666	31204.918	33245.6484	28090.7383	28558.2441	30019.6992	31276.3359	28149.4746	29690.9219	30070.3652	30471.8906	32349.6992	29138.6367	26564.1719	33607.668	30260.3203	27487.4746	26413.3047	32362.8301	32646.4062
0.2668	30207.2363	26768.5996	31357.375	28949.8027	24144.1738	25959.1738	26796.6855	29425.252	30397.5371	33189.2305	28074.3438	30456.8848	29100.7207	30400.9473	28418.8281	31672.2129	28478.9785	29134.3633	27117.4961	29099.998	28945.3633	31388.7344	29301.2871	29472.5117	28380.0156	26446.1133	31453.2949	31646.2148	31078.4473	27613.8398	28237.4941	32126.8887	30845.5801	28524.6699	30416.6816	30030.4395	30743.3887	31492.2207	30101.6641	28051.1973	31926.4609	30773.5645	26692.4336	26732.6309	32416.6914	32213.3223
0.4003	30125.0508	27410.6094	30759.7617	28005.2676	23449.5684	25638.4629	27140.2188	28811.6816	32142.6836	31651.2285	28178.9609	30209.002	29955.7109	30388.1465	31310.4883	32672.748	28823.3633	30014.6113	26855.4492	28047.7617	29453.0254	30204.7324	30653.1367	29967.7559	27742.0156	27055.5039	30242.8965	31417.0605	31169.1699	27391.6035	28502.7734	30762.5332	30630.5508	29369.5762	29013.459	30116.1074	30569.4297	30442.9707	29887.7461	27021.6738	31909.5215	30985.3867	27330.8672	27346.5078	30995.5391	29985.9102
0.5337	29434.791	27441.4102	31652.6074	28345.7207	24363.8535	26507.3711	26910.9395	29832.2793	31221.9922	30885.5684	29078.3984	30304.5	29148.1992	29351.3066	30840.2188	30476.2266	28827.1016	30411.4492	26974.7383	27636.1914	29712.2363	29878.9258	31049.084	29899.4316	27934.3047	27149.6816	30574.4551	29449.6152	32825.6289	28271.8027	28043.1738	31761.4688	30235.2207	29765.2598	30091.3203	28927.5566	30621.5645	31297.582	29447.1602	28405.3047	30323.7422	32769.0195	28136.8027	28269.1387	32648.5195	30659.2363
0.6671	29038.7734	26764.6699	31471.1465	28325.8613	24029.6289	26372.7637	26645.7207	31524.4023	29732.8574	31132.5566	28253.3906	31510.2227	29469.8281	29606.4336	29737.373	31604.1328	29399.1836	28634.9668	26727.6934	28226.6738	30156.8789	32242.8496	30764.8262	29277.8926	28589.7207	27570.5566	31535.3516	30157.332	32357.5391	28252.0352	28100.7344	31748.0508	30568.5156	29794.5703	30268.6074	28939.3496	30595.502	30808.0098	29866.0918	27538.2305	30942.8047	31135.8242	26730.6562	27167.3242	32833.3398	31015
0.8005	29203.6309	26462.3828	30965.543	27337.4453	23411.6172	26634.3359	27194.5645	29434.1855	29990.1875	31665.5898	28240.9004	30694.7617	29846.1387	29894.4238	32186.6152	32003.7598	29822.0332	28251.6855	27298.4727	28360.4707	28884.0645	32389.7031	31187.1074	30190.1934	26403.3906	26849.6035	31023.748	31668.959	33507.7656	27854.3105	28837.9141	32102.7871	30405.6758	29882.8594	29366.2793	30157.2012	30502.3242	30515.8223	29602.6504	27704.7109	33599.75	31997.248	27585.1426	27145.3574	34264.8477	32056.1543
0.934	29403.5449	27396.4004	32406.791	27960.4512	23280.0391	26911.3047	27734.9551	30129.3262	29686	31234.9531	27512.7305	29428.7715	28620.1387	29591.1875	29586.9414	31851.168	28799.2754	28697.2812	27826.8848	27925.5078	27279.2246	31939.5996	30954.3262	31112.6074	26488.4043	26657.9648	33368.9961	31154.041	32995.1719	28721.2051	28433.1582	32163.2637	32099.3926	30671.6738	29897.0762	29724.9727	30937.0742	30116.3594	27575.9336	27039.9395	31711.8672	31606.4492	26843.7266	28350.4023	34150.1836	32116.9824
1.0674	29962.1855	25673.5156	31573.084	29283.2539	22521.3145	26757.7715	28340.5	30146.3711	29249.9668	33806.9609	26752.9199	30793.1719	28935.666	29766.8008	30043.4121	33491.4375	28595.6367	29854.1543	26684.0703	27787.2246	28820.252	31992.2188	31138.8867	28861.9629	26679.3789	27818.5117	32956.6992	32402.6133	31708.9395	29512.2383	28079.5645	32936.4805	32817.125	29712.4316	30806.7109	29794.2695	30675.6406	31887.5371	29156.3887	27295.3203	31114.2852	31329.5645	27412.4277	28167.373	32989.9023	31161.6074
1.2008	29070.8711	25910.8594	31716.9336	29341.8594	22921.4238	27887.7676	28615.9844	27499.0098	29832.5176	33006.1758	28212.4941	29410.0898	28616.3125	29684.8242	29513.3359	33966.0234	28029.8164	29784.4922	26499.4883	27761.7148	27693.3008	31665.2812	30395.4785	30516.3184	27304.2461	28981.6543	34854.4414	31577.8574	31671.9004	28011.2871	28695.9844	32169.9785	31771.4004	29098.9668	30342.5176	29352.5117	30495.0781	30991.3145	30590.9395	28012.7266	31782.4668	32354.1914	26420.3906	28248.377	32384.959	30599.4316
1.3342	29048.2988	26747.9414	32952.9297	29747.4316	22384.3633	27092.0684	27591.4355	28663.8203	29230.6133	33454.6172	28742.2988	31746.9766	28821.3711	30244.3164	29847.6992	32858.375	27965.5645	28314.8613	27141.6641	27446.1289	28555.1562	32337.9375	32552.7949	31974.125	27422.4062	27890.4844	33665.9961	30602.0352	32766.6211	28594.875	28574.373	32792.4062	31921.5469	29929.1816	31017.5977	29140.4648	31702.0918	30234.6465	29620.5508	27061.082	30889.4551	32306.9023	25676.6426	29070.4727	32847.1328	30793.8457
1.4676	30031.9609	26960.4922	32299.0859	29617.5156	23903.8438	27286.3945	27393.9492	28500.6133	29029.1875	32596.8672	28099.584	30640.4102	29978.2637	30650.4023	31613.9512	33209	28769.9023	27630.5645	26402.8125	26721.3828	29881.3594	31310.8301	35436.3086	34942.5312	27077.9395	28312.8945	32778.1719	30429.4082	33804.6328	27119.9922	28294.9395	32939.9141	30734.5566	29720.2324	30160.5449	30361.8867	32689.625	31006.1152	30770.8711	29517.5488	30967.0117	32493.8594	24958.707	28951.5938	34015.6719	31473.5
1.6011	30781.9004	26408.2695	32050.5156	29260.873	22775.5332	28770.2598	28550.8613	28685.4414	29753.5469	32312.3203	27717.9863	31443.8047	31102.6074	31024.377	32156.2344	34796.5703	28415.793	28336.0332	29108.7422	27733.1582	30275.377	33074.6836	42203.8242	43626.1289	28508.1738	28046.9238	34753.3242	32184.2598	32672.5645	29022.916	29231.123	34430.9883	31814.9355	30402.3594	31799.5176	30507.4082	35376.9609	31993.0879	33348.3828	29535.5273	30653.6367	32429.9941	26346.1191	27928.4258	34249.7305	30516.7852
1.7345	31456.5566	25776.8691	33437.3438	28679.2129	23872.8535	31041.3516	28762.4102	28249.3398	30196.8203	33227.5625	29216.0332	32290.3613	31704.7402	31728.3613	31230.7949	36347.5703	28461.2324	28253.9629	29726.8848	28062.1855	30428.8125	34316.9922	57928.4414	65916.9922	28906.8438	28216.6348	34831.9219	34628.5	32182.0098	28904.7617	31785.9141	35810.7812	34149.5742	29975.3398	29991.4473	29670.3516	36103.4922	32782.7539	36736.4023	30166.4121	30361.166	33297.6406	27626.8535	26487.8496	34378.5547	31003.9668
1.8679	30958.6309	27271.7031	37291.5781	27902.0566	26827.3555	31086.6113	29966.8965	29315.8027	30953.2949	32796.207	30631.1621	33539.7773	32870.3867	34584.2344	35768.1797	37731.1836	31782.9453	29065.666	29815.2461	29075.2695	34958.543	36107.8789	85509.9453	108461.3984	30413.2402	28425.5117	36604.5039	38260.8398	33020.9961	29099.5078	36523.832	43124.2734	40194.043	30709.4492	31629.1758	30059.8457	41339.0273	31620.748	44554.3477	35379.2734	31969.4844	36291.3867	29856.8887	27606.9863	34989.5938	30916.5039
2.0013	32142.1055	27028.1035	49627.6016	30898.6309	33352.9727	38324.4805	30417.0254	30091.0508	31611.8281	34849.375	32810.9219	39850.8008	35672.4844	39822.3594	40358.332	42876.5508	39354.6484	28563.918	31600.998	31124.416	41393.3164	43792.8867	113984.0234	130217.5938	30463.4551	29460.3457	36012.3438	49222.6367	34337.9805	29029.6348	47771.1445	58343.0195	49278.0039	30655.0684	32975.5312	31443.7012	56856.5859	31603.9824	58356.957	47278.7656	33792.3867	40318.668	33135.7578	28724.4668	36612.6328	31417.9258
2.1347	35248.2734	27369.7129	80555.7656	32393.9902	45420.3203	50832.9883	36672.082	32309.2539	33033.9766	37266.2891	38163.9023	51080.2266	43973.1445	52062.7969	49471.6211	59571.5078	53594.4062	29230.4414	35036.0898	37179.6094	50400.2031	66419.5078	95565.4297	93050.7969	35462.3633	34759.0039	38263.7344	80145.9609	34774.2734	29510.9785	69587.2578	82724.4844	71134.3359	32963.6758	34532.4531	31626.3184	79807.8984	32438.125	106017.4375	66227.6875	36814.4727	48664.9453	43328.9414	32146.8594	39188.4023	34442.7539
2.2682	40717.2383	28210.6113	134719.5312	33969.5781	67553.8906	56849.6055	54923.6602	40003.25	37778.2656	49425.1719	58671.4102	81564.7812	67470.7656	81864.5156	69187.625	84874.4375	78512.7422	31949.9141	45699.1719	54074.8867	53127.5703	103332.7188	60797.5039	58264.4141	45154.7383	43843.4688	49062.2188	129268.3594	36061.9688	31803.918	80705.2969	90958.8906	111997.875	36665.8047	40510.9688	33406.4492	87361.5156	36298.1055	152476.9531	75629.8906	43704.7891	61479.9688	63899.6797	38607.3477	45351.7266	38901.0352
