x	Y_20181208_15100_18_7g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_8_6g
0	33157.457	25040.7012	29322.334	28697.459
0.1334	34740.9023	24921.0059	29661.8242	28449.6113
0.2668	34642.5469	25178.2949	30503.7656	29890.9238
0.4003	35262.9609	25840.8594	30618.9707	29421.4902
0.5337	35373.793	26973.4688	30775.043	29354.3926
0.6671	35090.2227	26239.5684	30624.1934	29081.918
0.8005	34469.8906	25527.2168	29190.2559	29514.7676
0.934	34277.7109	26762.1914	30775.2812	30159.5586
1.0674	34686.3398	27679.5898	31599.918	29857.4492
1.2008	34523.6133	30080.0293	31895.4258	30204.1094
1.3342	34083.8047	30117.7559	33893.6406	29849.2129
1.4676	35743.2969	31021.7812	39207.2344	31299.0312
1.6011	39466.0156	31092.0391	53005.8281	32477.4004
1.7345	51284.0117	31373.043	71859.9531	32581.6738
1.8679	68595.8594	31023.9629	76877.7266	36510.543
2.0013	68052.3125	34275.8164	58233.9336	43882.1289
2.1347	51889.9688	36175.9492	42038.4102	60821.9375
2.2682	40739.4414	35221.5703	36110.2891	72460.0391
2.4016	35931.0625	30260.6484	NaN	61508.8789
2.535	NaN	29891.2949	NaN	43851.9648
2.6684	NaN	28361.3906	NaN	NaN
2.8019	NaN	28747.4375	NaN	NaN
2.9353	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
