x	Y_20181208_15694_10_18g	Y_20181208_15694_10_8g	Y_20181208_15694_11_3g	Y_20181208_15694_13_5g	Y_20181208_15694_14_4g	Y_20181208_15694_17_3g	Y_20181208_15694_2_4g	Y_20181208_15694_2_6g	Y_20181208_15694_2_9g	Y_20181208_15694_22_4g	Y_20181208_15694_23_16g	Y_20181208_15694_23_20g	Y_20181208_15694_23_2g	Y_20181208_15694_23_7g	Y_20181208_15694_23_9g	Y_20181208_15694_24_15g	Y_20181208_15694_25_7g	Y_20181208_15694_3_7g	Y_20181208_15694_4_2g	Y_20181208_15694_5_18g	Y_20181208_15694_5_20g	Y_20181208_15694_5_7g	Y_20181208_15694_6_22g	Y_20181208_15694_6_4g	Y_20181208_15694_8_4g	Y_20181208_15694b_1_1g_left	Y_20181208_15694b_10_5g_left	Y_20181208_15694b_3_2g_left	Y_20181208_15694b_6_4g_left	Y_20181208_15694b_6_8g_left
0	28024.3398	28760.7012	28322.7754	34548.1211	28221.5977	31839.9258	26002.6348	32405.2422	28635.832	26457.9023	31588.7422	28692.3398	30168.3945	25192.8262	25427.9062	23939.6953	29391.4512	30491.1406	27092.3477	28545.1992	30502.2773	31776.1836	30651.7988	30693.3535	31087.8457	27913.877	26525.4727	28496.2188	29549.7363	25269.6289
0.1334	27872.6523	29161.9824	28573.0449	33489	27572.3887	31933.0449	26412.2832	32402.8066	29057.3223	26639.248	31378.4609	29195.6855	30501.8848	26136.2812	25640.0371	24003.0156	30731.0039	31631.4395	26134.3691	28579.832	28692.8652	32840.2969	31618.7832	31555.7793	31600.5996	26955.5156	27116.3438	26333.9746	29878.8535	26426.7871
0.2668	28424.4551	29617.5273	28268.0801	31731.3789	27751.457	32387.3906	25366.2832	30172.6211	29656.8965	27062.5977	30727.3555	29496.0664	32511.123	25871.9238	24955.4473	24847.0273	31289.4297	31566.5586	25282.7773	27024.7227	28459.9668	32115.332	31864.9395	31923.9434	30345.4004	25991.2656	27749.9883	27299.6309	30664.6895	25820.0566
0.4003	29380.7617	29975.7305	28105.3418	32988.4453	28832.582	32036.6328	25635.6895	31211.9043	29695.7324	25874.1562	31149.1758	28039.9004	31788.4785	25847.4512	25040.375	24748.7031	31764.7734	31822.125	26619.3301	27868.541	30037.6523	32312.9043	29397.9805	29353.7109	30819.0508	27716.2812	27667.6797	27387.7734	31837.0527	24447.3711
0.5337	29363.1348	29841.1211	28279.332	31408.5176	27961.5586	31302.7109	26264.2891	32951.1719	29154.7715	25996.4707	30703.5332	28930.8867	31184.3789	27728.6816	25007.1836	23705.6738	31780.166	31090.5703	26723.8867	28491.6855	30341.1621	30850.3535	30567.0176	30584.8086	31493.8516	26078.6309	27130.9141	28778.0586	32035.7578	26096.6699
0.6671	31293.7715	28153.4434	29802.0352	33798.0547	28606.623	32293.4004	27422.4688	30206.002	31163.252	25511.5176	31320.5977	27634.3984	31191.6152	27116.7871	25918.5918	24988.3809	31793.7207	30947.293	27399.8418	28585.1328	30764.5293	31531.8613	30823.3555	30783.623	30996.5605	27013.2305	28587.6328	28238.5684	30930.2598	26643.0801
0.8005	35137.5234	29431.9277	28645.707	30631.3535	28124.2246	31423.1758	26915.6309	31537.4473	30801.4492	25842.2168	31402.6387	28496.4004	30990.7832	28098.0176	24916.082	24150.2812	30264.7969	31213.4805	27339.8457	28256.4766	30849.5488	32305.8301	29029.7383	29050.959	29808.5293	27112.291	30329.1484	28192.1777	30782.0957	26315.8652
0.934	39485.2422	29376.5156	27647.7441	33019.4336	27615.7773	31321.3047	27638.5137	30760.6582	31343.416	26414.209	31494.9941	30320.8789	31674.8867	27098.6152	25409.3945	24174.0547	31875.0488	30424.4453	27059.2129	29255.7988	30962.8027	32122.9355	30088.0664	30085.2539	30955.5781	26862.7227	28358.9043	28160.4375	32380.3418	25633.1914
1.0674	50128.7656	29327.8477	28529.2129	32624.7324	28566.5508	32224.0449	27548.002	30433.248	32330.6719	28308.9453	32579.2285	29682.3965	31634.5586	26020.9336	26037.5176	23906.2891	32537.7031	31818.9609	29088.0645	29079.0762	31768.4707	32010.3457	29230.4805	29203.1895	30851.625	27774.8887	32173.9277	27491.1699	32794.4258	25830.9434
1.2008	70000.0547	31188.9238	28690.7285	32366.4043	29026.6465	32188.1387	29006.1191	33197.7539	37537.5781	28319.1309	34871.7031	30462.0273	33280.0469	28319.5391	26368.5215	22946.6992	31794.3711	31822.4043	28780.418	29443.4883	32298.8945	33074.3359	31271.5059	31260.5254	29400.791	28205.1035	36527.5781	28527.9395	33637.5703	27505.2676
