x	Y_20181208_15693_1_11g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_10_4g	Y_20181208_15693_13_11g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_19_8g	Y_20181208_15693_5_6g	Y_20181208_15693_6_8g	Y_20181208_15693_7_7g	Y_20181208_15693_9_8g
0	31897.6914	27627.0195	30754.1191	27380.4883	32287.6875	30470.6504	32197.1523	32814.7852	29623.0078	32774.8242	30511.1582	32137.2832
0.1334	32501.4473	26352.3555	31744.5898	27728.6973	32633.1074	32482.3066	31144.834	31977.7422	31764.9102	32335.8203	31346.8223	31818.7598
0.2668	32351.8164	26910.0508	30895.127	28339.6211	31656.8203	30822.5156	30597.334	32350.748	31040.2656	32441.1973	32156.5977	32126.584
0.4003	32737.5586	26256.3438	29442.8887	26905.3457	30319.5195	30600.082	31099.8281	33678.3633	31067.9766	31741.6172	30838.9277	31387.5879
0.5337	32779.6016	26859.0977	28252.959	26427.4121	31396.5957	30382.3594	30795.9629	32861.9492	31838.0625	31924.7656	30296.291	31135.0918
0.6671	33464.3164	27289.4297	29775.5508	26215.3027	30919.5508	31286.2988	30405.4141	33531.7891	31049.7637	31760.3242	30195.3555	30080.0938
0.8005	32386.8828	28047.1797	30124.7715	27229.8438	29968.4668	30914.4043	30305.7598	34745.3242	32379.2344	32044.2637	30684.7207	30590.3535
0.934	31397.6504	26067.5449	30905.502	27478.873	30269.3477	31172.8359	30791.8145	32880.9141	32742.4023	30625.0508	29271.3145	30879.2871
1.0674	32095.8203	24627.7715	29665.4512	27631.8945	30103.0293	31205.3223	32484.4004	32437.8262	31769.0098	29266.457	29467.7402	31641.3535
1.2008	31496.1543	25624.2969	29113.3398	27774.0293	30311.9727	32964.8672	30689.2832	34420.0234	32534.25	31295.916	29312.5312	31498.1777
1.3342	31245.6348	26133.668	29989.0488	27977.5137	29978.6816	31807.1719	30925.3066	36243.2461	32237.5625	30671.4902	31818.793	30602.8223
1.4676	30032.4902	25961.9824	31194.8164	27275.8574	30068.0156	31516.9863	31674.6289	37120.7773	31310.1895	30243.5547	30460.9746	31299.3125
1.6011	30744.7012	25457.5918	32372.9277	28220.9082	29840.459	32584.7695	31859.8203	37052.6523	31854.125	30082.5137	30842.9355	31049.5234
