x	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_23g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_6g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_8_6g
0	29507.2402	25968.9863	31819.3301	33059.9023	30795.6504	28794.7949	26913.0898	28451.5469	32661.3086	30032.4082
0.1334	30978.7559	26591.2285	32752.207	31472.5039	29799.6172	30221.8906	28027.707	28445.8477	30480.8867	30679.2129
0.2668	32860.793	26826.2754	31859.4922	32199.7949	30151.4453	30052.8848	27743.0801	28297.2363	30797.1562	32234.377
0.4003	33308.7305	27702.9844	32053.709	31913.0977	30023.0957	28986.3027	27559.1992	28826.0586	32122.8555	31514.0332
0.5337	32086.252	26047.7754	31924.3594	31539.9805	31407.9316	30390.9512	26855.7227	29705	31722.3535	31916.3242
0.6671	32530.3613	27339.8438	29280.0898	32559.959	31199.8945	30913.2207	26943.9648	29666.7695	31062.6152	30360.2383
0.8005	30912.9082	27158.1641	29838.7988	32276.2695	30919.8008	31249.6621	27179.0098	30298.8516	31215.7891	31641.4043
0.934	30455.3047	27901.5664	30016.7031	31151.4277	32173.1484	31729.6699	27149.4453	30501.541	30756.5508	30605.8516
1.0674	28957.3984	26975.6543	30893.625	31210.9375	32921.2148	32037.9512	28975.4961	29278.6074	30681.3418	31060.3691
1.2008	30507.6973	28813.4395	31080.8438	31260.834	34694.5352	32886.4961	30824.2695	31949.4258	32391.3145	32946.0859
1.3342	32386.6191	29302.1758	33668.1094	32886.5078	39165.2539	33072.0703	34965.5352	32056.2109	32879.8984	34328.8125
1.4676	35294.5938	30738.7656	32771.7148	38434.2266	55005.9023	37833.1289	46049.0273	35495.6016	33596.9102	38707.6523
1.6011	36919.3516	35695.7656	37623.8516	46211.1562	84680.6875	47342.9609	63071.9922	42989.2656	34337.0469	45813.0898
1.7345	44889.2734	46349.3945	47084.2656	62842.4258	99109.5703	61420.4062	77364.3594	60247.1758	36542.7734	66533.4609
1.8679	64290.5547	48979.3672	66693.4219	82133.4375	77904.6328	69530.125	65605.0547	82565.5781	40415.0781	91621.2188
2.0013	80290.8125	37946.8477	90339.6562	79176.6484	50103.7539	58781.8086	46233.5938	96007.7734	41837.9023	86404.7422
2.1347	76287.1641	32605.3555	85214.8594	54729.418	38511.0469	45208.6172	40848.5078	92696.4844	38521.3789	59068.3828
2.2682	55255.3008	29119.0996	62357.5664	41214.2188	34769.1992	38717.9961	44562.0352	64980.2227	37198.3789	43254.7812
2.4016	42564.1328	28835.4297	NaN	36619.6484	31440.8008	35636.2695	54116.9922	44016.8555	35335.3633	37623.4258
2.535	36826.5391	NaN	NaN	35214.4219	32452.0605	NaN	NaN	35667.5078	37564.6719	35571.5234
2.6684	34233.4062	NaN	NaN	35149.1797	31718.2812	NaN	NaN	33672.5352	38578.9375	34637.1211
2.8019	NaN	NaN	NaN	NaN	31932.5352	NaN	NaN	30925.5508	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30517.4395	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
