x	Y_20180130_15100_1_7g	Y_20180130_15100_2_2g	Y_20180130_15100_3_13g	Y_20180130_15100_3_15g	Y_20180130_15100_3_17g	Y_20180130_15100_3_8g	Y_20180130_15100_4_12g	Y_20180130_15100_4_14g	Y_20180130_15100_4_17g	Y_20180130_15100_5_14_2g	Y_20180130_15100_5_16_1g	Y_20180130_15100_5_21g	Y_20180130_15100_5_2g	Y_20180130_15100_5_4g	Y_20180130_15100_6_10g	Y_20180130_15100_6_19g	Y_20180130_15100_6_5g
0	15417.264	15818.746	16612.246	13853.8	16188.584	16862.502	15015.015	15968.296	15129.283	15953.553	15752.46	14743.285	16063.891	17157.754	15404.546	15309.314	15341.892
0.1334	15523.333	15802.604	16769.221	13958.866	16481.762	17045.234	14539.445	16902.207	15577.792	16718.447	15229.021	15134.804	16530.197	17451.816	16577.203	15835.002	15595.919
0.2668	15697.873	16351.247	16025.531	14980.529	16915.344	17127.434	14600.285	15960.356	16370.844	16236.008	15930.619	14989.767	15734.474	17199.498	15841.791	15837.655	16351.393
0.4003	15768.405	16628.893	16047.378	15022.295	16749.299	16361.156	14730.457	16609.596	15227.037	15635.736	15487.554	15028.707	16362.641	18235.09	15402.878	15254.57	15365.005
0.5337	15428.749	16685.34	17046.553	14419.081	16884.262	17039.424	14657.489	16335.661	16015.507	16848.059	15214.945	14759.122	16432.506	17916.945	15548.278	15916.639	16836.742
0.6671	15457.837	16727.539	16830.635	14990.91	15784.47	16458.283	15195.373	16119.05	15322.896	15932.272	15717.252	14770.962	15787.532	16659.141	15144.888	16607.629	15287.363
0.8005	16064.374	15104.308	15523.228	15037.795	15423.992	17441.723	15208.501	16202.946	15827.58	16168.784	14802.882	14972.359	16295.181	17312.445	15157.722	15439.447	15760.088
0.934	15840.506	15487.626	15879.468	14603.368	15719.891	16484.648	14587.879	16358.753	15866.894	16155.066	14956.043	14488.278	15260.661	16520.951	16082.442	15728.108	15548.687
1.0674	15871.355	15264.035	15989.985	13820.385	15879.488	15869.266	14846.726	16361.415	16266.169	16823.432	15080.629	14751.377	15809.699	16474.447	15658.532	15685.586	17295.096
1.2008	15356.79	15813.379	16179.402	14578.54	15735.782	15674.645	14400.773	16067.361	15727.289	16587.539	14808.008	14390.521	15620.038	16576.578	15444.874	16439.385	15843.967
1.3342	15684.944	16625.396	16077.363	14913.471	15552.483	17026.885	13353.324	15726.821	15446.268	15977.968	14579.753	15291.189	15139.657	16899.324	15927.545	15899.516	16013.126
1.4676	15288.507	16731.498	15304.953	16850.365	14917.093	17576.938	14745.781	16452.486	15388.694	16359.631	14959.763	15522.917	14685.795	16167.261	15963.102	16577.867	16217.262
1.6011	15979.251	15758.196	15720.909	15857.222	14782.839	19448.877	15028.993	16637.025	15976.401	16340.844	14823.559	14845.164	15211.965	15730.183	15081.242	16620.99	16170.399
1.7345	16543.541	15840.834	16829.838	16463.18	14550.643	23216.576	15575.816	17290.107	16604.078	16364.731	15913.349	15368.873	15985.246	16452.195	14817.423	16710.623	17529.809
1.8679	15990.917	15841.902	16179.109	19341.9	14430.006	23966.613	16563.789	16794.773	16560.895	17693.49	16517.035	15639.731	15930.999	17100.287	15673.771	16261.713	17652.795
2.0013	18147.543	16433.4	17152.32	25518.203	15844.182	21270.93	19590.525	19851.434	17190.57	17658.785	18201.363	15518.976	15842.541	18041.607	15812.784	16974.414	21525.336
2.1348	23243.113	17592.098	17826.625	43789.117	19366.508	21656.803	28050.055	22357.02	18545.873	18973.682	22435.561	17253.555	15545	23110.168	17041.193	17301.301	29456.375
2.2682	30497.1	18973.385	19078.969	57141.301	23500.676	24033.338	37600.582	29865.072	22816.559	20082.139	23966.172	21576.674	17958.293	31649.506	19200.307	18998.289	41445.43
2.4016	35082.391	22304.42	23077.145	47619.285	28923.842	34744.176	32968.973	37945.988	31978.508	24211.867	20231.301	30461.387	22286.463	36060.164	24444.361	24081.166	43732.406
2.535	29184.004	30807.934	31059.912	28426.367	25195.986	47518.695	22319.781	36122.695	34868.508	31323.344	17045.717	40937.371	28915.463	31454.74	28278.182	36498.879	31576.975
2.6684	20579.371	36184.203	33730.711	19273.654	20701.908	46192.625	18622.066	25659.26	29974.576	33395.773	NaN	38220.484	31825.111	23376.053	26088.703	49455.383	23052.33
2.8019	17710.678	31886.465	26303.896	17110.66	18612.498	31342.492	16227.245	20686.256	23338.209	28701.295	NaN	29133.697	24233.674	19426.396	20816.936	46080.922	18557.766
2.9353	16593.984	25442.848	20645.26	NaN	16621.184	20968.752	NaN	18276.6	20262.793	22582.445	NaN	24717.217	18292.121	16966.586	17833.283	31520.02	18437.039
3.0687	16760.279	21228.553	17164.135	NaN	NaN	18554.359	NaN	NaN	17830.193	18399.17	NaN	22968.889	16566.857	NaN	16647.283	22970.412	NaN
3.2021	NaN	19431.451	NaN	NaN	NaN	16650.881	NaN	NaN	NaN	17271.242	NaN	NaN	NaN	NaN	15935.771	20366.057	NaN
3.3356	NaN	17055.014	NaN	NaN	NaN	15879.964	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18721.938	NaN
3.469	NaN	16100.179	NaN	NaN	NaN	16657.508	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18964.953	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
