x	Y_20180212_14590b_22_1g	Y_20180212_14590b_44_1g	Y_20180212_14590b_6_4g	Y_20180212_14590b_7_8g
0	36956.254	40456.066	38986.641	38959.781
0.1334	37123.488	40207.934	39277.969	38584.262
0.2668	37836.988	41232.016	41251.145	38061.535
0.4003	37974.758	40835.996	40524.281	37093.145
0.5337	37415.629	42736.977	41256.664	36162.059
0.6671	37041.254	39917.91	39907.957	35638.566
0.8005	37588.609	38927.23	40943.332	37262.633
0.934	37887.047	41604.328	39541.559	37127.688
1.0674	37061.312	42065.645	37332.246	35020.191
1.2008	38881.996	41552.953	37658.395	36635.402
1.3342	37581.363	40891.168	38037.504	37760.281
1.4676	39181.375	40142.711	37963.578	37272.219
1.6011	37517.773	40906.875	36528.977	38926.621
1.7345	37948.352	42865.16	38120.594	38439.375
1.8679	38832.707	43017.109	40570.75	36385.059
2.0013	40811.156	43572.988	41859.344	37597.898
2.1348	42402.645	45669.746	44648.031	38433.922
2.2682	49822.684	51380.531	53248.637	40254.09
2.4016	69503.828	58077.824	70523.953	44338.41
2.535	112433.758	75668.617	113514.609	56507.137
2.6684	163092.734	111183.93	164015.016	80667.094
2.8019	136669.562	144807.203	162501.188	112079.992
2.9353	82220.188	120970.336	101913.281	107731.758
3.0687	NaN	77494.891	65826.75	73398.57
3.2021	NaN	55668.125	48998.242	NaN
3.3356	NaN	46888.824	NaN	NaN
3.469	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
