x	Y_20181208_15100_1_1g	Y_20181208_15100_1_5g	Y_20181208_15100_13_1g	Y_20181208_15100_13_5g	Y_20181208_15100_13_8g	Y_20181208_15100_15_2g	Y_20181208_15100_16_4g	Y_20181208_15100_17_4g	Y_20181208_15100_17_6g	Y_20181208_15100_18_6g	Y_20181208_15100_19_6g	Y_20181208_15100_2_1g	Y_20181208_15100_21_1g	Y_20181208_15100_24_3g	Y_20181208_15100_3_1g	Y_20181208_15100_3_2g	Y_20181208_15100_3_3g	Y_20181208_15100_5_10g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_5_7g	Y_20181208_15100_6_2g	Y_20181208_15100_6_9g	Y_20181208_15100_7_5g	Y_20181208_15100_7_6g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g
0	30006.9316	31550.6016	27442.6289	29405.9824	28875.3867	30544.0215	30903.6074	24429.4043	27233.4941	32269.5703	31717.043	32926.4453	32476.4668	30727.7227	31062.9648	31961.2617	31523.9863	30543.1348	32951.1914	27093.9824	30962.1973	26019.0391	31566.4902	33606.0508	30646.2109	27299.2832	31472.8672	25687.8945
0.1334	28640.1523	29969.3633	27376.0898	30140.0117	30860.1133	30942.2266	29872.3848	25365.834	28228.7148	32517.9062	30815.4766	33731.3242	30549.334	30300.6445	29998.7227	31157.7402	30072.2109	31190.8828	32664.4961	28096.1738	32821.0273	25703.2031	31851.5449	33768.9297	30392.3926	26909.1758	31598.4688	26283.0742
0.2668	28747.4219	31695.3652	26042.3574	28998.4844	28574.2305	32302.2363	31930.0312	24369.1152	27753.0586	32938.6016	31254.9453	31620.0645	30947.2363	31006.4121	29246.3691	30322.4316	29132.5137	32731.7402	31695.207	29610	32932.1641	24793.0254	33083.5508	32733.8984	30542.5703	26110.5215	31872.9648	25186.8672
0.4003	29763.6406	30876.4395	26383.5059	29307.5801	28247.4766	31236.0645	31225.959	24092.2598	27545.9668	33587.7734	31619.6797	31557.9062	32374.9629	30692.4648	31008.4121	30858.2344	30197.5938	32859.3008	31792.8105	28963.4082	32170.5117	26897.5742	31200.9336	33666.1953	31225	26288.4316	31784.4492	26087.4824
0.5337	28595.248	29346.4668	25964.7227	28288.5879	29606.377	29720.7852	31353.125	26517.6973	28781.9688	33786.5664	30996.2031	31034.543	31791.1973	29733.1523	30900.1016	31617.4961	30480.3047	32057.1523	32219.4062	28530.2168	32460.5488	25737.5391	31536.2207	35071.7031	30051.4395	25861.0938	31108.9609	24998.1465
0.6671	28975.0508	30999.6445	26985.6387	28082.7266	29022.1719	30694.0273	29644.5742	27294.1699	27556.9629	33771.1758	29957.3477	31716.293	30257.6523	29917.0469	29685.4805	32424.6133	29882.2227	31583.7754	31481.1328	28132.0527	32625.8184	24638.7402	31336.7305	33827.5273	29353.4473	25986.3281	31384.8555	26261.6543
0.8005	29384.4824	31968.0098	26431.1035	28393.7285	28631.3906	31795.2539	30246.0352	26906.2832	27955.8535	33742.0977	31012.6309	30253.875	29690.3984	30356.0859	28818.4141	31794.3027	31776.998	31129.4961	31260.6484	27837.0527	32750.3535	26346.8574	30849.9336	34376.4922	30849.9707	26453.2422	30448.9238	25448.752
0.934	29460.2031	29801.6582	26662.8223	29418.918	29842.9238	32306.1035	30882.4375	26579.7012	28908.8633	34405.6562	31418.3125	29899.5332	30858.8281	31357.7832	27628.5352	30873.6602	30825.9121	31022.2324	29086.7168	27098.334	31835.4551	25670.6934	31034.8164	34446.2617	30844.4004	26978.5488	29579.4492	25989.5547
1.0674	29694.5195	30648.7324	26231.707	29547.8633	30208.582	31588.8809	30496.5371	26945.1074	29325.4414	34528.8594	30766.6562	30206	30490.2812	30586.0449	27928.9336	31704.457	33490.1484	31774.5352	30987.7246	27138.5625	33281.7266	25730.2949	31102.2637	34037.3203	30641.1504	25708.7871	29051.498	26976.2109
1.2008	30530.877	31472.3652	27163.3438	30620.4355	30069.4395	31888.8984	30772.9531	27017.9004	28929.7461	34361.6641	31385.7715	30110.6211	30013.9102	30638.4395	29644.793	31466.1719	30961.8887	30614.0586	31670.2559	28399.7871	33089.3008	24692.7461	31380.0039	35896.6797	31115.1289	26253.5527	29219.9277	28578.7383
1.3342	31797.9492	32101.4316	28089.5	31917.1973	31162.1758	32352.3633	32778.8828	26247.1836	28546.3203	33036.7344	29813.8359	32723.4707	30944.8379	32394.2852	29021.0996	31386.8965	29560.1582	29975.1738	32145.4219	28627.4512	31069.3945	26007.9121	32276.1875	33328.2305	31723.0938	25280.75	29569.5742	30902.2832
1.4676	30481.2031	31415.6309	29019.8887	33613.5898	31007.9785	32569.3145	33122.7969	26730.2285	28912.2871	33943.5469	30145.9121	31800.4727	31303.457	35102.1992	28515.0664	32325.7578	29651.1367	30397.1328	33531.3359	28872.4395	31652.9238	27218.2266	32199.623	36005.3281	32128.082	27559.5801	29771.4844	36694.1875
