x	Y_20180224_15102_1_4g	Y_20180224_15102_12_14g	Y_20180224_15102_13_4_2g	Y_20180224_15102_15_4g	Y_20180224_15102_21_5g	Y_20180224_15102_21_6g	Y_20180224_15102_22_3g	Y_20180224_15102_24_4g	Y_20180224_15102_24_6g	Y_20180224_15102_25_7_2g	Y_20180224_15102_29_5g	Y_20180224_15102_3_5g	Y_20180224_15102_6_4g
0	15578.498	17159.43	20116.746	14573.712	16351.483	13427.061	13968.646	14074.186	15130.57	16498.016	15499.212	14864.291	15095.591
0.1334	17682.518	18692.168	18355.928	14936.757	18352.957	14400.424	14340.366	15438.944	15735.834	19340.742	18104.461	15673.826	16300.188
0.2668	21260.715	20747.596	21222.148	15032.368	24949.193	16140.446	15618.66	17281.432	19383.738	23022.838	26831.635	17902.227	20135.365
0.4003	26429.658	26264.557	25279.223	15997.438	32351.428	20407.102	18192.006	21832.131	26300.486	26895.361	38161.938	21103.281	28181.562
0.5337	26068.867	35997.438	25290.412	19178.041	30052.842	23270.518	18608.305	28334.594	26592.037	23682.23	38648.016	21698.787	37932.305
0.6671	21844.41	42585.074	21864.855	19775.486	24452.529	21630.824	18926.816	28793.082	23948.365	21646.539	28719.506	19127.363	38635.23
0.8005	16846.176	37855.77	20553.711	17416.332	21172.068	18465.381	17645.881	22296.721	20407.217	20493.146	22345.494	18040.393	29402.041
0.934	14864.294	30537.188	19864.088	15831.809	18504.826	16224.732	17905.893	19598.223	18738.764	19824.854	20360.246	17457.85	24706.957
1.0674	13171.333	26409.359	17565.555	15902.166	18132.871	15159.687	17643.424	18628.777	17195.551	19069.998	19171.811	16437.396	20228.881
1.2008	13148.609	24149.502	16446.334	15770.297	16309.667	14463.831	17654.027	17724.564	16666.646	17904.85	19018.982	16439.178	18820.475
1.3342	13660.048	24104.164	16655.957	15590.437	15440.495	15109.599	17728.074	17606.867	15585.479	16024.308	19701.004	15263.006	17856.205
1.4676	13867.109	22714.43	16412.83	15709.855	15251.336	14646.971	16195.677	16973.854	15938.725	15541.61	19733.291	14808.624	15906.853
1.6011	13820.92	21368.863	16578.863	15268.166	14360.349	13947.486	16930.729	15414.09	15595.887	16204.179	18392.629	15880.993	14930.755
1.7345	13021.823	20487.652	16263.393	16278.039	14326.412	13907.73	16178.18	16480.922	16241.842	17275.311	16518.387	16536.676	14979.324
1.8679	12937.72	18805.893	16172.115	17327.703	13103.547	13620.114	16828.93	17958.461	15369.263	16769.021	16357.527	16491.793	16589.635
2.0013	13516.454	16723.07	17834.777	17107.316	13211.305	14250.465	15951.305	19397.594	15643.811	16638.967	15837.523	14789.599	18103.801
2.1348	12904.876	15217.612	17019.113	16585.535	12357.372	15992.948	14329.765	19577.83	15370.009	16591.592	15738.767	14597.975	17917.117
2.2682	13794.88	15901.345	NaN	15908.497	12733.9	16520.414	14163.884	20135.27	14402.819	15509.646	16242.878	13513.854	17834.025
2.4016	NaN	16150.708	NaN	15091.203	NaN	15468.625	14343.183	20176.852	14061.862	15291.415	NaN	NaN	NaN
2.535	NaN	18673.586	NaN	15190.748	NaN	NaN	14149.855	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
