x	Y_20181208_15693_10_3g	Y_20181208_15693_10_5g	Y_20181208_15693_10_8g	Y_20181208_15693_11_12g	Y_20181208_15693_11_3g	Y_20181208_15693_11_5g	Y_20181208_15693_11_8g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_4g	Y_20181208_15693_13_5g	Y_20181208_15693_13_7g	Y_20181208_15693_14_3g	Y_20181208_15693_14_6g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_7g	Y_20181208_15693_15_8g	Y_20181208_15693_17_2g	Y_20181208_15693_18_6g	Y_20181208_15693_18_9g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_2_6g	Y_20181208_15693_2_9g	Y_20181208_15693_3_11g	Y_20181208_15693_3_7g	Y_20181208_15693_4_6g	Y_20181208_15693_5_1g	Y_20181208_15693_5_2g	Y_20181208_15693_5_5g	Y_20181208_15693_6_11g	Y_20181208_15693_6_6g	Y_20181208_15693_7_5g	Y_20181208_15693_7_8g	Y_20181208_15693_7_9g	Y_20181208_15693_8_7g	Y_20181208_15693_9_7g
0	27141.5547	27761.1953	33197.7266	30267.5254	26378.9902	30846.082	29638.1758	30960.7324	31794.9902	29650.2305	32050.4355	29847.6895	27739.8086	29686.7969	31561.3125	30334.4336	27478.0879	30500.5547	28506.8066	32962.4805	30841.0684	28848.416	32648.0684	28360.4395	32234.9766	34561.2969	31915.4199	24614.752	26262.8066	27024.0781	31687.3672	31769.0508	28591.0547	28178.2715	26304.4688	23611.9336	29762.3906	30304.5332
0.1334	26551.1875	27479.4434	33136.7969	31636.0254	26373.9629	30324.8633	30144.6289	29475.4902	30972.8984	30015.8711	31659.291	30704.0645	28946.1465	29019.8828	32254.8691	30020.0859	26541.6113	29575.5195	28073.9297	30281.4102	30257.7246	28233.916	31598.4336	29079.0742	32216.3633	32760.584	30034.4414	24057.3496	28536.3574	26308.1699	31961.7441	32036.3359	28612.7461	28419.6621	25912.3379	24162.9492	28175.1055	30431.5215
0.2668	27545.1328	28338.0645	33261.6055	31253.4512	26700.9121	30567.7793	28929.1875	31331.1621	31989.168	28424.6094	32294.0488	30566.8926	29765.4473	30119.4551	32605.6797	29675.998	25879.8535	29676.7461	28219.2656	32221.2832	30593.0098	28836.6953	31124.0918	28466.4414	30337.6777	32621.834	31003.7891	24424.668	27947.8633	27208.6641	31445.0801	32654.5762	28715.8984	26390.9551	27689.8691	24670.9238	29268.2031	30491.8281
0.4003	26695.9141	28281.377	33756.5039	32219.8379	26589.8789	30306.252	28530.2148	31312.1973	31208.5059	29100.8262	32117.873	30174.3027	31321.918	30632.5039	31960.3184	30041.2305	26783.4336	30237.5723	29825.0117	33198.1758	30405.7168	29339.9355	31283.3242	28199.0059	31461.7754	32982.3047	31148.0137	24107.1953	28986.2324	27186.0879	32109.0605	31932.3613	27849.4512	28189.666	27807.5625	23723.1719	28079.293	30626.4688
0.5337	27176.6445	28906.2246	31889.7617	30184.6797	26341.9688	30045.207	28271.4277	31934.918	30742.0352	30303.8184	31071.6699	29390.5059	34859.5938	31747.5586	33466.1836	30139.6055	26690.2754	29829.9062	29316.6406	31144.9023	30338.6309	30212.1953	30552.3262	28450.1152	30238.7617	32874.375	31656.8633	23201.9746	29309.0762	27041.4785	35200.0508	31376.5273	26015.9473	29541.2949	27629.5117	23715.5586	29168.8867	30638.6426
0.6671	28838.9844	27501.5273	32777.7383	31216.8047	27287.4844	29566.873	29236.1719	32705.1328	32458.8145	32088.2793	32879.1289	29830.1758	44737.625	34124.0234	36911.2344	31388.0332	27155.7422	30325.4883	29010.1973	32266.7617	31042.0605	30003.3438	32239.1484	28464.9316	33040.1016	33333.9258	32277.4785	25645.9355	32052.9629	26827.5059	37265.2773	32452.4746	27628.3457	28389.5352	29737.7324	24586.334	29882.0332	31821.8887
0.8005	27248.2012	28956.9531	32915.2539	32585.8828	30160.3105	29697.0312	28296.6797	31457.2676	33737.9453	31298.4727	33495.2422	29440.2559	64906.6289	38211.4688	39449.1953	32539.2793	26588.3984	32837.1484	29592.7148	32896.6953	32269.7559	29929.8223	31543.9551	30514.1797	32625.8457	35996.6758	34211.9062	25742.166	39000.9336	29108.0703	46673.4531	32544.6152	29009.8086	30906.2812	29551.4824	25766.8066	31279.8086	31885.3301
0.934	29419.4629	31266.7324	32142.9727	32434.125	32587.8457	31835.6777	29602.0586	31751.3691	36276.2734	34902.7734	35478.9062	30894.7695	92424.0781	44699.8164	51144.2773	33645.5	26216.1406	33987.6992	29941.6816	33424.0234	36622.9688	32806.9297	31381.3867	31513	34429.5078	36710.9023	35111.2773	25665.3086	50687.5859	29223.1191	67477.5312	34034.4688	29613.8164	32102.6797	32770.8867	25683.1133	35950.7578	34911.4609
1.0674	30247.9531	36636.5312	33976.8906	36697.4531	41143.6367	37596.5352	31075.6797	33549.0078	43463.0352	39780.7266	42623.5391	32338.9316	103325.1875	55283.1562	73871.9844	35348.1875	28544.0938	40909.5039	31244.7812	34846.5938	47303.0352	35975.0977	34252.5977	31680.7578	39738.1328	43258.1211	38931.0547	30166.916	79451.5859	30443.9434	87263.3906	33323.8984	32319.875	37169.875	43707.3516	30799.8711	51599.1953	37813.5352
1.2008	34785.5312	48852.1094	37631.7891	48941.1953	60064.1523	52128.8359	33257.0078	34336.2148	64039.9336	53068.8008	56395.9609	32422.377	70957.3672	55686.2422	89185.3203	37513.0312	30578.1094	55040.332	38026.1836	42198.207	65687.8047	40339.2656	39630.1484	35660.0352	47563.5156	64461.1328	54709.4961	38401.0156	86552.3359	34497.7109	82450.6875	36573.332	33828.9062	52893.4922	59969.5898	41638.2695	72587.5625	45128.8164
1.3342	42642.6953	60375.207	51345.332	70063.9766	65994.6406	70499.0078	38971.582	34249.1562	98368.0703	67709.7344	74400.9922	36895.9609	46818.7227	44001.9922	70789.6641	44038.5508	37050.9883	74594.5625	44643.3672	58406.8945	75140.2422	51898.1602	50648.9062	42617.0781	68377.8516	99104.75	75242.2109	43495.4141	65065.0586	42877.957	59523.2344	43168.2109	39154.6367	72600.9375	67687.9922	61771.2461	72168.3828	63766.0781
1.4676	56391.6836	61941.6602	66857.9375	91089.6562	49258.9336	74265.5078	47692.1523	34342.8672	122546.7891	64456.5508	81065.3594	40484.1016	37912.6602	37691.5977	49997.918	64183.2617	47587.8633	83750.0312	67752.7344	69916.9531	57740.5781	72106.5234	80259.8672	59327.0586	83855.9375	110178.8281	80053.3047	37688.1797	42535.3828	51252.3438	45142.4453	59097.4688	52476.832	76356.8984	56525.8516	68042.1016	55727.6914	92687.8047
1.6011	72012.1484	46201.8047	66071.9844	80963.9453	36045.8086	52745.3672	45819.2148	37717.707	88762.4219	48422.6289	59288.8984	48139.9961	35646.6641	34117.2656	38278.4688	93775.5938	55085.2539	64595.3398	87416	57516.4609	40947.6953	69228.6953	110911.0625	68509.5156	75432.1016	82068.7344	60985.7461	29652.5156	35042.8633	46260.0469	37734.0352	70518.8984	58791.8008	57217.207	39939.5352	53714.3984	38429.9648	96132.1172
1.7345	70260.7109	37366.7227	52993.9492	56533.0586	31196.2539	39130.5547	40503.0156	44643.8438	55200.0352	37885.5117	43078.3633	55564.8789	NaN	33299.2109	34968.7734	105790.7344	46540.707	46515.8594	76709.2031	43150.9141	34933.1914	49639.6875	103744.1719	58123.6289	54401.0117	54119.6445	45154.418	27431.0391	31266.043	37839.2031	NaN	60004.6562	51737.8438	41364.918	33691.0664	36837.125	33502.1914	70128.5078
1.8679	51630.293	35345.9688	42409.3164	42608.7812	28497.3105	36113.5273	36588.8086	56696.7773	42289.3633	33383.7422	36322.7539	52043.6719	NaN	33584.4922	32207.3145	77903.5469	37490.457	37274.4883	53642.0781	38133.1484	32517.6348	39080.1758	68194.0078	41416.1523	43604.9102	41231.0508	36717.8359	25347.9004	30737.4414	34234.2227	NaN	43814.5312	38862.2695	35773.3008	30132.6953	29249.6289	31406.0977	48262.5586
2.0013	37003.5859	32651.5312	37352.1797	36497.7109	27059.4375	35283.3398	35949.0273	58861.9453	36743.6992	32915.4922	32337.2246	41222.1484	NaN	NaN	34382.8398	48740.1797	32941.4336	34135.8086	40342.1328	36028.832	30515.1094	35033.8477	47405.1133	34311.4844	35206.7031	37269.5352	35151.8359	NaN	30825.0996	39209.2227	NaN	36104.2422	34085.6055	32595.2051	28685.0078	26989.5215	29990.2012	38399.1602
2.1347	31286.7363	30909.6621	34459.4336	35372.3203	NaN	NaN	40517.0234	48648.2227	34674.1523	NaN	31706.4941	35991.2148	NaN	NaN	NaN	38079.2656	30494.2793	33838.5156	35098.4492	33572.3203	32130.4355	32797.7852	40064.5703	32777.3086	32807.7852	35447.8633	33827.2969	NaN	NaN	NaN	NaN	32747.9102	31597.0527	31690.8398	27053.5488	26319.5488	29578.0605	35942.9844
2.2682	27892.0801	31499.4434	31316.2305	34214.7656	NaN	NaN	NaN	39438.75	34989.4062	NaN	32768.6406	36058.2773	NaN	NaN	NaN	33823.8125	NaN	NaN	35749.9414	NaN	NaN	NaN	38200.0742	31372.791	31667.2285	34114.1641	32801.2617	NaN	NaN	NaN	NaN	NaN	30826.2617	NaN	NaN	NaN	NaN	34042.8281
2.4016	28573.1816	NaN	NaN	34521.0977	NaN	NaN	NaN	35441.9375	35679.7891	NaN	NaN	35930.6172	NaN	NaN	NaN	33632.1055	NaN	NaN	34839.8828	NaN	NaN	NaN	NaN	31357.4688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33350.9727
2.535	27294.2734	NaN	NaN	NaN	NaN	NaN	NaN	33264.4922	NaN	NaN	NaN	36099.9336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33536.8047
