x	Y_20180212_14590b_18_2g	Y_20180212_14590b_33_6g
0	14331.472	11144.088
0.1334	15171.955	12185.391
0.2668	17792.59	12642.018
0.4003	21695.15	16453.426
0.5337	25424.35	22015.75
0.6671	25203.896	24854.293
0.8005	24676.686	21706.268
0.934	23823.816	18847.711
1.0674	21956.908	17092.373
1.2008	19558.008	17775.238
1.3342	17885.002	16683.461
1.4676	18285.336	16292.592
1.6011	18288.584	14843.272
1.7345	16764.859	13830.476
1.8679	14964.091	13355.816
2.0013	15265.8	13656.245
2.1348	15456.779	12944.129
2.2682	16090.068	13740.896
2.4016	17459.867	13794.316
2.535	17965.68	13141.239
2.6684	18532.322	14505.772
2.8019	21227.992	15399.267
2.9353	24763.926	16084.161
3.0687	28774.707	17282.039
3.2021	NaN	16574.699
3.3356	NaN	16516.637
3.469	NaN	NaN
3.6024	NaN	NaN
3.7358	NaN	NaN
