x	Y_20180130_15100b_10_2g	Y_20180130_15100b_10_3g	Y_20180130_15100b_10_4g	Y_20180130_15100b_11_9g	Y_20180130_15100b_12_6g	Y_20180130_15100b_12_7g	Y_20180130_15100b_13_9g	Y_20180130_15100b_15_13g	Y_20180130_15100b_15_9g	Y_20180130_15100b_16_4g	Y_20180130_15100b_17_11g	Y_20180130_15100b_18_4g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_7g	Y_20180130_15100b_2_6g	Y_20180130_15100b_20_11_2g	Y_20180130_15100b_20_1g	Y_20180130_15100b_21_7g	Y_20180130_15100b_23_10g	Y_20180130_15100b_24_11g	Y_20180130_15100b_24_14_1g	Y_20180130_15100b_3_14g	Y_20180130_15100b_4_1g	Y_20180130_15100b_4_21g	Y_20180130_15100b_5_11g	Y_20180130_15100b_5_12g	Y_20180130_15100b_5_16g	Y_20180130_15100b_5_18g	Y_20180130_15100b_5_5g	Y_20180130_15100b_5_7g	Y_20180130_15100b_6_10g	Y_20180130_15100b_8_8g	Y_20180130_15100b_9_1g	Y_20180130_15100b_9_3g	Y_20180130_15100b_9_5g
0	13081.144	12922.776	14106.851	13849.877	14043.722	12519.725	12767.482	12433.081	12938.357	13788.835	13320.958	13866.902	12077.105	12125.398	13616.841	11691.703	11439.128	13840.026	12987.314	12169.35	15156.26	15001.153	15233.787	12984.866	11834.605	14215.258	12871.107	15517.086	13440.482	11828.425	14634.957	11123.896	13291.483	12779.904	13053.914
0.1334	14220.612	14292.416	14703.944	14105.034	13623.229	12627.194	12248.65	12481.849	12800.019	14223.041	13588.743	13682.142	13052.778	13055.238	13518.035	12531.032	13644.44	14494.018	13452.811	12475.231	16071.205	16737.006	15011.016	13411.275	11781.893	13842.809	13327.131	16306.812	13928.703	13097.789	17077.701	11979.282	13600.129	14168.904	14563.717
0.2668	15060.854	16389.641	16198.646	16512.633	14822.525	13258.048	12901.48	13888.473	13199.806	14823.255	14794.686	15102.315	14173.428	13822.872	13589.867	13369.611	15890.837	15189.44	14321.666	14252.813	20521.793	20144.596	14858.279	14127.704	12660.085	15471.311	14624.722	20801.57	15040.892	14466.213	19328.117	14282.25	15775.104	15314.909	17044.627
0.4003	16220.059	18185.199	17993.732	20002.57	17468.484	14693.574	14222.982	16248.501	14255.572	17323.465	17232.307	19019.617	16759.361	16106.338	14090.729	15340.449	16745.426	17124.512	16032.998	17021.881	24382.354	24128.752	15861.961	17219.479	15504.798	16672.104	18242.496	27970.41	16484.984	17138.924	17671.441	15823.915	19810.301	16010.917	18328.961
0.5337	20350.436	20424.014	19092.104	21051.127	20317.854	15748.739	14958.397	16401.133	16907.531	19714.473	20354.934	20377.369	16227.91	19753.305	17095.666	14562.451	15420.636	20499.051	19567.873	17360.381	24535.408	22560.506	16105.945	20498.252	18955.203	16554.486	21934.936	28152.271	19277.281	17856.77	16086.629	15735.852	27445.561	15945.859	17678.172
0.6671	23085.125	19314.211	18440.336	19300.461	21228.496	15963.074	16051.933	14394.343	16448.234	19770.137	20414.797	19530.16	16445.115	20435.178	19818.166	13296.873	14996.02	18942.719	19367.279	16410.113	21629.422	18730.646	14577.429	20092.756	18858.248	15298.476	21284.682	24966.18	17840.438	16063.193	14902.787	15266.833	33020.422	16539.525	14526.849
0.8005	23130.186	17777.207	17485.344	18612.682	20224.814	14419.437	14585.236	12441.608	17636.48	17344.486	18505.619	18637.158	14790.343	18713.309	20439.223	12748.228	14188.628	16678.516	17450.545	16818.635	19215.201	16041.695	14793.074	18469.475	18395.592	14480.392	18623.102	22480.775	16469.379	14481.47	13552.771	14635.777	31572.139	16195.291	14819.356
0.934	22987.027	16707.102	15793.044	19613.238	18633.207	13966.432	14446.466	12264.278	18526.299	15270.688	18393.652	19820.035	13681.462	17383.049	17962.168	13091.522	14615.197	15956.765	15278.444	18477.191	18369.811	14506.935	14995.245	17745.109	17307.986	14618.561	16763.215	21338.873	15734.704	13599.382	13910.462	13793.912	26939.238	15287.173	14310.161
1.0674	20436.695	16021.074	14235.312	18891.766	18069.238	13153.201	14073.659	12821.817	19169.729	14972.104	16567.703	19271.049	12776.319	17103.682	16885.564	13758.164	14682.555	15446.821	13705.412	18255.699	18486.654	14242.383	16894.598	16602.404	16056.135	14250.424	14274.87	20662.801	15085.523	13972.325	13687.284	14261.822	23812.773	14824.086	13926.048
1.2008	19680.203	14364.25	13927.624	17903.088	18859.883	12113.084	14327.159	13938.107	18026.781	15030.312	16431.201	17262.459	12352.205	16871.156	16601.512	12986.864	15130.592	16709.938	13233.55	16914.592	17829.703	13072.672	17277.18	14912.852	16198.129	14385.512	13810.265	19630.496	16899.334	15295.517	13963.701	13867.687	21514.164	13629.878	14187.84
