x	Y_20181208_15692_30_11g	Y_20181208_15692_30_16g	Y_20181208_15692_30_6g	Y_20181208_15692_30_8g	Y_20181208_15692_31_7g	Y_20181208_15692_32_7g	Y_20181208_15692_33_10g	Y_20181208_15692_33_12g	Y_20181208_15692_33_13g	Y_20181208_15692_33_3g	Y_20181208_15692_33_4g	Y_20181208_15692_33_9g	Y_20181208_15692_36_1g	Y_20181208_15692_37_17g	Y_20181208_15692_37_6g	Y_20181208_15692_38_10g	Y_20181208_15692_38_16g	Y_20181208_15692_38_9g	Y_20181208_15692_40_13g	Y_20181208_15692_40_2g	Y_20181208_15692_41_4g	Y_20181208_15692_41_6g	Y_20181208_15692_42_1g	Y_20181208_15692_42_7g	Y_20181208_15692_43_17g	Y_20181208_15692_43_20g	Y_20181208_15692_45_15g	Y_20181208_15692_45_1g	Y_20181208_15692_45_2g	Y_20181208_15692_45_3g	Y_20181208_15692_45_6g	Y_20181208_15692_46_15g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_46_9g	Y_20181208_15692_47_12g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_7_12g	Y_20181208_15692_8_7g
0	28199.8164	29707.7461	30800.8184	29957.2617	29835.791	28564.8457	26030.0234	32294.3145	31559.2148	30447.4043	30500.5156	28771.3535	28648.9551	26126.9395	26202.4922	30256.5	29825.1387	26990.2871	33249.9805	27276.2793	28885.459	29645.7793	24446.5762	28955.2148	29729.8965	28166.7422	28998.5039	24484.6172	29049.9844	29154.4336	25743.2227	29500.0098	28620.3711	29529.2227	30611.873	33307.8906	25276.4297	32695.0488	25843.1719	26389.0664
0.1334	27964.1289	30371.4375	30542.248	30203.7891	30612.1855	29728.457	26168.0469	33980.8047	30687.0781	30472.498	31318.8281	29136.8848	28493.0566	25986.168	27150.0332	30957.3652	29020.9375	27531.8027	33080.4297	28934.0117	30314.7773	29471.6035	24452.7129	30832.2441	29970.2461	27025.2148	30035.3496	24490.709	30234.957	28970.9453	25819.5664	28557.373	28218.3164	29317.2656	31581.791	32939.4336	25811.2773	33281.7109	26197.9453	27243.6914
0.2668	30215.1816	31782.832	29315.5469	30314.4316	30010.4707	30150.9707	26985.709	32986.9648	30956.4082	29884.623	32017.1895	29071.3789	28064.5059	25080.2148	28193.4922	30108.6074	29122.3496	26447.2539	32050.0645	27684.8457	28861.707	28146.9277	26303.0059	29753.1328	30631.2949	27303.8711	29594.3359	25787.7441	28377.1113	28789.7227	26224.1035	27779.248	28021.2852	30271.3789	30583.0508	32674.7734	27583.1504	33640.6367	26761.252	27034.1914
0.4003	29079.0176	31338.873	28552.4551	30980.3301	29131.8184	30163.2812	26010.1777	32096.7734	31007.75	29970.8281	31144.8516	26806.543	28293.2168	24802.7324	28804.873	28959.4453	29325.7051	26282.7891	33093.543	28008.0254	29855.9785	30344.8379	25188.8789	29890.4902	30282.8164	26992.1582	28704.7227	25407.4805	27876.3945	28983.9355	25477.7656	28544.0801	30706.6621	29760.0488	29596.375	31938.5527	25911.0449	32174.6855	26375.1797	26450.1641
0.5337	28245.9277	32545.0586	30094.1973	29705.2852	30660.5957	30231.1934	26872.002	32187.9629	31876.207	31109.1758	32267.7793	28905.6094	27476.8691	24484.1934	28386.457	29034.9102	30232.8008	26350.8535	32486.748	27721.8145	30078.1523	30318.3555	24807.3047	28679.0938	30119.5859	27657.5742	30962.5996	25408.5957	29351.1758	28227.9453	26990.0762	28150.8203	30833.6875	29490.877	30123.7285	32135.7734	26348.3242	32175.6875	26562.7051	26716.6367
0.6671	29732.7891	31289.4297	30897.3145	30296.5781	29739.4492	29730.7754	26299.8984	32315.7734	31835.5898	30980.2383	30308.6543	29254.5762	25879.6172	26292.084	26981.6406	29155.3848	30877.748	26012.1484	31743.3242	26627.1777	29741.2168	29027.9961	25800.8418	30540.209	30511.9785	28096.8457	30873.6387	26396.2734	28700.123	29515.3945	27392.7324	28657.8848	29310.1348	30053.9902	30194.709	32427.084	26979.0918	31989.9648	26174.4863	27216.2324
0.8005	29980.3633	30442.2441	30212.3926	29310.0215	29617.4648	30584.6621	25518.1406	32914.1172	32864.5547	31192.5527	32325.291	28545.0723	28223.4395	26261.5176	27013.793	28288.0684	30091.2969	26526.6816	33402.6055	27716.1582	30174.625	29325.666	25065.1562	30398.9707	30155.8887	27732.0371	30924.6445	26596.5723	27853.1426	29030.4668	27475.8418	29154.5449	28500.5566	29648.6348	30938.2051	32383.7852	25572.7559	31292.5312	25549.0527	26835.9043
0.934	32131.4668	29879.3125	29265.0957	28948.4766	29500.5977	30711.9746	24879.9062	32644.7832	33087.6875	32422.3672	33952.4062	27810.668	27177.4902	26241.877	28679.418	29442.4141	29764.791	27108.7148	32938.2031	26752.8613	29871.5898	28751.0117	24252.4395	30227.5332	30818.4492	27173.3672	30586.9121	25267.5098	28154.5	29743.5391	27724.8242	27971.623	30035.9688	31217.0449	29300.2676	31223.4551	26838.3672	31598.0469	25782.9746	26889.3066
1.0674	33073.6562	30998.5879	29949.5898	30673.6543	28849.6953	31539.8145	25535.666	34411.7773	32329.9355	31124.8047	31804.8457	27756.959	26516.041	26985.5371	27174.1914	29855.9883	30508.4551	26721.9297	33753.2539	27518.9961	29625.4023	29061.166	25086.5332	30511.8945	29650.5215	26507.6934	31745.2207	25515.4512	28221.4883	29392.8359	26488.7441	28543.0566	30124.9551	30834.8301	29522.668	32722.6465	25691.9512	31197.2422	25477.7773	26558.4395
1.2008	32448.0195	30424.1055	29628.2773	30042.8398	29269.543	29831.9824	25598.498	34901.5508	31581.5488	32506.2773	31887.5371	28466.0234	26797.5527	27685.3379	28525.9414	29239.1797	30477.4668	26957.707	32127.9609	27525.5527	28637.5781	28950.9082	26097.709	29963.498	30994.6094	27527.1953	31342.666	25052.2637	28093.8086	28419.6133	24993.0098	28533.1211	29361.3633	29878.8047	28860.543	32076.0938	26036.5566	30906.041	25687.4219	25224.2305
1.3342	34408.8672	29198.416	28414.291	30218.375	27974.0918	31055.7285	26898.2676	35046.7812	30955.1543	33598.5195	31481.4551	28373.2773	27801.7949	28650.4629	29986.3223	29014.9941	30701.3145	26726.1758	32540.2461	29241.7637	29477.3359	28666.9023	25097.5195	33107.543	30186.3887	27793.2539	31012.7285	26210.6094	28304.9141	29964.4551	26395.3027	29573.5703	29921.0859	30069.5488	29385	32432.5859	26060.9414	31074.1367	25646.0938	26623.125
1.4676	35850.4219	29515.25	29809.998	30176.8301	28959.4336	30895.5566	27408.5449	35881.6875	31919.084	33924.1523	31372.2285	29897.9277	27380.4316	28805.0352	28671.9434	28303.5684	30466.998	27777.207	32528.4863	28911.8301	29782.8457	28383.2754	26077.4121	32978.0312	30228.707	27570.0488	32490.6953	26322.1992	30090.5684	31441.0859	26025.9277	29674.7969	30012.7734	30598.1973	31117.4473	34561.8008	25238.6562	31419.6582	25781.875	25518.6543
1.6011	40072.8906	29805.8965	30892.5547	30501.8633	30728.75	30029.9688	28619.3379	37991.2031	31588.7891	33573.3047	32542.6543	29829.2383	28554.5195	30483.6094	27843.002	29343.4648	31725.3516	27730.8359	31288.3926	29634.9648	28086.4062	28434.418	27504.1016	32397.5625	30795.1582	27673.582	31140.0137	26138.6074	29628.2773	30800.4004	26388.9277	32073.3594	27846.1855	29418.5449	29248.1836	35403.457	25276.6035	31828.9238	25635.7285	25477.6328
1.7345	52853.3672	30240.9629	30131.0078	31237.5488	33546.7578	31008.75	28510.9922	40768.3008	31512.0234	34779.8359	32790.2188	28720.793	29371.0605	32496.1152	28579.0977	30460.4043	31668.6953	29095.3145	31674.4941	30241.9922	30034.2305	30299.4199	25990.916	32956.6992	31073.916	28227.4707	31130.666	26683.8398	30348.3496	32176.8613	25989.3848	35959.8047	29101.3398	29998.3066	30460.7227	40006.8359	26550.8984	31895.3242	25918.6504	26256.834
1.8679	66812.25	30685.6406	30611.1152	31917.668	39960.9414	31001.1914	30151.043	44910.6797	31669.4629	40245.7539	31535.2793	29217.0469	31595.6426	39654.2305	29064.5684	29759.3828	31295.0996	33681.7148	30665.4121	30184.6074	30883.7148	32074.6387	26119.377	35817.5156	32164.5859	29734.7695	31242.1172	30157.9512	33015.8828	32709.8672	26821.668	43173.0898	28318.7051	30657.5059	30653.2812	51880.3711	26848.6309	31733.541	25741.4082	26911.4844
2.0013	78485.7969	31305.9922	31345.3105	32321.9688	54004.6484	32133.7441	34721.3125	65887.1406	32691.9922	56781.7969	31843.8516	29574.8672	39005.2031	54317.3047	30424.8066	27729.5996	32412.8555	45888.0898	32419.8066	34142.7891	31372.6934	37451.457	27816.0645	42913.8164	35219.1211	33107.9883	30898.1895	34380.2188	38134.3477	38093.7578	26353.291	57403.7227	28772.7578	31531.6836	33335.2656	68560.1719	29568.8008	32458.8281	26869.5039	28082.8984
2.1347	90259.9453	32469.7617	30523.5312	34478.5508	71458.1875	32788.3867	46952.2695	94403.0078	34807.625	79471.9219	32107.125	29113.3418	46058.4375	80900.1719	33655.9414	27844.0469	36724.6836	49887.7969	33027.8672	36236.8672	33095.6055	50919.7695	27080.0137	57987.082	40955.0898	40442.4688	32941.8906	46619.5156	49188.9336	48432.1406	28861.0332	70021.8906	30338.3984	33376.7812	34319.082	68870.8906	30552.8965	33694.7227	27876.9883	29302.2422
2.2682	85862.5234	35733.7344	32808.1523	43648.5625	74387.3828	36072.6562	72102.4844	104660.9062	36983.1172	90546.3594	32222.5098	29149.2637	42576.707	94501.0156	38767.293	29120.6328	41903.5234	42784.4141	32105.127	37907.4062	34682.8594	76890.6016	28252.3418	81756.9922	43228.7422	55739.8242	35852.1094	64521.8125	70164.8672	67063.8125	32351.1113	57153.2578	29825.8906	35300.8164	43105.332	53285.7656	40504.082	39255.5938	30405.9004	33845.5273
