x	Y_20180224_15102_10_1g	Y_20180224_15102_11_1_s_g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_12g	Y_20180224_15102_12_1g	Y_20180224_15102_12_2g	Y_20180224_15102_12_6g	Y_20180224_15102_12_7g	Y_20180224_15102_14_2g	Y_20180224_15102_14_6g	Y_20180224_15102_18_4g	Y_20180224_15102_18_6g	Y_20180224_15102_20_5g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_4g	Y_20180224_15102_23_5g	Y_20180224_15102_24_4g	Y_20180224_15102_24_6g	Y_20180224_15102_25_15g	Y_20180224_15102_26_3g	Y_20180224_15102_26_5g	Y_20180224_15102_26_6g	Y_20180224_15102_27_1g	Y_20180224_15102_27_3g	Y_20180224_15102_28_8g	Y_20180224_15102_2_7g	Y_20180224_15102_4_10g	Y_20180224_15102_4_7g	Y_20180224_15102_4_8g	Y_20180224_15102_5_1g	Y_20180224_15102_7_8g	Y_20180224_15102_8_1g	Y_20180224_15102_9_5g
0	32694.488	40435.699	33775.617	34366.883	36292.961	31934.91	29736.629	36969.082	35709.188	34006.758	35987.957	31998.668	39842.352	39198.27	40663.586	35081.148	34119.969	38691.773	34635.422	34746.961	33987.637	36215.879	38951.566	37926.711	37486.082	40330.398	39170.477	37074.043	33186.281	35205.332	36735.332	36651.859	28295.879	40598.867
0.1334	35190.016	39412.988	33103.035	34499.254	37570.199	31961.404	30464.992	39609.301	35586.746	34338.32	35184.582	32994.09	40192.164	39709.227	41131.344	34523.102	34308.297	38159.91	34001.824	35334.895	33027.332	36378.703	38499.84	36504.402	37908.074	38003.453	39841.719	36711.605	33838.352	34295.688	35545.43	35927.547	28126.418	41147.027
0.2668	34889.594	37890.613	33134.141	34672.355	36956.359	32991.348	30192.848	38794.875	35189.578	33259.551	35585.156	33085.414	40380.387	40205.398	40328.672	32664.344	33919.559	38203.977	35306.879	35395.035	33773.09	36887.594	36909.945	37571.586	37198.379	40018.137	40651.758	37502.672	34699.332	33631.234	35305.875	34346.254	28559.551	38389.391
0.4003	33858.555	38067.055	33744.852	35493.539	36750.676	32454.656	31613.824	40498.129	35320.828	35668.438	34585.918	32214.277	37195.848	38981.602	40743.066	33452.48	36014.844	39761.875	35932.312	35142.895	34289.902	37477.629	36743.945	39125.977	38284.164	39136.539	40645.34	37525.484	35193.457	34171.047	33831.246	34868.566	28748.785	39351.676
0.5337	36011.164	39045.582	33612.859	35807.434	37262.402	32529.363	32898.035	39297.465	36339.836	36546.996	36123.344	33881.652	38332.047	38994.973	39257.027	32556.658	37168.598	39104.98	34683.914	35155.918	34051.355	38132.871	38070.883	39537.355	37392.02	39283.535	41166.891	37952.223	35920.004	34783.762	33543.871	37426.422	29153.152	38988.363
0.6671	35025.375	40082.645	34764.434	37006.129	38481.273	34414.027	31183.898	41033.672	37605.438	37556.637	36366.773	33462.852	38319.242	39479.012	40141.961	33754.98	35866.742	39962.762	36655.172	36294.766	34983.098	38557.816	40082.738	39417.785	37952.113	39421.105	41890.984	38322.062	38524.188	33978.613	34393.688	38822.645	29944.984	38858.238
0.8005	35204.523	38226.961	35473.844	36518.02	39414.465	34850.91	32075.848	39632.629	36423.738	37729.191	35266.789	32617.516	37709.16	39234.137	41011.934	36384.656	34768.398	38655.086	35015.461	37389.137	34626.117	37632.559	41165.812	39207.926	37447.941	38533.965	40651.207	38848.203	38476.305	34819.926	36321.68	39600.453	30524.996	37883.594
0.934	34733.367	39341.539	35792.738	36154.949	39332.234	34946.906	30510.629	39255.363	38418.555	37379.387	36787.355	33256.898	38328.832	40896.098	40439.73	35447.117	34891.984	38894.715	35843.914	37397.199	35455.613	39209.043	40554.094	39120.977	39026.363	40246.57	41012.707	39093.367	38380.859	36064.156	36380.664	39097.891	30371.195	39410.637
1.0674	34720.523	38860.684	36093.785	36585.957	38147.895	35062.449	31904.855	39694.953	38187.914	38561.684	35789.234	32581.67	39329.082	37759.809	39206.566	35923.691	35443.988	39384.238	36293.922	36520.914	35255.133	40507.52	40365.328	38629.051	38964.805	38889.227	41556.426	40978.199	37899.277	37774.457	34755.684	39158.18	29736.924	39861.227
1.2008	35366.398	40745.137	35919.32	37048.492	39392.742	35714.809	32116.584	40610.973	37419.977	38375.277	35900	34855.344	39719.688	39206.645	40042.16	37134.137	35492.168	40450.148	37130.02	36212.246	35216.602	41330.02	39952.785	36935.57	38778.594	38882.199	43432.742	42909.516	38275.527	37163.676	35442.367	38695.898	29537.34	39390.48
