x	Y_20181208_15100_1_1g	Y_20181208_15100_1_5g	Y_20181208_15100_13_1g	Y_20181208_15100_13_5g	Y_20181208_15100_13_8g	Y_20181208_15100_15_2g	Y_20181208_15100_16_4g	Y_20181208_15100_17_4g	Y_20181208_15100_17_6g	Y_20181208_15100_18_6g	Y_20181208_15100_19_6g	Y_20181208_15100_2_1g	Y_20181208_15100_21_1g	Y_20181208_15100_24_3g	Y_20181208_15100_3_1g	Y_20181208_15100_3_2g	Y_20181208_15100_3_3g	Y_20181208_15100_5_10g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_5_7g	Y_20181208_15100_6_2g	Y_20181208_15100_6_9g	Y_20181208_15100_7_5g	Y_20181208_15100_7_6g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g	Y_20181208_15100b_1_3g	Y_20181208_15100b_11_1g	Y_20181208_15100b_11_4g	Y_20181208_15100b_13_11g	Y_20181208_15100b_13_18g	Y_20181208_15100b_13_1g	Y_20181208_15100b_13_8g	Y_20181208_15100b_14_5g	Y_20181208_15100b_15_10g	Y_20181208_15100b_15_3g	Y_20181208_15100b_15_8g	Y_20181208_15100b_15_9g	Y_20181208_15100b_17_5g	Y_20181208_15100b_17_8g	Y_20181208_15100b_18_10g	Y_20181208_15100b_18_3g	Y_20181208_15100b_18_7g	Y_20181208_15100b_19_10g	Y_20181208_15100b_20_3g	Y_20181208_15100b_20_4g	Y_20181208_15100b_21_12g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_2g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_9g	Y_20181208_15100b_22_20g	Y_20181208_15100b_22_9g	Y_20181208_15100b_23_1g	Y_20181208_15100b_23_6g	Y_20181208_15100b_23_9g	Y_20181208_15100b_24_3g	Y_20181208_15100b_26_10g	Y_20181208_15100b_27_10g	Y_20181208_15100b_27_3g	Y_20181208_15100b_28_2g	Y_20181208_15100b_29_3g	Y_20181208_15100b_3_3g	Y_20181208_15100b_30_1g	Y_20181208_15100b_30_5g	Y_20181208_15100b_32_6g	Y_20181208_15100b_32_7g
0	15469.0332	11280.0566	13617.6318	12971.4893	14037.7168	13537.0254	12235.834	11528.4902	12055.0127	13996.7881	14575.2021	14223.3223	12059.3848	14481.4453	12452.7812	12773.4834	12091.0693	12032.1602	16109.8311	13579.3662	13809.9111	13588.9717	15764.9375	12102.4102	12047.9199	10603.6348	12992.1152	13425.6152	10651.7422	11148.3564	13058.3691	12296.0664	12276.4736	10338.2422	12411.2002	12185.7129	12300.5078	11463.2168	11910.2227	12272.7588	12790.6631	12079.9648	12368.5762	12240.2959	10487.125	11070.5605	13805.9932	13594.1475	12313.5947	15551.665	11032.6416	11115.0391	12672.5098	11204.3965	13930.2148	12431.8281	11153.0039	12416.6104	11679.0547	11403.667	13409.9102	14053.5117	13287.333	11615.9805	12289.1113	12904.0742	13480.2383	12147.2236	10365.6416
0.1334	18168.3066	11757.1387	15615.2373	14308.501	14700.7852	13442.4834	12066.957	12999.7207	12395.874	14965.5723	14030.7734	16256.0635	12981.8574	16338.3838	13344.5293	12905.5352	13606.7402	12902.6748	21501.1484	13367.1689	12895.5801	14914.2197	19487.8086	11458.7578	13016.1211	10434.041	13178.8408	16400.8828	10901.0166	11075.9395	13183.9492	12779.0508	12018.2256	10364.0303	12872.9277	13290.5234	12399.5303	12268.0156	12647.8574	12198.9893	13559.4561	13266.0586	12815.1357	12500.9316	10975.6816	11481.6846	13664.5166	14901.1631	13442.3262	16455.418	11217.8262	11544.2051	12849.0078	11236.7217	15500.5596	12992.0723	12666.1914	14682.5684	12640.4854	11822.3623	16824.1699	13974.4189	14755.2959	12196.6494	14189.3584	13615.0371	18071.4609	12345.6807	10718.6348
0.2668	21904.7109	11809.5439	17879.5723	15678.9238	15923.2725	14508.75	13276	12959.8223	12918.168	15577.958	14319.8408	18327.6953	14207.5107	21211.8594	14810.0742	14267.8613	16463.9277	13544.1367	26001.9355	13662.877	14353.2168	16791.2812	23327.0391	11792.5781	14483.9473	11598.1084	14126.3799	18779.9238	12927.7646	12612.667	13856.2354	13229.7051	11566.1973	11747.1182	16078.8711	14814.9004	13528.6445	13388.7559	13237.4717	13049.7051	14898.8096	15396.915	12792.4443	13420.6289	11659.3516	11898.0684	14224.5117	16199.9951	16108.3535	16051.5117	11158.1182	14641.415	14857.4238	11837.376	19553.0078	15842.1299	15285.6592	16592.7793	12708.2031	12944.1348	20140.3438	15152.9268	18206.1426	12815.793	17315.875	15646.2607	21192.3906	12714.9951	11574.1357
0.4003	21991.8066	12532.1816	19796.4512	18337.4062	19393.8828	15479.8818	14474.5391	14538.127	13989.0684	17125.627	14579.1729	24412.2285	16620.9316	22881.9727	17698.7988	15983.9639	20153.5742	13816.6162	24327.9824	15953.9141	15276.3936	17539.916	23831.9805	12411.0742	16754.2031	14257.6318	14135.665	18078.9355	15331.5176	14783.6016	14856.3311	14202.7109	11726.0986	12803.1094	20371.7266	17562.834	16649.7305	14917.7461	15785.3408	15077.3965	19416.9453	17960.2188	13465.0908	15319.1416	14875.5859	13635.2041	16004.9648	16724.7168	16073.5391	14127.2725	12910.4805	17919.4023	17631.3223	13561.082	22904.5801	17244.7715	20345.2305	17447.3672	12894.835	14386.168	20792.3965	17664.5664	22542.0469	12940.7529	20119.8887	17024.1328	19752.8516	14700.5732	13041.6396
0.5337	19269.6113	14280.9561	20591.9707	17225.1387	20508.793	17987.4316	16405.332	17004.7305	17771.4023	20053.3379	17894.0059	30611.9902	19818.7559	20463.4609	18955.3887	17351.7441	18005.3633	15085.2549	21798.9688	18753.5625	18995.5469	17293.5391	21052.2402	14893.709	15910.2842	17212.1621	16990.377	16558.5566	16610.1914	17740.3203	16316.1934	15812.3545	13333.6338	17257.7891	22288.0039	17197.0801	20000.6836	16501.0137	18648.5703	17207.8105	23327.2266	18560.9395	15239.6172	17561.9805	16557.0547	15572.4609	18561.3652	13884.6826	14132.0107	13020.3389	14211.8574	19670.8047	18044.4902	16046.2275	21944.9453	16987.1074	19028.6387	14521.7803	14989.3428	15701.6152	18051.0117	20666.9727	21672.3418	13211.4297	19037.2383	16993.8145	17893.2871	18141.1211	16598.082
0.6671	15998.1992	17014.9395	17580.9355	15010.4941	20257.7539	20929.5957	16140.2998	18062.1699	17355.4902	22299.2188	22395.7207	30748.5996	22615.6328	18900.3691	17655.041	16337.0557	16989.5508	17278.2188	20785.6191	18264.7383	24100.4727	16562.8926	18822.2129	18525.375	13380.0684	17436.4512	21959.9316	14756.5342	16479.375	17808.7012	16890.8125	17788.8047	16266.543	20053.1621	19761.877	13900.3457	19499.6562	16650.4434	17966.5137	17246.5312	20666.2773	16642.3066	16440.4902	18438.7109	17245.2383	17736.8496	18897.2266	12675.6123	13587.9053	13405.2871	14689.458	18831.0488	15166.9297	15258.0928	18398.1016	16103.8057	15042.375	12504.2861	15235.5078	14413.8486	16143.877	22208.748	16549.7207	15363.2188	16111.832	15202.4912	16466.9609	18877.3633	21238.6387
0.8005	14999.0283	20027.7031	15732.7432	13176.2939	18817.7305	20465.1816	15347.4072	16515.1035	16109.0293	21353.9199	26103.166	24235.3105	22202.1875	17281.2344	16823.2383	14218.7969	17213.459	21479.5879	19728.8984	16345.0635	25607.0645	14738.2832	17495.1504	18407.2871	12887.2822	15120.8398	24916.6953	14285.4863	16352.7949	15072.082	16626.6992	19230.2285	18532.7207	20254.8887	16658.873	12301.1533	18917.793	14866.2969	16525.375	15993.8047	15820.0811	16759.623	18864.5156	16001.7764	17719.166	14601.0225	17120.1582	11794.6387	13224.1504	13518.5508	14444.2969	16901.3848	13081.249	14072.6328	17638.1602	14444.7012	14720.5049	12373.5449	14332.3877	14189.8584	14631.4551	19545.5508	14054.1621	18830.0293	15084.0986	13589.2383	16661.6387	17036.0625	17158.5879
0.934	13755.2148	24185.8984	15302.3574	12661.459	17090.9473	17124.5078	15085.6797	15526.9062	15087.3623	20786.4395	23075.9727	20526.5918	18061.8398	16948.9023	15692.0391	13530.0205	16197.9541	21878.0273	18075.8203	15131.0625	21290.4277	13291.4434	16843.5195	17384.0527	12191.6348	13494.8164	21910.1875	12907.4775	15706.9131	15517.3867	14442.1357	20207.1055	18485.125	18335.4023	14876.4619	12844.9717	16536.7246	13200.876	15302.5488	15051.5996	14173.9385	17655.2031	19517.5703	13678.5586	17259.5391	14166.6768	15537.4863	11427.3682	12353.2725	16252.8232	14226.0684	16993.1094	11765.2412	13387.1514	17032.877	14922.5557	13575.7275	12672.0332	13717.7363	13590.0732	14252.9072	16126.5342	13353.7959	23946.043	15916.6523	13669.1943	14939.1172	15785.2578	15703.3105
1.0674	14045.3398	26382.5215	14388.0488	13524.4189	14978.1982	14862.623	14700.5449	15363.1094	15342.0908	19116.4629	18782.6797	19122.8145	17452	16370.6006	14667.6064	12450.5947	13946.1152	21454.4707	15301.9141	15329.708	19173.127	13649.2461	16396.7988	16775.2031	12126.5576	12750.916	17270.1836	11867.8311	14817.46	14575.1729	12742.5781	18818.2148	16831.6855	17647.0176	14282.9316	12512.3252	14585.4141	13307.417	12770.1562	14761.4639	13721.3652	17356.3652	17184.8672	12798.2148	15962.3936	13873.3721	14181.2314	11346.3477	11789.4141	17717.5742	13604.3535	16481.5215	12054.1357	13134.001	15622.1016	14279.4521	14628.5762	13190.3369	12462.6904	13662.4268	13838.8066	13864.4111	12522.7363	22383.8066	16571.0195	13340.4004	13930.6328	14384.8691	15483.8447
1.2008	14236.6143	22656.541	14316.8389	12999.0107	14565.2891	14740.168	14960.877	14178.5146	15395.6006	18040.8574	16383.1953	18734.5801	17098.4629	15221.5586	15267.5986	12407.9971	13716.1123	21634.1602	13712.7275	17731.6582	18692.5488	13996.9209	15284.1621	16479.2949	11398.9531	12838.2422	14741.3701	11114.9199	13483.0088	14446.2412	12138.0566	18832.9082	13687.0908	16004.1836	14963.5811	13218.29	14201.6318	13690.7637	12102.3438	14578.4619	13961.0215	16183.21	14993.999	12886.8682	13037.3027	15197.5605	14388.8994	11683.543	12592.4463	17487.1367	14223.376	14460.2822	12528.2842	13393.6133	14961.5098	13816.4746	15303.0625	14181.54	12591.1953	13091.1162	14683.3027	13828.3574	12585.085	21395.8633	16583.8809	13567.9883	13736.7168	13751.457	16022.1211
