x	Y_20181208_15693_1_11g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_10_4g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_11_6g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_13_11g	Y_20181208_15693_13_12g	Y_20181208_15693_14_14g	Y_20181208_15693_14_4g	Y_20181208_15693_14_7g	Y_20181208_15693_15_11g	Y_20181208_15693_15_9g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_19_4g	Y_20181208_15693_19_8g	Y_20181208_15693_2_2g	Y_20181208_15693_2_8g	Y_20181208_15693_20_1g	Y_20181208_15693_20_3g	Y_20181208_15693_20_4g	Y_20181208_15693_3_4g	Y_20181208_15693_5_6g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_8g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_7_6g	Y_20181208_15693_7_7g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g	Y_20181208_15693_9_8g	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_2g	Y_20181208_15693b_1_5g	Y_20181208_15693b_10_15g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_5g	Y_20181208_15693b_11_10g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_17g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_10g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_9g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_15g	Y_20181208_15693b_5_24g	Y_20181208_15693b_5_4g	Y_20181208_15693b_6_10g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_12g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_13g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_12g	Y_20181208_15693b_9_6g	Y_20181208_15693b_9_7g
1.3342	31245.6348	26133.668	29989.0488	26935.0801	31543.2773	27977.5137	28435.9434	31261.4473	32226.1348	32586.3789	27556.8789	30493.5059	29978.6816	29214.7305	25621.9629	27035.7422	30962.0996	30279.8418	31422.4004	29321.5781	31181.0605	38907.9219	31871.6035	31345.75	31807.1719	30925.3066	28092.4629	36243.2461	31434.375	29506.8047	32435.8066	33961.3906	29526.0469	27112.7598	32237.5625	37284.9258	33987.9414	30671.4902	28110.1562	31060.9219	28970.6094	31818.793	28362.0312	25164.2598	30602.8223	34453.4805	27128.957	33796.2812	33935.7422	31803.6836	26331.459	30349.2363	33056.5469	31150.0742	28688.4961	29393.7285	24143.0352	34576.2109	33842.8867	44271.1992	30048.9863	30051.2578	31068.8223	34652.8398	33659.8398	30307.8125	28041.584	27514.2695	29656.1895	31903.6465	29215.0449	29738.5977	29600.2793	30105.0117	34719.832	28364.1777	31320.6328	35499.4453	31569.1738	25892.2676	33094.8555	33614.0586	29777.4258	27522.0957	29974.7305
1.4676	30032.4902	25961.9824	31194.8164	27920.998	32839.9609	27275.8574	31294.2617	30580.1328	30945.2832	37003.9883	27755.8027	31739.7617	30068.0156	31299.9023	25190.6602	29037.502	33359.2305	33104.6875	31408.9336	29736.0781	30679.2734	36795.5508	34611.6172	31280.0508	31516.9863	31674.6289	29176.7617	37120.7773	32205.4297	29618.9316	32484.3066	36639.9531	31845.959	25792.0586	31310.1895	41793.5547	36413.6758	30243.5547	29121.3555	30965.5469	29616.6777	30460.9746	30343.002	26526.0469	31299.3125	36090.0664	27187.2637	33532.7227	34114.0156	33074.918	27206.5859	30729.4043	34422.1367	32195.3418	29921.8945	29876.9609	25789.7754	34489.8281	36018.3086	65265.3594	30200.707	29543.873	32028.0371	33011.9414	34593.3672	30784.1309	30788.8262	29287.0098	31172.082	32805.9727	29112.9707	30063.2988	30505.2266	33130.7773	36536.6758	30217.2949	30769.5449	38212.4844	32706.5977	26314.5684	35561.6328	33302.4102	30471.7637	27448.5977	31930.207
1.6011	30744.7012	25457.5918	32372.9277	31593.834	34174.1992	28220.9082	35879.8906	32420.0449	33223.0117	45709.4844	30037.8594	35424.3516	29840.459	32776.3164	25346.8223	28859.8984	33824.7344	32693.9199	32302.543	30276.2598	31844.5039	32155.6875	36793.8984	33282.8828	32584.7695	31859.8203	29289.4219	37052.6523	33693.0156	29739.0195	33623.1133	39939.9844	30391.6602	25568.0645	31854.125	54261.0195	46686.2695	30082.5137	30045.0059	31393.3867	29214.7188	30842.9355	34981.3477	25721.6367	31049.5234	37666.4258	28744.6172	32365.6621	33592.5078	34267.668	26892.0957	30280.0586	41613.7773	31193.1758	30700.4023	30881.3633	25265.834	34904.7344	39535.1172	94804.1406	30956.1523	29663.1172	32920.2773	34699.6016	32514.5137	30140.4102	36210.6367	29739.9004	33785.1328	34980.8398	30054.3047	30104.6562	31234.0039	34019.2617	44279.3047	31405.4902	33329.9297	45390.332	35731.5156	26367.9297	41589.418	34708.625	31444.3594	27456.4414	32941.793
1.7345	31857.4414	25226.916	33447.7656	34403.793	35806.0195	28677.2207	46678.875	32281.5176	35021.5586	53034.457	31995.7578	44619.4219	31230.6699	35691.1367	25520.8516	31042.7832	38241.1406	33891.3633	33890.8398	31037.1934	35319.582	29163.332	41610.7148	33303.8906	32451.2734	32863.8711	30968.4727	38816.9961	36987.7227	31265.9473	41913.5234	47404.9258	31934.1738	27854.1074	32349.4121	78323.6797	70977.1172	31255.6367	33389.625	32697.9297	29522.8828	35477.4961	47494.8711	30781.1777	31946.8086	42473.5195	30642.3828	33275.4531	32554.3926	42278.1914	28296.4316	31205.2285	57370.6875	32920.1562	30859.2617	32504.1191	26390.2695	37336.7148	51118.6602	96989.8438	30034.4023	31447.3789	43046.1055	36761.4922	34494.6719	31462.6172	47731.8398	32736.4102	42150.6445	38226.6953	32663.2285	31019.709	30828.7637	42366.7891	54319.707	31996.0703	34126.0352	68123.5312	43264.4648	31183.1191	51215.7188	35720.2656	32082.0918	29198.6602	32376.0879
1.8679	31011.0605	25800.752	38560.2891	46146.4375	45874.8281	31162.6953	69920.4219	37279.3008	36654.6133	47739.6289	37571.9297	68636.7734	33124.1445	44194.9727	27133.6465	34342.4766	50637.7383	38537.582	36242.0469	33585.7539	42527.1875	30344.7012	57405.0703	35387.5117	32395.7734	35216.6836	36548.8516	46177.8555	43823.0898	35567.2656	54686.875	67356.6953	31884.8477	30938.2461	32279.9062	93502.8516	95744.0781	33834.3242	38810.8281	37981.6523	30955.7734	47276.1953	70409.9531	38354.8047	33792.1914	54684.4883	36254.0391	34853.2656	34251.2031	57092.0234	30331.3516	33683.9961	90400.4141	33599.2031	33656.1133	36807.0625	27015.5898	42962.3594	68586.5547	69782.1406	29043.9004	32013.3965	57587.7031	40954.9453	39629.6992	33570.4219	79907.5078	40403.0938	58392.293	44245.2383	40123.9375	32207.4512	32624.8555	58726.3633	62089.9922	32277.3359	38925.7188	98647.7109	63949.957	36265.9141	74114.7188	35761.9062	31800.8789	30676.2031	35206.625
2.0013	31284.9395	25233.0723	43814.1484	62968.7891	66537.8594	34710.8672	90170.7812	48477.0586	43622.832	43836.7812	49606.4648	94796.9922	37582.7109	61309.4922	27756.6816	44337.3594	74878.1406	48411.3203	41427.4258	39008.3984	57608.5391	32619.9941	78037.1094	42250.4219	34469.4023	37660.0234	52254.7188	63738.5898	64091.4062	41009.7383	83620.1719	101682.4297	33899.9883	35462.6367	31631.8438	76716.1797	91819.8281	33857.0898	54030.9297	46775.6875	33324.3281	63322.9805	90628.8984	51493.0547	36860.6875	74518.4297	47962.418	41487.3359	36258.1602	75713.7109	33978.1094	38973.5664	114044.1719	33390.1797	38107.1367	46371.7148	27915.707	57729.6094	72558.4609	50041.9609	30331.9043	34948.9219	64872.6953	52188.8359	50597.7344	37725.4062	110307.6172	51252.2266	86202.0703	60887.5234	54442.7578	37887.4414	34918.625	81891.1094	70274.6719	36363.1328	48636.9453	100120.8828	90355.8359	49789.668	82520.375	36367.5938	33626.7852	37106.8438	39112.3477
2.1347	32099.7441	27616.3008	62186.8242	65490.9297	101584.8281	42381.4727	78206.4062	71739.9453	59916.6055	42357.7656	73987	91914.1953	43351.4844	83345.8594	28679.7422	62960.6445	99635.9297	71462.9141	55784.8047	54441.0938	65340.7422	34734.4062	88764.0859	53666.7578	40253.7305	45862.293	79771.4219	97029.9609	98274.6094	52418.2891	112542.3438	127088.4766	42988.7422	48926.8438	33044.0273	52720.8711	63178.9727	37665.5742	72395.7188	65241.2852	43601.1133	71236.4844	79524.9141	55238.6445	40959.7031	76768.9844	52707.6172	54574.3984	43823.7969	80656.5	45245.4453	47732.6211	97401	32747.0527	52850.8203	67744.7891	29952.3984	70240.6406	54857.625	NaN	32157.0879	45373.4961	49644.8555	71511.5312	63610.6289	50063.4883	108846.9609	54370.918	101900.875	84493.8906	72560.75	50902.4648	44070.7188	86435.7891	78567.7344	40467.6914	64982.6914	69854.5156	92872.625	61803.0469	63809.8086	43751.2773	38534.2422	52732.6445	54904.125
2.2682	36134.7539	33983.8984	86167.1484	48913.0312	101083.9922	64804.4453	51761.0586	101545.7891	69828.6641	36275.4102	78373.6328	66866.8828	60563.4609	78842.0938	33982.2656	80967.1953	88712.2344	90710.1875	74486.5859	75960.75	54723.6641	40526.5508	66323.8672	56316.7422	50331.043	65245.8789	90261.6094	102851.0938	103072.6328	59005.0586	113043.8984	97390.7031	57384.7305	66719.6953	32583.209	42182.3633	45872.6523	48558.9258	73893.0625	94887.8359	55525.0039	61716.3594	53352.3047	43828.8438	56224.5742	62710.6992	46619.6992	80634.25	58984.1992	60930.0078	63870.0234	63160.9609	74294.6719	36246.7617	84551.6406	84188.5781	37898.0352	63593.8477	40946.3281	NaN	33542.4102	65168.0859	38884.8359	92503.7266	57373.2031	69222.8984	68460.0312	44308.6719	86516.4141	83536.1719	60802.0039	61185.9453	51725.6094	63192.7773	63792.0352	38537.7344	69204.9766	49212.8008	64278.0977	50304.4062	43733.1953	64412.9766	47365.7148	55177.6133	84146.0703
2.4016	40527.1133	45782.543	91085.4609	38285.7383	70185.1094	83475.6797	38736.8164	95391.6172	57753.1914	30467.6582	59225.6406	54827.0625	88878.7578	58216.543	45438.6172	71946.6641	57252.8008	85558.2812	66176.8047	75997.3125	39517.9883	60307.9297	47600.3242	46551.1836	58689.8594	83051.9766	69619.3672	72966.0547	74280.9219	51063.9023	83228.375	60223.9844	79418.25	63015.1992	33906.0352	37281.8047	41083.7656	49194.1055	54067.7617	92359.4141	56981.8438	49539.0469	40064.75	34417.2227	79484.875	53697.9961	38076.5273	89029.0781	89605.7031	44670.3867	70580.1719	62591.8867	62004.2148	41939.0742	112945.3594	69101.2969	52204.6367	48226.6953	34565.9062	NaN	40837.7695	78594.7266	35902.918	80950.8828	44534.6133	75766.3203	45270.1641	35260.9023	56416.3867	60269.6445	44135.8594	58310.7109	45944.5703	47535.7734	43859.9102	32934.2344	54855.3164	41281.0703	44137.0273	35326.832	37593.5391	104702.9609	65681.5156	44671.6953	95432.8359
2.535	53972.5117	74309.8906	67579.1094	34175.6406	45298.1289	73511.1406	33441.4062	65750.3125	43300.5273	NaN	40910.418	NaN	101178.5234	42180.2109	55447.0352	49972.75	40758.3633	70654.375	47738.5234	54118.9805	34262.3789	90151.0938	38772.4102	37540.0586	52085.4609	75633.8203	48726.1914	51344.0547	50771.3477	37314.5469	52531.5117	42121.0156	79600.2969	45586.4688	35922.9336	34888.1758	38376.2852	42666.25	39726.4453	64926.4141	43538.5703	40533.5703	33238.8555	27052.5762	87457.3359	48775.2656	33498.4141	66671.4375	104570.0547	38916.4141	54735.2344	47663.9883	48423.793	60859.1797	98817.5078	47669.4727	66264.3359	39074.9883	31122.3789	NaN	50693.9648	68625.3984	33701.1094	55738.1289	36288.1953	62650.2578	34526.2617	31921.7812	40576.4492	47190.0391	37995.0547	42848.8164	39271.6719	49286.9102	39594.9922	31538.9902	39311.9883	40413.2305	35080.4922	29357.1543	34055.2266	116529.2969	76831.4531	35824.0234	71849.7266
