x	Y_20180224_15100_10_2g	Y_20180224_15100_11_6g	Y_20180224_15100_13_1g	Y_20180224_15100_13_6g	Y_20180224_15100_14_2g	Y_20180224_15100_15_4g	Y_20180224_15100_16_1g	Y_20180224_15100_17_4g	Y_20180224_15100_19_6g	Y_20180224_15100_20_10g	Y_20180224_15100_20_11g	Y_20180224_15100_22_4g	Y_20180224_15100_30_4g	Y_20180224_15100_33_7g	Y_20180224_15100_7_10g	Y_20180224_15100_7_3g	Y_20180224_15100_9_10g	Y_20180224_15100_9_7g
0	13769.67	14529.634	14422.125	15818.036	13920.353	13591.2	14250.473	12404.811	14076.36	12166.579	12939.808	14288.809	13615.299	14238.906	14981.556	15437.899	16049.767	15432.773
0.1334	15124.768	15676.964	16555.902	16298.428	14938.481	14919.401	15498.399	13085.581	16072.516	13061.604	13437.163	15626.593	13206.427	14647.131	16676.424	15977.862	17384.514	16599.889
0.2668	17145.871	16713.252	18753.264	18665.562	18459.414	17211.576	18556.537	13332.453	18207.273	15561.865	14230.778	17543.658	14907.315	16552.107	19763.072	19309.709	21694.672	19805.689
0.4003	19268.979	20881.23	18749.812	23669.107	22293.613	20799.016	22086.625	16126.469	20111.15	17838.619	16785.869	19521.021	17834.15	19954.098	21905.389	20130.898	25996.65	24733.801
0.5337	23062.377	26515.557	19109.99	29957.908	23854.285	19933.76	25060.443	18724.492	20085.027	16751.812	20214.438	20966.965	21148.918	22154.584	22083.168	19120.902	27533.922	26457.729
0.6671	25036.068	26958.379	18462.865	31310.939	23143.309	19168.029	25036.438	19513.846	20135.482	16085.909	21876.518	19266.957	22787.578	22810.322	19603.672	17374.557	24802.445	24054.16
0.8005	24411.248	25364.889	17492.598	26914.391	20731.916	17875.766	23315.934	18710.193	21309.811	15421.985	21445.838	19358.307	21792.697	21053.324	16887.783	17494.525	21920.029	20202.869
0.934	21522.336	24785.043	17521.375	24919.197	21602.203	18389.123	20742.914	19178.02	19667.027	15121.344	21234.986	18134.945	21663.242	20772.709	16154.622	17766.152	19938.881	20278.305
1.0674	18808.096	22769.414	17050.881	24645.342	20537.309	17278.982	20245.982	18294.816	20467.689	15363.321	20542.041	18072.086	21238.562	18488.586	16071.878	17834.078	21856.891	19925.133
1.2008	18012.857	22709.729	16104.517	23072.672	19364.992	17176.611	19806.262	17766.027	21088.225	16046.155	19387.469	18127.787	20873.367	17794.822	16090.981	17407.85	22629.699	21416.447
