x	Y_20181208_15100_10_1g	Y_20181208_15100_15_2g	Y_20181208_15100_3_2g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_5_11g	Y_20181208_15100_5_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_9g	Y_20181208_15100_8_3g	Y_20181208_15100b_1_3g	Y_20181208_15100b_13_15g	Y_20181208_15100b_14_4g	Y_20181208_15100b_19_1g	Y_20181208_15100b_19_4g	Y_20181208_15100b_19_9g	Y_20181208_15100b_24_1g	Y_20181208_15100b_26_3g
0	29011.3828	29678.707	30119.7676	28194.4902	28263.6113	32329.6074	28254.8184	28406.9746	28594.6758	30607.9258	31773.7852	30680.4219	26683.5918	27726.2715	30662.3398	28727.2852	28578.8027	28714.3125
0.1334	29351.5332	31152.4551	29149.2441	26534.2871	29062.5078	29755.9648	30137.498	28272.8262	28118.5898	31440.1855	30634.4062	31263.3008	26415.5879	28167.6465	28646.8613	27854.7363	30441.4023	28301.8457
0.2668	29436.584	30634.2812	30799.8223	27748.1953	27553.4609	29343.6602	29272.5918	27890.5059	29618.916	32310.7715	30323.2617	28998.6289	26107.6934	29053.1289	28481.8066	28270.8848	30364.1367	28372.7266
0.4003	29064.1484	30177.625	30302.7148	28559.7969	27619.9824	30801.3027	29916.6855	27500.8984	29554.709	32332.9414	31621.9336	30406.3242	24672.2305	29774.4316	28900.043	30317.6484	30685.5938	28578.4395
0.5337	28284.2129	31416.6738	30779.3203	28228.5977	29383.9199	30623.9688	30056.8145	27406.0977	31673.0938	31037.6426	32008.5039	30865.168	25981.5312	28737.2773	28523.9883	29209.4688	30070.332	28414.7578
0.6671	27032.6953	32039.2793	30916.7754	28735.4004	29069.3086	30280.7871	29610.4316	28478.4375	30955.9297	31810.332	30650.4199	32276.3828	27143.6016	29590.5742	28796.2324	30175.0996	30590.4414	29539.4648
0.8005	28373.623	33140.9297	30759.5391	28852.4941	30585.0039	29736.7324	29833.8438	29470.0078	31866.2773	31713.5879	30701.3379	32349.6777	26389.498	30066.3379	29383.8711	28922.9141	31572.1699	28478.9023
0.934	27857.9219	31362.0488	31863.498	29110.0918	30798.6484	29520.7207	30870.1113	30216.1758	32201.7598	34177.207	30220.1973	31996.8203	27404.5234	29174.4922	28432.2812	28805.0859	31617.6758	29463.5137
1.0674	27815.6289	37383.582	31301.1309	30862.0605	29570.3672	31620.6855	30153.5176	29414.7422	31535.2129	32904.9883	29137.6562	32555.0508	26786.3203	29277.1367	28127.1484	28896.498	30583.1094	29738.7598
1.2008	27853.0293	37776.8438	33623.2852	31456.5137	30433.3066	30799.8203	30889.7422	28717.2188	31628.7246	33200.2305	30098.2266	31125.0879	25873.5977	30040.5645	27648.1113	29972.7402	30367.8945	28971.9863
1.3342	29020.8887	34233.9453	33380.0234	32717.2891	31516.8184	29584.3828	30008.4805	29479.2422	31484.3672	33985.1719	29784.6074	31799.1953	26639.4434	28397.6582	28718.2227	29404.9004	29588.5176	28870.5977
1.4676	28211.1895	32662.2441	33555.7734	32605.752	32129.7148	30957.3945	28526.2559	28768.0059	29486.6426	33821.375	30454.2637	30888.9512	26938.6602	29564.1973	29647.002	29145.9297	30615.543	29578.8223
1.6011	30227.7734	32460.252	33430.6016	32670.1797	33422.6562	33092.5742	28550.7266	29223.0391	29283.334	32010.9102	30826.4844	31955.7852	26846.6992	29295.3828	29877.0957	29561.7852	30035.8008	29499.627
1.7345	30548.416	34795.5547	33374.4531	33850.7344	31757.4121	31322.832	30404.8262	28476.2305	30053.75	34710.6836	30590.9492	32628.6465	27451.252	31884.2148	34850.75	30152.627	29952.8066	28945.9551
1.8679	29575.625	36778.1055	34264.2266	34526.668	32096.793	31224.207	29284.0781	29396.3262	32483.9004	33496.125	30966.0156	33122.875	26362.1016	33321.9766	42831.2031	31557.3477	29425.2207	30527.0645
2.0013	34464.8008	38683.7031	37701.9141	35788.5742	36855.3984	30994.6211	30908.1641	31202.8457	36614.4141	35404.6719	30695.3359	39444.6562	27798.0879	35899.9883	52257.1055	33353.6484	31366.459	35211.418
2.1347	41107.0586	51302.4883	40877.5547	40907.2617	44587.4922	32734.5273	31906.9473	33296.9492	41868.2461	35083.543	31565.8418	51923.6875	28509.2285	42119.7617	54757.6719	32467.8398	31946.5977	41797.8086
2.2682	54752.0742	75990	48964.6211	54755.7539	59127.25	35589.7109	32281.0059	38134.2109	55103.1875	35495.4531	31717.0684	70196.4609	29120.5781	61607.2656	43331.1133	32763.5449	34068.2773	47095.6523
2.4016	55685.6992	101559.5469	65033.9258	65006.0508	62173.0742	39739.9492	34663.2344	47966.7188	70319.5312	39096.5312	33744.2891	76538.1641	30614.6328	87500.0469	33809.4883	38060.9727	39787.8203	45785.2539
2.535	44360.0273	97470.6719	65614.0156	50326.5	51066.082	52595.5234	41489.8242	68288.2422	61820.8789	48961.7539	35837.4805	56998.1289	33608.0859	81361.6406	31021.9961	43976.0156	57148.6719	37145.5273
2.6684	33933.5977	65533.293	51595.2969	37033.5547	38736.4727	63176.7617	53489.4414	69717.8828	46162.9805	66005.3906	42107.5859	39926.9297	40621.4062	59027.1758	29907.373	46658.3164	70076.3672	33404.3789
2.8019	31768.2715	46445.1953	40100.9648	34127.2422	34312.9922	56969.3828	60415.3594	49615.168	35977.1602	91105.1719	47124.1484	33761.1367	51349.1484	42796.6992	NaN	41553.4102	57683.8633	32141.168
2.9353	31757.3125	41346.7148	36174.7266	31386.5469	32827.1211	43853.9219	53872.4414	39801.1289	NaN	83119.7188	43443.9727	32273.0879	57278.25	38887.9258	NaN	35198.7383	42269.3125	31140.8105
3.0687	NaN	NaN	32963.6602	29758.1504	32657.793	37168.8125	41202.7852	33486.8008	NaN	57877.6445	39739.9336	30699.7637	49288.0586	38792.7109	NaN	NaN	34682.1797	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	36589.9805	35166.3125	31727.3008	NaN	44054.8594	NaN	NaN	40655.9336	NaN	NaN	NaN	31546.959	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	34131.6641	31555.3574	NaN	NaN	38072.2539	NaN	NaN	NaN	NaN	NaN	NaN	31642.3066	NaN
3.469	NaN	NaN	NaN	NaN	NaN	35691.7188	30775.4238	NaN	NaN	37606.3789	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	30021.709	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
