x	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_9g	Y_20181208_15692b_15_1g
0	9635.8721	10202.8672	10945.041
0.1334	10083.5557	11516.7061	11679.2529
0.2668	12620.5264	13662.5186	13516.6963
0.4003	14369.2881	16228.9092	14132.0361
0.5337	14539.3193	16398.3926	13584.8008
0.6671	14031.3721	15722.2295	13842.8936
0.8005	14102.4043	16037.9219	13444.9023
0.934	14936.7441	15719.1562	13778.0039
1.0674	16204.3682	16013.8457	14332.2246
1.2008	14780.1377	16323.5635	13370.877
1.3342	15307.1533	15061.7256	13444.5547
1.4676	14043.1318	14518.834	13097.8271
1.6011	13684.293	15248.9961	12910.0918
1.7345	14386.1387	16138.8848	12133.9453
1.8679	14597.6416	15973.9072	11750.9404
2.0013	13919.4141	14419.6104	12159.1895
2.1347	13809.3037	14710.4023	11837.9551
2.2682	12864.5557	14907.7441	10803.5869
2.4016	12783.9521	14827.5488	10721.1445
2.535	11711.1064	13130.084	10886.6758
2.6684	11614.7139	12394.4893	NaN
2.8019	11431.8779	12818.2109	NaN
2.9353	11834.791	NaN	NaN
3.0687	11196.833	NaN	NaN
3.2021	NaN	NaN	NaN
3.3355	NaN	NaN	NaN
3.469	NaN	NaN	NaN
3.6024	NaN	NaN	NaN
3.7358	NaN	NaN	NaN
3.8692	NaN	NaN	NaN
4.0027	NaN	NaN	NaN
4.1361	NaN	NaN	NaN
4.2695	NaN	NaN	NaN
4.4029	NaN	NaN	NaN
4.5363	NaN	NaN	NaN
