x	Y_20181208_15100_1_1g	Y_20181208_15100_13_8g	Y_20181208_15100_16_4g	Y_20181208_15100_3_3g	Y_20181208_15100_6_2g	Y_20181208_15100_7_5g
0	15469.0332	14037.7168	12235.834	12091.0693	15764.9375	12047.9199
0.1334	18168.3066	14700.7852	12066.957	13606.7402	19487.8086	13016.1211
0.2668	21904.7109	15923.2725	13276	16463.9277	23327.0391	14483.9473
0.4003	21991.8066	19393.8828	14474.5391	20153.5742	23831.9805	16754.2031
0.5337	19269.6113	20508.793	16405.332	18005.3633	21052.2402	15910.2842
0.6671	15998.1992	20257.7539	16140.2998	16989.5508	18822.2129	13380.0684
0.8005	14999.0283	18817.7305	15347.4072	17213.459	17495.1504	12887.2822
0.934	13755.2148	17090.9473	15085.6797	16197.9541	16843.5195	12191.6348
1.0674	14045.3398	14978.1982	14700.5449	13946.1152	16396.7988	12126.5576
1.2008	14236.6143	14565.2891	14960.877	13716.1123	15284.1621	11398.9531
1.3342	15221.0186	14716.1299	13780.8564	14168.9268	15316.3369	11861.1924
1.4676	16273.0293	14303.4424	14027.8604	14083.543	15114.6016	12463.957
1.6011	16490.9316	14484.042	14213.5449	13563.4238	15573.3652	12625.5977
1.7345	17451.9688	13799.2295	12814.8613	14740.8086	16891.2305	13817.9951
1.8679	17277.8613	13108.7471	13927.7646	14314.8418	17837.8242	14409.0518
2.0013	15775.4434	13668.2471	14665.6289	14449.96	17899.8535	13445.3154
2.1347	15068.7139	13618.2783	14274.9229	14570.1494	16304.1953	12568.5029
2.2682	14196.5762	13654.6348	13273.4473	14647.125	14390.9443	12382.0645
2.4016	12839.668	14392.9521	13432.3682	13956.6094	13166.873	11984.7803
2.535	11797.9854	14269.8076	12884.0693	12926.1318	13807.7939	11397.666
2.6684	12499.5713	14070.2275	13148.4404	13808.4736	12877.3633	10952.1855
2.8019	11964.6953	14694.4941	12643.123	13909.749	13308.4697	11340.3496
2.9353	11754.543	13988.0361	13914.0391	13614.9424	13965.1094	11417.3828
3.0687	12019.5186	13149.9102	13631.7324	NaN	13676.7422	10966.3506
3.2021	NaN	13339.3311	NaN	NaN	13314.9141	NaN
3.3355	NaN	12723.1455	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
