x	Y_20180224_15100_10_6g	Y_20180224_15100_10_7g	Y_20180224_15100_10_8g	Y_20180224_15100_11_3g	Y_20180224_15100_12_10g	Y_20180224_15100_12_3g	Y_20180224_15100_12_8g	Y_20180224_15100_15_1g	Y_20180224_15100_16_5g	Y_20180224_15100_16_6g	Y_20180224_15100_16_7g	Y_20180224_15100_17_1g	Y_20180224_15100_17_2g	Y_20180224_15100_17_6g	Y_20180224_15100_18_1g	Y_20180224_15100_18_3g	Y_20180224_15100_18_5g	Y_20180224_15100_18_8g	Y_20180224_15100_18_9g	Y_20180224_15100_19_11_2g	Y_20180224_15100_19_17g	Y_20180224_15100_19_3g	Y_20180224_15100_19_5_2g	Y_20180224_15100_19_8g	Y_20180224_15100_19_9g	Y_20180224_15100_2_1g	Y_20180224_15100_2_3g	Y_20180224_15100_20_1g	Y_20180224_15100_21_3g	Y_20180224_15100_21_6g	Y_20180224_15100_22_5_2g	Y_20180224_15100_23_4g	Y_20180224_15100_23_5g	Y_20180224_15100_24_2g	Y_20180224_15100_25_1g	Y_20180224_15100_25_4g	Y_20180224_15100_26_3g	Y_20180224_15100_27_1g	Y_20180224_15100_27_4g	Y_20180224_15100_28_2g	Y_20180224_15100_28_7g	Y_20180224_15100_28_8g	Y_20180224_15100_29_2_1g	Y_20180224_15100_29_2_2g	Y_20180224_15100_29_3g	Y_20180224_15100_29_7g	Y_20180224_15100_30_1g	Y_20180224_15100_30_3g	Y_20180224_15100_30_6g	Y_20180224_15100_32_1g	Y_20180224_15100_33_3_2g	Y_20180224_15100_33_5g	Y_20180224_15100_4_5g	Y_20180224_15100_4_7g	Y_20180224_15100_6_7g	Y_20180224_15100_7_11g	Y_20180224_15100_7_12g	Y_20180224_15100_7_2g	Y_20180224_15100_7_7g	Y_20180224_15100_7_8g	Y_20180224_15100_7_9g	Y_20180224_15100_8_6g	Y_20180224_15100_9_1g	Y_20180224_15100_9_7g
0	14401.29	15043.336	15099.682	14714.783	15911.852	19710.057	15813.979	15738.362	15883.463	18397.389	16171.228	12842.856	15864.969	15116.915	12779.83	15604.31	16309.183	15395.442	14917.593	16655.973	18216.588	14896.9	15435.019	14948.621	16678.729	14923.01	14956.97	14598.532	13463.111	14374.89	16205.48	14172.08	14414.122	15569.981	14142.608	15495.329	14724.313	14616.182	15890.076	14925.065	13918.84	15610.047	15828.623	15875.31	13977.49	13888.188	14157.005	15577.775	14070.989	17276.113	13230.963	16537.988	19001.879	16889.562	15534.569	16683.174	16785.637	16154.468	15747.512	16562.221	15816.328	15535.632	13600.682	17915.891
0.1334	14763.475	15194.843	14607.938	15506.847	14798.864	19968.797	15943.789	15602.104	16417.236	18023.16	15767.246	13740.436	15696.29	16171.52	12997.223	16286.629	16553.875	15455.179	14468.6	20180.639	19202.521	16122.043	16453.371	15355.011	16658.711	15483.79	15887.837	15463.311	15229.426	14866.469	16957.172	15328.681	15903.32	16392.303	14927.997	14966.938	15409.401	15030.283	15977.904	14769.042	14103.645	16128.049	19014.078	18557.703	15127.318	14650.98	14428.039	16162.471	16418.135	18012.084	14024.39	15956.287	19508.768	17314.836	14867.76	17415.531	17564.385	15853.899	16167.944	17064.664	15545.269	16746.982	14700.015	17425.783
0.2668	15945.851	16821.193	15314.179	18226.756	15040.573	20509.717	16891.996	16052.369	17445.916	20245.643	16466.873	14045.997	15654.348	17836.145	15079.242	17098.715	17353.645	15882.598	15371.887	25093.479	21824.152	18682.061	20467.355	16671.15	21026.914	16179.306	18730.16	18360.682	16242.219	15523.347	18805.967	16396.115	16651.918	19848.029	16179.607	17459.586	15558.644	17184.703	18011.16	16796.627	14510.003	17184.418	22969.857	23757.777	16154.694	18953.541	14832.151	16710.254	20333.562	18983.148	16225.076	16559.605	20366.357	19651.986	16187.912	20234.773	18358.619	16768.605	17034.656	18018.035	15623.975	17489.768	17204.703	19249.293
0.4003	17755.318	20305.244	18471.768	22533.371	16038.344	21966.168	17697.512	21211.74	20454.941	24758.852	17097.113	15891.884	17203.283	21287.441	16824.785	18986.748	18198.902	17746.98	16469.641	27051.078	26793.693	22121.389	21434.107	17088.619	24882.236	18152.734	25358.803	19560.947	18626.408	18956.283	17140.725	18290.201	20234.416	21700.754	17944.061	19362.391	16921.934	19472.791	21603.785	20605.203	14816.616	20567.648	22151.627	24996.971	16972.305	23463.389	16512.781	18181.602	24712.713	19913.721	18834.482	17276.371	20879.836	23040.596	18036.936	25563.877	20803.379	18915.676	17912.102	21275.99	16174.532	21740.785	23860.631	25240.805
0.5337	20428.725	26653.834	18905.27	28328.467	18919.209	27336.445	21709.93	28290.326	29250.635	33976.398	20012.406	19254.441	19657.861	20996.469	20323.572	23350.785	20800.34	20194.148	21448.09	23387.768	26707.814	24122.488	21302.283	17852.855	26159.373	22623.801	29846.748	17836.129	18941.508	22737.518	16235.351	18041.611	25230.096	22466.264	24209.299	18313.027	20755.949	19815.115	21146.217	20439.729	16700.291	22812.672	20204.607	22876.154	16050.316	26228.793	19238.793	19441.629	24509.516	23910.402	20167.82	19282.92	22936.957	23150.793	18281.848	27258.803	20847.867	24740.551	22355.258	26332.129	20850.609	25667.086	32841.824	37122.648
0.6671	19492.367	26887.602	17699.145	28568.428	22951.695	33445.801	26601.668	33276.449	33503.129	35984.973	20065.344	19870.238	22499.734	17838.539	20294.777	29281.338	23523.887	19894.699	27197.588	20798.816	21787.109	21014.178	21650.098	18850.213	25487.072	26326.432	28176.064	16976.453	16881.729	23576.191	16187.585	16965.635	25397.395	19669.203	27347.248	17279.59	21895.688	17857.9	21378.912	18258.572	17509.92	21132.793	18286.16	18750.113	15207.192	22300.861	19614.703	18509.414	21801.189	28737.904	19497.447	19683.586	26375.666	18952.242	17090.242	23115.773	20319.773	26910.652	31272.568	30965.289	24737.506	26639.391	40309.297	40714.57
0.8005	19108.832	22441.904	18649.764	25443.184	25569.109	34569.652	26834.047	30705.123	29353.932	27581.926	18085.512	18540.562	23046.707	16565.98	19038.986	26399.949	23013.334	18790.902	29373.625	19927.064	19226.199	19321.803	20946.074	22849.969	25037.52	27841.324	23784.402	16338.944	15880.323	21605.279	16184.057	16213.302	24164.648	17590.123	26026.961	16007.642	17962.037	16917.176	22866.906	15996.026	18032.186	19787.857	17653.902	19295.912	15655.204	20335.936	17414.162	17525.891	22448.82	29812.545	19521.205	18024.373	31941.211	17215.318	16445.645	19373.775	18048.062	26717.838	31363.072	31648.311	25963.672	24950.662	35434.285	31919.342
0.934	21429.324	21572.408	19889.217	25058.146	24925.822	29431.785	22617.387	26029.217	26819.961	21869.248	18153.383	16125.397	23468.402	16770.744	17921.188	25196.166	21526.885	18306.215	27828.162	20748.51	18663.057	17701.229	19489.508	24784.287	22269.021	25456.633	19976.428	16947.68	15495.021	21145.336	16146.022	15221.236	21549.018	16261.438	22452.305	16899.949	16910.693	16134.778	20387.295	16253.163	18970.227	19296.973	16574.877	19817.404	16336.488	17197.389	18149.555	19306.443	20457.258	25867.945	19543.062	16399.035	32819.191	17373.477	17052.482	18611.184	15564.029	25445.326	27972.646	33960.504	24365.219	20464.576	26564.531	25542.045
1.0674	21278.896	20902.783	21626.822	26240.75	23896.621	24322.312	19980.092	23708.596	24716.178	19245.459	19589.65	17179.449	23347.725	17183.449	17464.312	24569.32	21873.729	16512.633	24588.652	20586.201	17888.922	20131.092	19098.619	21641.064	21029.475	24648.834	17667.006	17829.891	16805.398	20312.467	16304.469	15134.714	19053.014	15483.539	19391.514	17397.586	16710.096	17207.641	18757.59	16482.824	18416.551	18862.455	16216.162	18654.482	16294.698	17183.199	19799.512	20973.645	20141.195	25179.268	17060.586	16389.16	27712.529	17634.957	17873.869	18788.711	15573.695	23870.6	26660.66	33237.375	22927.887	17600.959	21414.971	24120.436
1.2008	22200.219	17778.873	22187.887	25012.047	22881.766	23740.266	18928.711	23398.074	23453	20959.984	21408.861	16530.553	25302.064	16663.814	18496.936	22434.205	23569.213	15466.048	25147.1	20794.529	19382.545	20335.555	19279.135	19562.326	17414.926	23791.498	17735.846	16879.688	15641.719	18136.684	15900.403	15992.685	17748.615	15599.524	17740.656	17032.264	18090.445	17609.842	17763.025	16220.011	16107.336	18631.984	15509.757	17444.385	16238.623	16813.936	21311.385	22813	20879.014	24069.742	16383.908	16035.711	22344.451	19550.822	17662.029	17713.156	15634.651	22692.1	27884.27	29093.637	23613.041	16034.297	19751.686	21854.734
