x	Y_20180224_15100_10_6g	Y_20180224_15100_10_7g	Y_20180224_15100_10_8g	Y_20180224_15100_11_3g	Y_20180224_15100_12_10g	Y_20180224_15100_12_3g	Y_20180224_15100_12_8g	Y_20180224_15100_15_1g	Y_20180224_15100_16_5g	Y_20180224_15100_16_6g	Y_20180224_15100_16_7g	Y_20180224_15100_17_1g	Y_20180224_15100_17_2g	Y_20180224_15100_17_6g	Y_20180224_15100_18_1g	Y_20180224_15100_18_3g	Y_20180224_15100_18_5g	Y_20180224_15100_18_8g	Y_20180224_15100_18_9g	Y_20180224_15100_19_11_2g	Y_20180224_15100_19_17g	Y_20180224_15100_19_3g	Y_20180224_15100_19_5_2g	Y_20180224_15100_19_8g	Y_20180224_15100_19_9g	Y_20180224_15100_2_1g	Y_20180224_15100_2_3g	Y_20180224_15100_20_1g	Y_20180224_15100_21_3g	Y_20180224_15100_21_6g	Y_20180224_15100_22_5_2g	Y_20180224_15100_23_4g	Y_20180224_15100_23_5g	Y_20180224_15100_24_2g	Y_20180224_15100_25_1g	Y_20180224_15100_25_4g	Y_20180224_15100_26_3g	Y_20180224_15100_27_1g	Y_20180224_15100_27_4g	Y_20180224_15100_28_2g	Y_20180224_15100_28_7g	Y_20180224_15100_28_8g	Y_20180224_15100_29_2_1g	Y_20180224_15100_29_2_2g	Y_20180224_15100_29_3g	Y_20180224_15100_29_7g	Y_20180224_15100_30_1g	Y_20180224_15100_30_3g	Y_20180224_15100_30_6g	Y_20180224_15100_32_1g	Y_20180224_15100_33_3_2g	Y_20180224_15100_33_5g	Y_20180224_15100_4_5g	Y_20180224_15100_4_7g	Y_20180224_15100_6_7g	Y_20180224_15100_7_11g	Y_20180224_15100_7_12g	Y_20180224_15100_7_2g	Y_20180224_15100_7_7g	Y_20180224_15100_7_8g	Y_20180224_15100_7_9g	Y_20180224_15100_8_6g	Y_20180224_15100_9_1g	Y_20180224_15100_9_7g
0	37657.637	39440.637	35995.633	34399.145	38847.633	40180.219	40500.785	32118.984	35788.836	40941.016	39823.984	32852.301	41206.094	39912.098	35946.508	41891.773	41828.273	35774.23	40506.652	40088.551	35993.527	37483	36670.945	37125.668	37492.402	38110.465	39942.477	37211.527	34717.656	39261.73	39745.02	37630.055	39303.891	36749.59	39626.926	40335.379	40879.066	36803.547	39113.957	34714.605	35250.945	39731.812	38334.625	39098.312	38590.922	35012.07	40183.629	38421.422	39109.016	39849.465	36881.375	35944.312	38523.102	35498.578	38473.695	39700.902	36726.898	38460.965	39652.273	38910.406	39200.949	36788.754	36868.105	34835.648
0.1334	37003.246	41370.145	36917.512	34032.891	39507.375	40563.406	38772.055	31082.236	37589.258	39746.719	39244.254	32660.475	37959.699	38761.07	36325.309	39753.762	39647.535	36843.184	39762.914	39971.629	34900.73	38144.828	35475.473	39161.582	36054.961	37037.859	38809.676	38468.852	35404.246	40130.355	40124.562	36104.402	37935.945	38228.008	39527.488	39443.191	39479.27	36893.797	38869.281	33722.82	35385.383	41176.203	37727.629	37510.992	38350.07	33636.863	38283.406	38982.379	40570.637	39931.316	37545.441	35862.082	40557.234	35335.469	38972.406	39061.859	37649.773	38995.871	39876.234	40575.008	39665.109	38432.363	36810.312	35364.391
0.2668	38131.887	41726.008	35066.871	34429.98	38376.77	41026.961	39686.59	33234.141	36294.113	40110.973	37710.602	32837.496	38043.355	38612.914	36936.188	40018.203	39904.137	35487.523	41406.504	39480.289	34687.414	40359.914	36331.238	37633.465	38032.629	38386.945	38855.09	38050.074	33872.77	40197.836	40366.762	35727.934	37837.617	37373.402	39230.871	43135.613	38290.566	37240.02	38314.586	33670.621	33485.957	40966.121	38342.824	38149.414	38587.375	34829.074	38758.656	38109.176	41305.34	40745.602	39198.707	34471.312	41165.055	35612.879	38564.656	37957.691	38058.773	39542.355	39271.902	40032.477	37582.773	39056.633	37541.344	35619.914
0.4003	40258.301	40055.824	36124.262	34812.914	39100.445	41566.926	38451.391	33238.031	38131.559	42317.168	38528.016	34454.121	38858.293	39964.082	37325.695	39372.266	41116.758	37678.477	39171.34	39531.051	34972.137	39097.938	37697.387	38865.133	39116.867	36933.539	38719.648	37237.898	34248.484	39412.812	40200.699	36308.301	39037.453	37369.258	39866.746	42102.84	38518.906	37707.77	38960.836	35066.309	32470.322	39533.793	39926.121	39014.867	38712.496	32598.977	38189.031	38454.469	40819.656	39683.609	39449.395	34191.355	39105.555	37619.242	38746.598	38582.098	38413.059	40270.672	38816.594	39335.027	38441.113	38878.695	38929.984	34590.938
0.5337	41168.453	39949.75	37470.254	33279.07	37301.254	38862.121	37941.801	34240.02	37689.641	40713.93	37826.109	33266.625	40169.848	39374.379	39387.914	38521.172	40970.266	37775.969	40266.008	41044.539	33662.02	38838.195	37268.402	38973.27	38033.723	38018.09	41346.105	38638.172	33363.898	41816.879	39169.488	36326.957	38952.246	37231.715	38795.754	44880.539	39288.43	39433.855	39105.938	35399.531	32638.016	40853.289	39531.496	39686.516	39208.996	36093.551	38873.395	40082.391	40587.145	38621.801	40842.598	33171.441	40600.137	36144.93	37973.438	38924.941	38450.105	40339.488	38702.77	38264.188	39626.465	38447.848	39190.215	36445.332
0.6671	40683.102	40953.188	36906.113	34076.801	37629.035	40483.773	37855.688	34372.512	37827.254	39558.504	37587.574	33288.363	38226.07	40093.324	40078.633	40870.66	41310.746	37583.309	41150.945	40830.582	34643.324	36270.242	38751.922	37626.664	37804.051	37080.938	41417.262	41051.523	34613.875	42211.336	40144.555	35065.641	37480.395	39651.008	39106.125	49011.273	41156.449	39828.844	38352.188	35902.527	31736.451	42267.527	38344.266	40443.559	40731.07	38894.324	38584.617	40194.184	40828.324	38395.719	40092.176	33947.215	40175.336	35966.477	37878.637	39228.07	42202.285	39767.32	38501.254	38705.301	39028.711	37860.348	39519.281	38183.254
0.8005	39923.625	42964.617	38377.941	34335.254	38638.031	42698.875	38422.629	34871.707	37826.734	38356.453	38602.797	33197.949	36970.391	38791.629	42925.203	41312.027	41515.75	36703.957	41080.891	43634.848	34400.625	38723.762	40216.207	37285.352	40050.84	37822.828	43573.441	45365.539	35871.508	44150.863	43283.406	36140.219	39001.121	41467.152	39798.027	57601.828	41585.414	41609.062	39434.914	37698.359	31087.557	43443.926	42539.52	42736.391	43034.809	38120.547	39365.965	39769.387	42714.461	38570.066	41478.492	33387.656	40289.969	37362.957	39723.043	39719.062	47762.59	38812.059	39184.633	38028.184	40044.445	36673.598	39172.121	39771.055
0.934	42038.254	46730.051	40596.316	34536.715	42495.523	44988.109	39420.609	35273.812	39944.312	39968.414	39543.457	33069.062	38650.781	43686.277	44099.836	42404.387	41736.672	36851.453	43043.121	46314.965	36944.93	41225.73	44250.445	39092.137	43466.441	38123.391	47650.105	52714.836	39631.762	44933.82	45541.293	38436.438	39627.094	44849.434	40968.973	81739.711	43201.758	43980.371	39757.418	45489.266	31304.314	48102.293	51751.75	45019.852	41353.215	38378.547	39286.504	41937.996	43299.281	39275.055	42727.293	32755.516	40739.484	39651.914	38816.242	38076.926	59074.828	38708.5	40638.285	38420.719	40911.914	37298.91	39957.492	39477.793
1.0674	41785	59122.48	39770.715	33793.336	50553.441	46177.984	41804.684	36066.977	41787.039	40390.098	40084.137	34606.227	38866.438	47699.762	56622.906	42309.211	44891.727	38592.117	43978.496	55582.332	39516.109	41946.25	51682.992	39896.16	53667.688	38910.301	54825.156	76462.492	44878.492	50193.594	52902.742	41398.91	45782.195	53992.676	42700.262	128482.992	48694.301	56983.348	40527.656	57287.824	31635.271	58266.281	60982.41	56104.539	45891.074	42136.832	41370.105	44314.121	47089.816	38607.883	43864.789	35131.938	38637.473	52414.316	40407.809	41662.168	63361.23	37487.273	42266.672	40976.516	42402.793	39919.355	43269.469	42471.102
1.2008	46086.66	89980.75	42686.723	36215.449	67329.227	50905.484	41383.918	45139.621	46600.121	43318.52	42137.008	37480.242	39683.668	58187.824	90310.117	45133.41	52925.734	43687.637	45506.379	76772.797	45163.703	45635.695	72310.328	42495.746	80558.172	39404.805	73541.781	119868.523	59993.285	67600.469	56588.465	51765.57	59005.508	72620.344	48868.723	141679.906	57735.734	84115.562	45022.984	79401.297	32714.369	90394.227	61428.914	73577.844	56855.559	46122.766	44402.102	51380.664	56935.535	40140.957	47471.312	38235.469	39799.281	85039.359	46494.719	45862.137	67380.266	39923.535	44533.281	41940.941	44705.84	39402.184	53464.598	54808.922
