x	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_13_12g	Y_20181208_15693_14_4g	Y_20181208_15693_15_11g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_20_1g	Y_20181208_15693_20_3g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_2g	Y_20181208_15693b_11_10g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_12g
1.3342	26935.0801	31543.2773	28435.9434	31261.4473	32586.3789	27556.8789	30493.5059	29214.7305	27035.7422	30279.8418	29321.5781	31181.0605	38907.9219	31871.6035	32435.8066	33961.3906	37284.9258	33987.9414	28110.1562	31060.9219	28362.0312	25164.2598	34453.4805	33796.2812	33056.5469	29393.7285	34576.2109	33842.8867	44271.1992	30051.2578	31068.8223	30307.8125	28041.584	31569.1738	25892.2676	33094.8555	29777.4258
1.4676	27920.998	32839.9609	31294.2617	30580.1328	37003.9883	27755.8027	31739.7617	31299.9023	29037.502	33104.6875	29736.0781	30679.2734	36795.5508	34611.6172	32484.3066	36639.9531	41793.5547	36413.6758	29121.3555	30965.5469	30343.002	26526.0469	36090.0664	33532.7227	34422.1367	29876.9609	34489.8281	36018.3086	65265.3594	29543.873	32028.0371	30784.1309	30788.8262	32706.5977	26314.5684	35561.6328	30471.7637
1.6011	31593.834	34174.1992	35879.8906	32420.0449	45709.4844	30037.8594	35424.3516	32776.3164	28859.8984	32693.9199	30276.2598	31844.5039	32155.6875	36793.8984	33623.1133	39939.9844	54261.0195	46686.2695	30045.0059	31393.3867	34981.3477	25721.6367	37666.4258	32365.6621	41613.7773	30881.3633	34904.7344	39535.1172	94804.1406	29663.1172	32920.2773	30140.4102	36210.6367	35731.5156	26367.9297	41589.418	31444.3594
1.7345	34403.793	35806.0195	46678.875	32281.5176	53034.457	31995.7578	44619.4219	35691.1367	31042.7832	33891.3633	31037.1934	35319.582	29163.332	41610.7148	41913.5234	47404.9258	78323.6797	70977.1172	33389.625	32697.9297	47494.8711	30781.1777	42473.5195	33275.4531	57370.6875	32504.1191	37336.7148	51118.6602	96989.8438	31447.3789	43046.1055	31462.6172	47731.8398	43264.4648	31183.1191	51215.7188	32082.0918
1.8679	46146.4375	45874.8281	69920.4219	37279.3008	47739.6289	37571.9297	68636.7734	44194.9727	34342.4766	38537.582	33585.7539	42527.1875	30344.7012	57405.0703	54686.875	67356.6953	93502.8516	95744.0781	38810.8281	37981.6523	70409.9531	38354.8047	54684.4883	34853.2656	90400.4141	36807.0625	42962.3594	68586.5547	69782.1406	32013.3965	57587.7031	33570.4219	79907.5078	63949.957	36265.9141	74114.7188	31800.8789
2.0013	62968.7891	66537.8594	90170.7812	48477.0586	43836.7812	49606.4648	94796.9922	61309.4922	44337.3594	48411.3203	39008.3984	57608.5391	32619.9941	78037.1094	83620.1719	101682.4297	76716.1797	91819.8281	54030.9297	46775.6875	90628.8984	51493.0547	74518.4297	41487.3359	114044.1719	46371.7148	57729.6094	72558.4609	50041.9609	34948.9219	64872.6953	37725.4062	110307.6172	90355.8359	49789.668	82520.375	33626.7852
2.1347	65490.9297	101584.8281	78206.4062	71739.9453	42357.7656	73987	91914.1953	83345.8594	62960.6445	71462.9141	54441.0938	65340.7422	34734.4062	88764.0859	112542.3438	127088.4766	52720.8711	63178.9727	72395.7188	65241.2852	79524.9141	55238.6445	76768.9844	54574.3984	97401	67744.7891	70240.6406	54857.625	NaN	45373.4961	49644.8555	50063.4883	108846.9609	92872.625	61803.0469	63809.8086	38534.2422
2.2682	48913.0312	101083.9922	51761.0586	101545.7891	36275.4102	78373.6328	66866.8828	78842.0938	80967.1953	90710.1875	75960.75	54723.6641	40526.5508	66323.8672	113043.8984	97390.7031	42182.3633	45872.6523	73893.0625	94887.8359	53352.3047	43828.8438	62710.6992	80634.25	74294.6719	84188.5781	63593.8477	40946.3281	NaN	65168.0859	38884.8359	69222.8984	68460.0312	64278.0977	50304.4062	43733.1953	47365.7148
2.4016	38285.7383	70185.1094	38736.8164	95391.6172	30467.6582	59225.6406	54827.0625	58216.543	71946.6641	85558.2812	75997.3125	39517.9883	60307.9297	47600.3242	83228.375	60223.9844	37281.8047	41083.7656	54067.7617	92359.4141	40064.75	34417.2227	53697.9961	89029.0781	62004.2148	69101.2969	48226.6953	34565.9062	NaN	78594.7266	35902.918	75766.3203	45270.1641	44137.0273	35326.832	37593.5391	65681.5156
2.535	34175.6406	45298.1289	33441.4062	65750.3125	NaN	40910.418	NaN	42180.2109	49972.75	70654.375	54118.9805	34262.3789	90151.0938	38772.4102	52531.5117	42121.0156	34888.1758	38376.2852	39726.4453	64926.4141	33238.8555	27052.5762	48775.2656	66671.4375	48423.793	47669.4727	39074.9883	31122.3789	NaN	68625.3984	33701.1094	62650.2578	34526.2617	35080.4922	29357.1543	34055.2266	76831.4531
2.6684	31930.3906	38447.1484	31134.1699	47399.1016	NaN	33377.1484	NaN	37688.7266	37327.9492	57022.0742	41831.3203	33305.0312	88395.1953	34764.4102	40341.4023	40262.3906	33641.4375	38197.1836	35085.6719	45481.2773	30213.5703	25432.0527	48923.6562	47164.332	38767.8984	37037.3555	35773.2109	29408.3359	NaN	49865.4648	31609.6484	45815.5781	32769.3711	32004.2188	27188.3145	33730.3711	67129.9453
2.8019	28272.3066	35317.8516	30287.0156	39107.4258	NaN	28566.6484	NaN	36274.7227	32352.0996	46185.7539	36648.3984	32383.4941	60197.6875	32608.1738	34559.3828	37577.2852	NaN	NaN	35024.0078	36906.7422	30635.9238	25789.4375	60697.7266	36658.1719	36045.6758	35114.125	34320.1523	30785.0625	NaN	42115.3086	NaN	38681.2539	42159.9844	30174.2617	26525.4961	32860.4062	48406.8125
