x	Y_20181208_15693_10_11g	Y_20181208_15693_10_1g	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_14_10g	Y_20181208_15693_14_8g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_17_3g	Y_20181208_15693_18_5g	Y_20181208_15693_19_6g	Y_20181208_15693_20_2g	Y_20181208_15693_5_10g	Y_20181208_15693_7_3g	Y_20181208_15693_8_6g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g
0	30484.791	28430.4473	27431.9043	27417.5312	28286.0527	28727.2852	29927.7598	30864.1504	31106.9551	30450.5801	32689.6621	30331.252	29243.2871	34065.0117	30955.7266	28508.4648	29894.9355	32763.7812
0.1334	30474.1309	28072.2246	29128.9668	28154.6641	27641.4688	27587.1836	30604.6348	29830.7363	30338.5996	29996.4336	32281.5918	30155.0664	29582.0352	33396	29817.2988	28692.0039	29511.5781	32923.9883
0.2668	31390.2598	27366.3906	28134.875	29279.9102	27720.4629	27199.9395	31248.7012	31856.9629	29426.1465	29819.8496	32969.3906	30353.7617	30719.1934	35621.8164	29552.377	29348.3086	32059.6797	32806.0469
0.4003	32271.3438	27888.0469	28220.8105	27537.3477	27562.3438	27877.2207	31464.127	31507.2188	29021.2051	31186.5957	33114.8164	31321.2676	30395.1543	36764.4492	29626.0703	29559.9785	31253.9727	31995.5879
0.5337	32493.7461	27545.3984	29651.7246	27748.2227	27659.5996	27614.4824	30372.3945	32065.0957	28903.7695	30225.7715	32780.7656	29329.0469	30120.1465	35608.1562	29749.5	29811.877	29801.2793	31409.9297
0.6671	31792.9492	28748.2949	30130.9824	27308.2148	28101.6094	29812.5312	30635.3867	31917.9297	29648.4902	30781.291	32720.1191	31699.4375	30018.9473	34558.2734	30646.8965	28666.0156	31499.1992	32361.1074
0.8005	30593.3809	28101.5137	30557.6699	28394.4531	29347.9707	31791.1133	31592.5488	30846.5879	29845.5547	29666.6016	31929.2188	30676.334	29708.1953	34342.4336	29809.0254	30582.9336	31676.707	33392.5977
0.934	30752.7578	28022.877	29953.043	27989.8047	29805.5449	31577.6836	35511.2344	31496.0586	29712.8809	29830.7754	32917.1172	32266.3438	30984.7402	34496.5469	30034.3633	29635.8555	31621.5449	35114.8086
1.0674	32983.0938	28921.0234	29250.4141	28251.5605	29349.3301	33596.1836	44915.2227	31244.3574	30672.0156	30164.4551	32381.9609	30846.5527	30584.2148	35571.9492	31540.4688	29632.3535	32943.0977	35299.2812
1.2008	31765.332	29517.877	29792.7227	27608.4473	32035.7402	41710.7148	60560.8711	31932.0176	31512.9531	32791.6484	35493.5312	31729.0547	32735.1309	36455.5781	30217.3887	30737.7012	34879.0039	36279.3281
1.3342	33788.1602	30617.416	32232.6934	28647.8145	33838.5781	55665.4922	81754.4922	32159.8652	31647.7578	33183.0898	34997.0234	32397.3867	36187.793	37838.9414	34345.5312	31344.8145	37155.0039	43765.5898
1.4676	40349.7305	32170.6152	36552.6367	31007.7363	43207.6641	74684.7188	86858.7656	31261.5488	34518.9883	40483.8203	38292.4727	33454.3828	40385.8906	47673.4375	41287.3672	34186.5352	49756.0625	54866.8984
1.6011	53344.7266	35118.582	44419.2422	34339.3047	62344.793	75007.5938	63915.7812	31397.0684	38798.5	61112.0742	49165.5977	37671.1523	48044.3359	69663.7734	46267.4453	42826.5508	71139.6406	83219.2969
1.7345	77441.6875	46990.6875	61917.8594	44599.875	74657.5625	55316.3789	47171.2422	34095.7734	52972.6094	78635.4297	70770.5078	51568.6797	48179.6797	94183.2266	41531.0898	60242.5977	85916.9688	112911.6719
1.8679	89468.6562	62424.7461	73146.75	52280.8164	62452.0938	41350.5469	41324.0312	33372.9102	81383.0625	73070.4844	111926.125	71081.6328	40325.2422	89036	36598.7852	73591.2344	66882.5	105879.4766
2.0013	70757.3672	66462.5	59084.3281	50150.5234	43500.0781	35544.4297	35718.9062	33983.5352	105175.7109	52940.7695	127374.5938	70527.4688	37773.6367	63447.0898	33345.2305	62383.375	47685.8242	65471.043
2.1347	46364.9961	50905.7344	42787.543	39449.1641	32983.7266	31551.0273	NaN	37834.7734	87437.1094	41172.6758	94718.6484	51440.2773	37879.9922	46033.1719	30949.0098	42611.625	38286.8164	45995.7344
