x	Y_20181208_15693_1_1g	Y_20181208_15693_1_5g	Y_20181208_15693_10_10g	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_12_7g	Y_20181208_15693_13_1g	Y_20181208_15693_13_5g	Y_20181208_15693_13_9g	Y_20181208_15693_17_10g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_18_7g	Y_20181208_15693_18_8g	Y_20181208_15693_2_1g	Y_20181208_15693_2_7g	Y_20181208_15693_20_4g	Y_20181208_15693_20_7g	Y_20181208_15693_4_10g	Y_20181208_15693_5_2g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_8_3g	Y_20181208_15693_9_12g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_16g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_2g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_8g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_7g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_17g	Y_20181208_15693b_7_14g	Y_20181208_15693b_8_11g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_8g
0	9312.2725	10654.5303	10400.3389	10575.0508	12871.6836	11098.2012	12252.8965	9492.8398	9954.3223	10380.7734	9177.3271	12379.3857	11347.2002	11298.2021	11003.1055	12160.6865	10527.8643	9730.5371	12521.2119	9136.8291	11937.0156	9600.667	12555.5254	11655.8682	10143.3389	11551.5205	11896.4893	9821.4609	10500.4502	9704.1729	10628.5977	13018.2607	10373.3994	9503.7578	10359.5225	10153.2744	10262.3164	12823.4824	9791.3066	13367.5713	12020.3867	10996.8867	9015.2578	11968.541	12509.248	12088.6787	10379.4355	11199.8887	11495.4414	10377.5674	10962.0996	14368.8467	10208.9551	11571.4141	10527.0615	13031.5381	12518.8965	12064.8408	11014.9912	14760.4346	11361.6055	12222.1787	9975.6279
0.1334	9543.1865	10611.832	10838.3691	10947.2832	12588.5117	10799.0986	12995.4434	9783.7188	10834.8369	11087.0215	9572.4268	12709.4521	11568.6191	12149.3135	10945.8945	12588.0439	10615.0303	10576.1445	13286.5439	9740.415	14399.4414	9394.7969	12741.2363	11505.5264	11232.8291	12786.876	13590.3926	10005.8359	11527.6025	10731.3711	11031.0518	14729.5801	11574.6484	9918.7529	10327.4424	10221.4521	10646.2402	14007.7607	9485.1318	13763.9297	13636.8115	10887.2725	10534.0293	13827.4922	12875.5703	12936.0615	11484.5654	11728.6768	11860.7832	10930.542	11823.1611	14183.7227	10599.3887	12829.833	12005.0576	14308.2939	13019.252	11200.6348	11680.2139	15750.9229	11860.9766	12267.167	10370.7803
0.2668	10081.6816	12104.8574	11714.9365	12003.625	14547.1348	11586.8613	14700.3574	10885.7549	11630.9814	11396.415	11043.0801	13356.7363	11689.1201	13222.1338	12508.9004	13433.1104	11264.1885	11717.9199	13656.6729	10513.6436	15003.3613	10079.2959	14211.0586	12464.6924	13376.3701	15088.3447	16432.4395	10955.5654	12134.0068	12492.5312	11244.8467	17876.3457	12733.9844	12044.417	11088.7979	10857.8164	11898.376	15201.458	9795.29	15002.5547	14680.7744	13488.2607	11876.3242	15853.9395	13818.3682	14043.7881	12094.8887	12849.4785	14189.7139	11344.4893	12830.8604	15162.5391	11438.8086	14386.7344	14329.0088	15547.8076	13668.3145	12239.8633	12992.1152	17872.0527	12898.4648	12315.0635	11179.5137
0.4003	11939.9434	12862.7412	11853.7188	14368.4932	17835.9844	12570.7139	15577.9688	13064.1826	13086.7861	12145.373	12749.6787	15722.6445	12680.6406	13304.1396	14407.3477	15966.2197	12463.4785	13130.4072	14552.3252	11702.5127	15441.2725	11022.5449	14292.7754	13548.7461	15957.1963	16133.8936	18615.2344	11365.5771	13206.8545	15021.125	12520.8584	20870.8477	16261.4121	14654.71	12653.959	12234.0869	13700.6123	17415.3281	10854.9814	16404.6816	15734.1074	15586.6357	13760.0977	17952.6641	15473.916	16267.3721	13899.124	13412.625	18157.8145	11606.085	15091.2422	16647.9023	12507.0938	16832.2676	16245.3369	15802.8604	17231.9277	12908.7139	14683.3701	19569.4961	14129.6895	13288.7207	11649.0791
0.5337	12945.9697	14930.8779	11911.0137	15560.208	19140.0391	13870.4023	15662.5908	17089.0156	13251.5918	13100.6553	16562.4863	18837.4473	14559.1592	13996.0166	15639.7061	18414.0078	13717.6641	13849.2832	15667.3574	13170.4561	14247.1445	13710.2354	12792.7305	14281.3145	15802.875	15957.5342	18340.7266	11094.3125	14979.542	17155.1055	14834.4414	20822.6445	20850.832	15969.207	15320.1973	15250.6387	15462.5068	17915.4121	12894.9014	18982.2051	15599.6729	14898.5332	12307.541	17555.2637	15933.748	14918.2939	14246.9004	13908.1885	22333.582	11442.6348	15999.6074	16961.1836	14450.6064	18738.7656	15022.791	17415.3711	22432.0898	13281.1221	14400.8838	18811.1035	14543.6572	17180.3145	13067.998
0.6671	12406.5615	16405.0703	13213.0264	16699.9648	16915.3555	15047.5234	14287.5791	17409.6113	12591.8164	15680.5947	18290.8398	19707.1094	17720.709	14165.1064	15324.9102	18662.709	13329.2246	16510.4414	15506.4639	13838.4004	13267.3848	15780.1934	12193.4463	14644.2646	14794.9883	15260.252	16689.1133	11864.3682	14141.8887	18840.9082	17309.9609	16922.8184	21591.5645	14461.6074	15576.4678	17052.0996	15653.7168	16142.2822	14177.3955	18393.9512	15243.04	14571.2617	11640.9512	15292.3457	16393.2676	14995.9004	14685.3105	13222.3545	20247.6172	12387.9834	16974.0312	14712.1338	14653.2949	17140.7949	14564.8867	18883.6211	23229.918	15499.4609	13783.8086	18443.3516	13001.5078	20156.8418	14124.8682
0.8005	12058.0508	17384.7402	14311.4121	16064.3613	16262.3105	14492.7012	14219.1943	15787.9355	13128.127	15658.5752	17742.0938	16824.4062	16940.0312	14276.4961	15127.1514	16755.9414	12545.1885	17891.8848	16063.8027	13240.4648	13470.0283	16314.3242	12456.6172	13552.291	14188.6191	14417.4502	16517.4941	12553.1543	13222.418	17272.7422	17537.3516	15768.2295	20926.5312	13374.6611	14486.376	17542.7891	14646.3184	16097.0547	16102.9316	16965.2773	14318.0547	14295.9736	11932.2031	13360.1748	16168.3213	15171.2871	14301.1201	13333.373	17292.457	14438.3643	16982.6562	13418.3799	14832.1582	16711.6328	14023.3037	18358.6602	19139.4707	14190.1592	12812.0518	17199.6035	12276.3428	21282.4102	18527.4004
0.934	11298.5439	17575.5156	15246.6367	15340.0039	15230.4961	13871.7656	14436.0918	14756.0518	13058.0615	15139.9346	16536.7637	14366.9941	15576.7197	13266.2598	15296.3818	14547.5723	12617.7549	17831.0977	15738.8848	13897.1309	13750.1201	14726.6787	12686.957	13798.0215	15007.6719	14652.5957	16194.6104	12932.5488	12309.1279	16180.834	17900.6211	15636.2139	20035.8828	12712.3408	13607.4062	15551.3594	14682.5762	15080.4424	16180.9482	15482.4805	14007.1045	12904.416	11710.9043	13266.8555	16890.6309	13555.1621	13890.3945	12872.4287	15481.9287	15281.9258	16397.8047	12542.2871	14718.5859	15544.2314	13826.9287	17388.9414	16596.873	12656.8867	12309.5654	17969.8691	12576.3623	18210.543	19391.7656
1.0674	11948.9443	17280.7539	16593.8789	17027.0469	14217.3125	13173.6416	15373.2939	13218.8555	13797.2998	15060.2324	15769.3672	13003.8086	13625.5117	13528.668	14437.1533	12949.6738	12391.3047	17678.5293	14824.415	13112.9609	15137.4639	14434.9746	13197.29	13046.0557	15667.1982	16293.8486	16221.9092	13701.999	11504.1943	14569.1465	18344.209	15341.1191	22901.0234	12736.5176	13764.6191	15109.7158	14251.707	14995.6523	16526.1719	15106.5322	14426.707	12725.415	12413.2666	13956.751	16577.2754	13926.8701	13335.6426	13897.1475	15517.2061	14592.2607	16958.2324	13072.8291	14253.0342	15453.5342	14612.623	18701.2441	14953.8848	11868.5938	12384.2803	17026.8965	12851.1396	16957.8281	18462.7461
1.2008	11044.1777	15933.6768	15960.3789	17731.6895	14644.6104	13875.0801	15182.1455	13792.4258	13401.4736	13870.8447	16571.7148	12360.1406	13049.7461	13798.6133	13842.6768	12996.5576	12863.8018	16595.9238	14568.248	12352.1982	16064.6787	14603.7412	14274.5352	13589.1533	15012.3271	15824.2236	16588.1738	14236.9141	11812.1064	14901.5234	18642.0156	15563.6611	23534.3008	13126.0186	13773.5283	15716.1396	12910.9805	13403.3584	16298.3418	14741.4092	14520.1025	12980.2109	11607.6934	12623.7422	15862.6416	13382.2383	12601.334	13815.043	14904.6299	14565.7422	15782.4336	12877.9854	13942.1572	13766.4395	14208.6748	18082.8926	14828.4473	12001.835	12424.7266	16823.666	13034.0889	14515.9482	17963.8633
