x	Y_20181208_15692_30_11g	Y_20181208_15692_30_16g	Y_20181208_15692_30_8g	Y_20181208_15692_31_7g	Y_20181208_15692_33_12g	Y_20181208_15692_33_3g	Y_20181208_15692_36_1g	Y_20181208_15692_37_6g	Y_20181208_15692_38_16g	Y_20181208_15692_38_9g	Y_20181208_15692_40_2g	Y_20181208_15692_41_6g	Y_20181208_15692_43_20g	Y_20181208_15692_45_15g	Y_20181208_15692_45_2g	Y_20181208_15692_45_3g	Y_20181208_15692_45_6g	Y_20181208_15692_46_15g	Y_20181208_15692_46_9g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_7_5g
0	28199.8164	29707.7461	29957.2617	29835.791	32294.3145	30447.4043	28648.9551	26202.4922	29825.1387	26990.2871	27276.2793	29645.7793	28166.7422	28998.5039	29049.9844	29154.4336	25743.2227	29500.0098	30611.873	31214.1621	30089.5293	29305.416	30031.8438	32169.6641	29910.5137	31695.373
0.1334	27964.1289	30371.4375	30203.7891	30612.1855	33980.8047	30472.498	28493.0566	27150.0332	29020.9375	27531.8027	28934.0117	29471.6035	27025.2148	30035.3496	30234.957	28970.9453	25819.5664	28557.373	31581.791	31548.5039	31587.6895	30702.8613	32289.4043	31677.4453	28260.6094	32958.7695
0.2668	30215.1816	31782.832	30314.4316	30010.4707	32986.9648	29884.623	28064.5059	28193.4922	29122.3496	26447.2539	27684.8457	28146.9277	27303.8711	29594.3359	28377.1113	28789.7227	26224.1035	27779.248	30583.0508	31516.1816	30143.707	29025.248	30279.3945	31968.8105	29197.8906	33106.2031
0.4003	29079.0176	31338.873	30980.3301	29131.8184	32096.7734	29970.8281	28293.2168	28804.873	29325.7051	26282.7891	28008.0254	30344.8379	26992.1582	28704.7227	27876.3945	28983.9355	25477.7656	28544.0801	29596.375	30354.7793	29786.2148	29265.6895	31010.7012	30655.6934	29098.2129	31920.582
0.5337	28245.9277	32545.0586	29705.2852	30660.5957	32187.9629	31109.1758	27476.8691	28386.457	30232.8008	26350.8535	27721.8145	30318.3555	27657.5742	30962.5996	29351.1758	28227.9453	26990.0762	28150.8203	30123.7285	31251.7891	30893.3242	29528.6406	32553.2539	32140.4785	30107.5996	31702.8457
0.6671	29732.7891	31289.4297	30296.5781	29739.4492	32315.7734	30980.2383	25879.6172	26981.6406	30877.748	26012.1484	26627.1777	29027.9961	28096.8457	30873.6387	28700.123	29515.3945	27392.7324	28657.8848	30194.709	31252.2363	29379.9531	31447.6875	33050.7773	32723.7754	30382.3633	34208.4961
0.8005	29980.3633	30442.2441	29310.0215	29617.4648	32914.1172	31192.5527	28223.4395	27013.793	30091.2969	26526.6816	27716.1582	29325.666	27732.0371	30924.6445	27853.1426	29030.4668	27475.8418	29154.5449	30938.2051	32106.8066	29393.6836	30382.4727	34016.7422	32712.1621	29036.6016	33158.0469
0.934	32131.4668	29879.3125	28948.4766	29500.5977	32644.7832	32422.3672	27177.4902	28679.418	29764.791	27108.7148	26752.8613	28751.0117	27173.3672	30586.9121	28154.5	29743.5391	27724.8242	27971.623	29300.2676	31533.1504	29903.7852	30876.502	32183.6777	31748.7246	27714.4883	33668.125
1.0674	33073.6562	30998.5879	30673.6543	28849.6953	34411.7773	31124.8047	26516.041	27174.1914	30508.4551	26721.9297	27518.9961	29061.166	26507.6934	31745.2207	28221.4883	29392.8359	26488.7441	28543.0566	29522.668	30010.0371	29647.7031	30196.1016	32094.8125	32151.0801	28567.3789	32854.75
1.2008	32448.0195	30424.1055	30042.8398	29269.543	34901.5508	32506.2773	26797.5527	28525.9414	30477.4668	26957.707	27525.5527	28950.9082	27527.1953	31342.666	28093.8086	28419.6133	24993.0098	28533.1211	28860.543	29801.9453	29824.4941	31469.752	32111.0547	33305.3438	30025.2695	32026.1855
