x	Y_20181208_15794_1_18g	Y_20181208_15794_10_4g	Y_20181208_15794_10_6g	Y_20181208_15794_11_2g	Y_20181208_15794_12_12g	Y_20181208_15794_12_8g	Y_20181208_15794_12_9g	Y_20181208_15794_14_3g	Y_20181208_15794_14_7g	Y_20181208_15794_15_2g	Y_20181208_15794_15_8g	Y_20181208_15794_17_5g	Y_20181208_15794_19_13g	Y_20181208_15794_19_7g	Y_20181208_15794_2_2g	Y_20181208_15794_2_5g	Y_20181208_15794_2_7g	Y_20181208_15794_20_10g	Y_20181208_15794_20_4g	Y_20181208_15794_20_8g	Y_20181208_15794_20_9g	Y_20181208_15794_21_12g	Y_20181208_15794_21_1g	Y_20181208_15794_21_4g	Y_20181208_15794_21_7g	Y_20181208_15794_21_9g	Y_20181208_15794_22_11g	Y_20181208_15794_23_13g	Y_20181208_15794_23_14g	Y_20181208_15794_23_15g	Y_20181208_15794_26_22g	Y_20181208_15794_26_4g	Y_20181208_15794_26_5g	Y_20181208_15794_26_7g	Y_20181208_15794_27_12g	Y_20181208_15794_27_4g	Y_20181208_15794_27_5g	Y_20181208_15794_30_2g	Y_20181208_15794_30_7g	Y_20181208_15794_4_11g	Y_20181208_15794_5_9g	Y_20181208_15794_6_14g	Y_20181208_15794_6_7g	Y_20181208_15794_6_8g	Y_20181208_15794_7_13g	Y_20181208_15794_8_3g	Y_20181208_15794_9_11g	Y_20181208_15794_9_8g
0	31012.0137	33357.9375	32332.0391	26476.3223	27842.0566	26563.2383	31243.8066	25284.5645	28745.0723	28882.998	27920.1738	30082.7715	31181.7617	31870.7891	33021.918	32212.041	29887.6621	30738.9316	26153.4707	28899.8516	27478.0449	28823.582	27455.0957	29766.2969	29938.9395	32574.1562	25256.2051	29910.0469	31599.6211	27000.291	24445.6172	30354.5039	30184.9121	28793.9043	31273.9629	29502.623	29056.8848	28674.3262	28266.0625	28928.1934	29155.3496	28917.9648	26937.3398	28786.1836	34417.7422	30364.5098	32233.4512	29434.1934
0.1334	30587.1328	33736.0508	31584.9785	25569.3418	28813.873	26858.2188	31747.8535	23975.2891	29290.8086	30102.7617	28506.0527	30218.168	31744.8086	32186.3125	31871.875	32739.2852	29597.2578	30576.5957	27452.7695	29381.543	27841.6621	30613.4062	27766.1621	29770.1484	30983.166	32277.3281	25144.6445	30052.8379	32088.168	26142.7129	24511.0352	31626.8281	29243.5801	27883.6992	32011.3477	29558.7305	28832.2715	29853.5879	29517.3418	29848.2969	30390.2168	28697.8438	28218.416	28624.4844	34288.4414	31783.7109	31625.498	31476.5781
0.2668	31924.7715	33458.0234	31565.2539	27519.7734	26809.1055	26661.6973	31837.625	26047.0352	29013.2637	30231.7949	28168.373	31914.7266	32279.3633	31371.625	31445.4785	31155.3945	28951.4453	31071.1953	27707.9688	29420.248	27751.6973	30466.3672	27846.166	29888.0723	32410.5957	33143.1406	25533.5547	29241.1973	31635.2031	26054.4102	23886.2617	31956.5176	29950.2207	26520.8555	32269.209	30142.3848	29294.2422	28795.4609	29488.4883	29274.9414	31122.9746	29861.1992	29413.5488	29351.9082	33475.2539	29601.0059	33153.4648	32106.0762
0.4003	32333.1367	32063.9512	32341.1562	27870.1426	27767.1309	26058.8457	32326.0996	26768.4238	28851.0391	30040.1484	28080.8984	31397.3965	31343.207	33243.0312	31076.0938	32031.9688	30420.6016	31573.3945	28346.7539	31065.3359	27711.4883	30395.9355	29293.5273	30460.7363	31297.7461	33503.5312	26103.5781	30544.5645	31129.1895	26231.9355	24542.6348	31330.4043	30838.4219	27137.6133	32670.5625	29784.3027	29292.2227	29921.0625	30902.2422	29242.6699	32223.7715	31106.1387	28158.5645	29049.4004	33480.7617	31305.0645	33916.7031	30476.1895
0.5337	32648.0508	31549.5977	33188.8398	27710.6738	27773.6836	28021.791	32048.7051	26071.4668	30133.4805	31030.6465	28459.2285	32585.8516	32921.1055	33035.2305	33016.1797	31880.9746	28732.0938	30802.7852	27887.0469	31814.502	27649.5469	32645.3184	29686.1016	32258.834	33820	31909.8496	27103.2148	30131.1289	32129.793	26572.8438	25922.5664	30777.7852	30252.9141	28665.1426	33587.9297	29451.7109	28949.2539	31254.9785	32672.8906	28104.7637	32127.875	29875.8887	27395.3359	29010.9668	35347.5898	31184.5586	31584.7109	31645.8926
0.6671	32330.0215	31261.082	34267.6523	29706.2051	27995.9668	28239.4121	31429.3203	27184.8457	28678.1641	31992.7129	29832.9922	33016.2383	32775.0703	33387	33840.4531	32384.5098	30850.041	30998.3027	28667.7188	33726.2539	28076.293	30905.4512	29843.0059	31618.582	39979.1172	31600.5957	26716.2793	31109.0449	32944.3672	27202.7578	25526.6543	32899.7578	31591.3613	28971.6797	32476.7344	29381	31393.6152	31000.1289	31586.543	26837.8574	32774.5	29421.127	28503.0039	28762.2715	35688.0312	30518.5391	33595.8594	30174.5879
0.8005	33015.3203	32185.7207	35452.5156	29755.002	28085.4395	27688.8887	30947.8906	28265.8184	30901.0547	31809.1191	28548.3555	36043.5	33700.4219	33257.2383	38204.4414	32534.4316	30023.6543	31159.0566	29668.5137	37072.582	28880.4102	30182.0742	30047.4941	31683.9648	51360.4883	34720.5078	27205.6348	32045.9375	32300.5488	28962.584	26922.3262	34193.0508	32902.1523	29467.9336	34072.0391	28723.3145	33077.6367	34016.8008	32215.8652	29221.5078	31922.7891	28535.2305	28399.5879	28430.1172	38295.1602	32251.9355	33602.3984	31116.707
0.934	33091.8555	31897.4727	44465.7227	29382.168	29203.2324	28633.9336	31248.8613	27209.793	30742.3848	34210.1719	28591.5059	44603.4922	35784.5625	32993.0625	47333.6523	33256.8125	31041.6094	33010.7734	29400.2715	49902.9961	29474.1992	31926.6211	31840.3281	32700.9629	73246.75	37982.1602	27795.8125	32492.6582	31311.3652	29570.7988	29266.416	35251.0234	35855.7539	33759.4727	36223.4805	29761.0918	39121.6328	41104.6484	31964.8066	29212.0098	31701.9922	29211.9121	29010.6816	29015.7832	43485.8359	31757.584	36293.9336	30949.9512
1.0674	34767.3164	34728.6914	58771.5664	32335.5176	30255.7363	30819.2285	32701.7793	26836.7559	30548.4805	34972.9219	30482.6875	60783.2578	41070.0117	36940.3789	59669.5156	33106.4023	31511.7539	32348.3555	35299	64118.7812	29908.4434	35476.4844	36165.9375	33307.5859	95747.1406	45412.7148	27849.7754	32371.9434	32606.4531	31396.377	35116.2812	36872.2266	41638.0273	42111.9531	37689.6328	30363.7559	58414.3242	58473.4648	37249.957	30142.9961	31599.2109	31280.7012	31101.5508	28468.3359	59913.6367	34235.3125	40396.9961	32297.7441
1.2008	36420.8047	37530.3906	74626.2266	41868.875	32484.8281	37903.4922	33948.3711	26503.3125	30472.666	36986.8594	31568.502	76845.7266	50520.3945	45083.4844	62672.3242	32970.2305	36825.2266	32597.1523	47664.4219	64097.6406	32074.0566	43487.6836	41927.5977	32598.6328	85823.7031	61136.6523	31233.5547	33477.3867	33534.3906	36982.7461	49280.2461	42723.2148	56502.1211	55702.8203	41784.0586	33023.0664	77395.9062	77143.9609	42483.1836	34596.5977	32552.0391	34678.2852	37889.75	30223.3711	90178.3906	37640.8008	56590.25	34727.1289
