x	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_9g	Y_20181208_15693b_13_15g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_1g	Y_20181208_15693b_2_13g	Y_20181208_15693b_5_1g	Y_20181208_15693b_6_9g
0	9902.5225	10594.415	11371.0469	10446.9082	9495.1572	11319.1279	10104.0908	9142.6152
0.1334	10709.4395	10984.8486	11985.3633	11536.2246	10292.5586	11025.7656	11086.8232	8957.1191
0.2668	12316.084	11507.1494	14715.8984	12742.9326	10913.3066	12025.7559	12907.9072	9222.1074
0.4003	14836.9521	12782.2549	15035.3887	15265.0566	12599.46	13470.1885	15999.6719	9462.3408
0.5337	19826.4609	12501.1406	15306.7744	19080.5352	14979.9688	15345.5615	17907.418	11201.9355
0.6671	21720.2715	14112.5684	15839.8584	19132.6543	17029.5566	15261.8135	17514.5625	14761.5928
0.8005	18007.998	15631.4395	14234.3525	17228.1309	17281.4043	13568.0889	16613.0273	19348.1133
0.934	15398.3467	16060.4434	13715.9824	15022.0703	15964.8604	12788.4092	16527.8496	20684.8691
1.0674	13407.8018	14780.875	13453.418	14427.8154	15305.9307	12611.4854	16167.3418	19649.4238
1.2008	13522.377	14077.3457	13220.3877	14725.5293	15428.6201	11442.749	15204.0615	17846.4941
1.3342	13492.9502	13776.4062	12835.4033	15166.4326	15794.1377	11680.6719	15109.8838	15995.4258
1.4676	13311.5713	13525.4512	12247.0664	14096.4072	18207.6777	12014.166	15728.8506	15607.0596
1.6011	13031.7744	12658.3867	12326.1279	13772.9287	17603.8262	12333.8818	17017.8457	14726.0693
1.7345	12539.3857	12978.9121	11821.8535	13057.0811	16009.6152	12079.4121	17581.5859	14346.6885
1.8679	12130.9199	12725.6572	12622.5117	13179.3604	14943.7764	12065.1523	16130.9805	15329.9219
2.0013	11759.3721	12188.9014	12255.4277	13881.2588	15794.4883	11593.6074	15900.7051	14147.0703
2.1347	11248.8516	11592.3164	11633.5254	14262.4277	14461.5537	12377.6768	15110.6797	14076.1982
2.2682	11171.54	11316.1777	11484.4619	14053.1553	14623.3477	12521.0459	14251.4121	13737.5498
2.4016	10855.2266	11042.2246	11562.1543	13597.7529	14134.7178	13202.9531	13312.9883	13482.6299
2.535	11396.7822	11457.8721	11599.668	13139.6328	13008.2588	13569.2969	12512.3564	12744.7793
2.6684	11546.1709	11718.1162	11078.4033	12849.4863	12229.0752	13532.9707	12130.0186	12311.2812
2.8019	11737.4893	12377.8965	11693.6846	13168.7969	12415.6348	13567.3086	11747.334	12443.7783
2.9353	11833.5049	12449.3232	11757.3242	12495.2207	12846.4219	14109.8447	11156.0049	13211.4854
3.0687	11804.6211	12369.1572	11253.6543	12622.0742	12527.3643	12888.5312	10382.6826	14920.0625
3.2021	12648.2998	13279.0068	11396.5947	11683.1992	12894.3057	12592.4062	11029.0479	15859.7715
3.3355	12639.042	14208.0859	12725.1328	10836.2842	13645.7559	13333.9385	10600.4014	15968.4043
3.469	12992.9482	14024.4854	12412.041	10563.9824	13774.833	13147.1885	10989.1523	16164.2607
3.6024	13054.5703	14208.1562	11533.1055	10799.0713	13522.875	12870.6338	11160.4629	17359.4746
3.7358	13083.0684	12924.1436	11728.7119	11051.7178	13547.8174	11826.3594	11082.7871	17005.7891
3.8692	12803.335	12628.7725	12008.2168	11138.7432	12939.2686	13082.2207	11136.5342	16813.5449
4.0027	12661.2324	12257.7812	11005.0889	11341.4873	12978.5078	12949.0869	11149.8965	14798.9775
4.1361	12377.5088	12163.4912	11024.5508	12498.0566	12753.8271	12610.0713	11774.8057	13276.4561
4.2695	12377.6133	12070.2549	NaN	NaN	12040.2148	12047.3701	11989.6973	NaN
4.4029	13030.8594	12383.416	NaN	NaN	11910.3584	NaN	11903.3115	NaN
4.5363	NaN	12129.4941	NaN	NaN	12087.1553	NaN	NaN	NaN
4.6698	NaN	12502.3711	NaN	NaN	11588.4561	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
