x	Y_20181208_15693_10_10g	Y_20181208_15693_13_1g	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g
0	30893.9648	26465.3203	26375.0762	23530.0566
0.1334	31950.6465	27912.4258	25701.9141	24112.6055
0.2668	32698.1172	28137.6621	27013.7109	24535.3633
0.4003	32666.5801	28463.377	28218.541	24990.9609
0.5337	32984.0234	27886.6074	27750.9473	26093.4336
0.6671	33702.9375	28986.4375	27269.957	25349.6836
0.8005	33956.543	28843.8242	26565.9238	25552.168
0.934	32747.6211	27777.0332	27297.5469	25239.4141
1.0674	32522.1426	28176.1875	27791.7109	25827.4531
1.2008	32719.7891	27283.5938	27457.7031	25303.6758
1.3342	32880.7109	26978.8906	27750.6387	24576.5508
1.4676	31731.3008	27691.0352	27518.0449	26122.9043
1.6011	31650.9141	28135.7734	26184.6367	26907.5332
1.7345	32127.2734	27462.2422	27437.4414	24784.8828
1.8679	30989.541	26532.0332	28182.9297	25250.1777
2.0013	32045.1621	27543.2441	29085.1836	24048.3828
2.1347	31498.6016	27758.9922	26497.1602	23804.5801
2.2682	30208.8574	28220.5156	27085.7773	23976.332
2.4016	30418.6074	30286.2285	25913.6973	25031.998
2.535	31993.1445	30725.3848	26255.9512	24986.1113
2.6684	30918.7656	30263.4199	25909.7656	25206.1504
2.8019	32864.2539	29953.4609	27312.9355	25964.8574
2.9353	33026.7305	29845.4004	28386.7422	28502.4316
3.0687	33045.4961	30731.8184	30307.957	33177.0547
3.2021	31505.4766	33265.5664	37550.2344	42550.9258
3.3355	34537.9375	37880.6055	50693.9609	57818.3867
3.469	38918.0273	49003.9258	69579.2891	58201.4883
3.6024	44782.832	61146.1172	60998.0859	41301.7305
3.7358	57004.0273	58615.6836	41698.3594	29705.3477
3.8692	79109.7188	43564.3242	33058.3398	27050.7207
4.0027	75053.3984	33355.7852	29669.4453	26546.418
4.1361	54930.4531	30547.3477	29714.5391	NaN
4.2695	40748.375	28900.0215	27853.916	NaN
4.4029	37345.0781	29351.8398	NaN	NaN
4.5363	35699.2344	29696.6523	NaN	NaN
4.6698	35083.9141	NaN	NaN	NaN
4.8032	35185.7422	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN
