x	Y_20180130_15100b_22_12g	Y_20180130_15100_6_3g
0	35787.59	34539.6675
0.1334	36891.707	35846.4175
0.2668	34772.996	36444.57
0.4003	35925.07	34984.3125
0.5337	37108.875	34269.3275
0.6671	36500.16	36197.5825
0.8005	37260.441	35321.7125
0.934	37024.895	35536.1975
1.0674	37100.277	36039.6375
1.2008	36960.348	36371.7675
1.3342	36308.859	35204.0225
1.4676	37538.188	35270.8825
1.6011	37102.336	34698.595
1.7345	37806.805	34641.225
1.8679	38612.039	35471.235
2.0013	36607.434	35424.735
2.1348	35153.598	36913.225
2.2682	36049.426	36103.3525
2.4016	34892.059	37313.99
2.535	35194.012	37390.95
2.6684	36453.582	35050.18
2.8019	37310.434	35948.945
2.9353	38784.086	36252.4675
3.0687	37046.504	35790.2875
3.2021	39273.547	36498.04
3.3356	42614.652	36510.8525
3.469	57856.504	42039.5175
3.6024	88587.844	50089.4625
3.7358	126578.773	76901.485
3.8692	119688.469	129303.985
4.0027	81401.258	155030.9775
4.1361	55792.762	126462.47
4.2695	46563.695	77759.745
4.4029	NaN	56266.04
4.5363	NaN	45767.035
4.6698	NaN	39414.5375
4.8032	NaN	NaN
4.9366	NaN	NaN
5.07	NaN	NaN
5.2035	NaN	NaN
5.3369	NaN	NaN
