x	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_3g	Y_20181208_15692b_12_8g	Y_20181208_15692b_17_5g
0	10882.5049	12278.8135	10848.7539	11305.1348	10471.2158
0.1334	12160.7393	12872.3271	11159.3389	11889.917	11933.9385
0.2668	15850.4727	14852.6719	13636.9775	13576.8896	13049.3828
0.4003	16834.2402	16064.8535	16332.2969	17631.7969	14962.8604
0.5337	15604.8027	15744.1846	15989.8643	19238.1055	15824.0732
0.6671	14670.75	14938.6338	14567.6016	19366.918	16703.8301
0.8005	13655.8896	13382.8096	14601.0166	16424.5215	17831.6797
0.934	13655.1904	12824.8203	13758.6992	15587.0625	17226.1777
1.0674	14082.5283	12497.8037	13994.9678	15629.7822	16184.1406
1.2008	14021.2607	12822.6494	13426.3799	15609.1484	15884.5879
1.3342	14086.1943	12566.9473	14298.0635	14816.0654	14866.085
1.4676	13790.5664	13321.5068	14382.8418	15487.1484	15556.2246
1.6011	13056.1484	13529.792	13631.541	15097.9951	14343.6006
1.7345	13117.8691	12777.9717	12924.6885	14160.4277	13949.2861
1.8679	14196.3818	12021.292	12429.6436	13209.0254	13122.623
2.0013	NaN	11316.3223	12808.6074	12933.5674	13312.79
2.1347	NaN	11013.0088	12642.1113	11599.6953	12884.3857
2.2682	NaN	10706.252	NaN	11421.9453	12320.7568
2.4016	NaN	NaN	NaN	11456.0342	12924.0674
2.535	NaN	NaN	NaN	11104.7139	12431.6963
2.6684	NaN	NaN	NaN	10892.3428	NaN
2.8019	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
