x	Y_20181208_15692_30_12g	Y_20181208_15692_30_2g	Y_20181208_15692_32_12g	Y_20181208_15692_37_13g	Y_20181208_15692_37_3g	Y_20181208_15692_37_9g	Y_20181208_15692_38_2g	Y_20181208_15692_38_3g	Y_20181208_15692_38_4g	Y_20181208_15692_38_7g	Y_20181208_15692_39_15g	Y_20181208_15692_39_1g	Y_20181208_15692_41_17g	Y_20181208_15692_41_4g	Y_20181208_15692_41_5g	Y_20181208_15692_42_8g	Y_20181208_15692_43_6g	Y_20181208_15692_45_5g	Y_20181208_15692_6_4g	Y_20181208_15692_8_9g
0	10621.2969	11320.5186	11839.3359	10542.4492	10741.8574	12257.2109	12447.1729	10333.9082	12444.8486	10225.4072	10437.8652	12890.7529	12596.8828	11007.0215	10106.6943	13022.3535	11260.2852	12496.5859	12032.5166	10751.4473
0.1334	10934.5195	11959.6211	13110.6504	11941.6299	11207.0684	13267.1221	13923.0625	10880.2539	12462.665	10971.2881	10663.3096	14334.3291	13293.6348	11641.2109	11721.3574	14645.6045	11687.0322	13335.0127	14129.3066	11062.0156
0.2668	11878.3896	13389.0439	15346.3896	13415.7754	12695.6357	15607.4473	14906.4834	12354.7324	13342.5605	12662.9297	11394.6943	15274.7061	15245.5938	12635.1201	12230.3506	17955.5625	12342.0986	14498.3779	18136.2461	12591.0801
0.4003	13769.3828	13724.499	16127.0986	15619.5684	13753.6201	16392.2383	14611.3662	14287.2383	14107.0527	13340.9141	13880.6016	16487.8613	18513.6738	13994.998	15081.3555	17329.1602	13857.4404	17156.3672	20918.0957	14396.7148
0.5337	16947.3418	13482.0479	16232.792	14752.7812	12568.5977	16070.0146	13444.8213	15574.7861	15050.0488	14696.8623	17085.832	16826.4414	17668.4414	16907.7578	17225.6562	17140.8633	16340.4033	20710.4355	20572.5352	15212.4043
0.6671	18018.1582	14043.0322	15531.9111	15741.5859	12640.3232	14474.8154	14100.1367	15906.542	18563.416	14928.333	17888.5664	16772.8613	16671.7422	17365.3262	16971.1465	16737.3438	17521.2441	19912.7617	18933.625	14350.6455
0.8005	18373.3867	15181.8936	15859.6475	14698.3418	12873.9238	14978.7021	14125.498	15477.8896	19757.8828	16833.7031	16684.8301	15324.6836	14627.2412	17169.7754	16815.7422	14309.9004	15785.4795	17019.2031	18218.1816	13840.6484
0.934	17916.1797	15520.5605	15401.7275	16068.7402	12329.377	13488.9941	14303.6826	15583.9707	18952.9141	15989.7988	15866.793	16009.4805	14519.6904	16001.6973	16113.9717	13789.1689	14108.6094	14889.667	16787.2871	13048.167
1.0674	18247.2598	16310.8281	14391.7158	15330.6973	13170.0791	13576.3389	13849.332	15822.6172	19118.916	15676.5088	16021.0508	15415.666	14717.5547	14598.9521	15072.0742	13774.2744	13870.1895	15833.959	17082.7188	13687.1738
1.2008	18005.7285	15758.8906	14487.124	14372.3877	13720.8955	13614.0254	13676.4639	16452.4434	18986.1445	15717.3672	15579.0684	16182.4492	13886.2012	14279.4229	15501.3076	13599.458	12974.2295	15861.751	17063.9043	13890.7188
1.3342	19278.2871	15928.1182	14759.2041	13421.6611	13731.2686	12774.6445	13506.2119	16844.5977	19555.1836	16071.6201	15851.501	16132.083	13571.5039	13211.6035	16232.1904	12321.9336	13210.0303	16201.6699	15692.0723	14710.6699
1.4676	20080.625	16170.5645	15344.2803	13516.9658	14027.6377	12755.1768	12603.2031	17756.0371	18708.2344	15598.1465	16839.2363	16123.3086	13561.5898	13282.0127	15567.7939	13075.1182	12932.4648	16181.9385	15372.2969	15353.1504
1.6011	19469.5664	14107.457	14498.3262	12948.3711	13398.0947	13928.3809	12770.9971	17910.4102	17702.4707	15564.0518	17048.8848	15270.5166	13666.584	14645.6123	14368.8984	13071.1777	12751.6084	16495.5254	17076.6191	15634.5674
1.7345	19080.0078	13496.085	13780.1113	13224.8486	14015.8789	13830.8711	12661.6875	16761.3164	16179.3789	15851.9941	17015.123	15282.8789	13892.4688	14761.1064	15429.9639	12207.9785	13020.0156	16568.5254	17627.2773	15708.9131
1.8679	18464.0391	13899.6543	14137.2344	12746.7842	14531.0732	13531.4189	12807.6211	16460.3652	16236.0645	15909.2539	17896.1094	14984.7275	13834.3154	14933.04	15265.7695	12344.8867	13118.8711	16286.0566	17000.3516	15684.2383
2.0013	17600.8984	14152.1025	14645.8047	12213.6104	13906.9395	13129.2334	13800.9326	14597.4609	16845.6406	14608.543	16852.8438	13979.2891	13177.0605	15051.1016	14771.8076	11754.7607	12917.25	15060.2031	16301.4277	14972.3223
