x	Y_20181208_15794b_1_4g	Y_20181208_15794b_2_3g	Y_20181208_15794b_2_4g	Y_20181208_15794b_6_10g	Y_20181208_15794b_6_1g
0	30080.6191	28730.4551	30320.3496	25938.5742	25109.3652
0.1334	31557.3281	29923.4922	32394.0469	24964.3398	25391.627
0.2668	30502.3047	30132.6406	31113.541	26190.9922	27334.5996
0.4003	29346.3633	28763.709	29858.127	25321.4883	27496.0996
0.5337	30572.9375	30090.3574	30048.9941	27520.5391	27020.2617
0.6671	31158.5625	30601.6816	29790.998	27270.3047	27576.8145
0.8005	30467.2637	29888.0527	30994.9395	26060.4961	28073.8652
0.934	31916.8086	29376.1504	30454.2871	26076.1289	28088.2383
1.0674	32251.2031	28106.2305	31164.8574	25461.707	27971.3027
1.2008	32423.5645	30645.1738	29989.2129	27039.1953	28998.4336
1.3342	31564.3457	29382.1387	31682.6855	26053.25	29824.9824
1.4676	31971.1348	28124.9395	30605.2656	24906.0508	29745.5977
1.6011	32430.7773	28619.1719	31394.7344	27597.5723	29438.9746
1.7345	34633.7812	29387.375	32444.8125	27650.207	30456.8945
1.8679	34471.7031	29024.877	32108.2129	25990.8828	30409.0938
2.0013	37666.0664	29484.9961	29299.1836	28268.4902	29842.7227
2.1347	44430.9648	30765.6523	30508.9238	27989.7207	27989.2305
2.2682	58872.1992	32290.2305	30971.5527	30570.2207	28587.5703
2.4016	62971.3594	30684.334	32168.1621	36700.3984	32660.8574
2.535	54153.6367	33135.1758	35148.6211	46721.9727	42737.707
2.6684	42379.7969	37626.9609	43135.6328	74600.5312	55267.4414
2.8019	36841.9922	51494.7734	58824.9883	88860.7422	49794.75
2.9353	34372.3711	66212.9297	66809.1484	66772.5469	38172.8359
3.0687	34906.5273	61406.832	55985.3359	44896.1758	30900.875
3.2021	NaN	45811.5898	43480.5547	39384.4766	28745.8242
3.3355	NaN	37351.3438	35490.8672	35061.4297	NaN
3.469	NaN	34401.7344	34805.7734	30735.0195	NaN
3.6024	NaN	NaN	33076.1289	31366.9512	NaN
3.7358	NaN	NaN	34445.8672	31857.6992	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
