x	Y_20181208_15692_31_8g	Y_20181208_15692_32_14g	Y_20181208_15692_34_6g	Y_20181208_15692_37_1g	Y_20181208_15692_37_6g	Y_20181208_15692_38_19g	Y_20181208_15692_40_15g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_46_15g	Y_20181208_15692b_11_13g	Y_20181208_15692b_12_2g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_5g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_3_1g	Y_20181208_15692b_7_7g
2.4016	31234.3945	35284.2109	30368.6602	38978.5039	49731.3945	30262.1973	39799.6445	34108.1445	42204.9844	35688.4102	31865.5723	33728.2891	26338.041	33536.668	31376.7129	31952.2266	35694.2578	31132.8906	32145.6602	39195.0312
2.535	31204.6562	33336.3281	30741.834	49135.8438	70562.3984	31062.3145	50242.7617	39554.3008	54151.4141	34344.5547	32964.5039	36705.375	27858.3203	35680.9883	31901.1816	31788.1953	35446.7383	32805.0547	36284.125	46548.0039
2.6684	31359.0508	34361.9805	29209.5879	53146.2305	79526.5703	30966.1074	71498.3203	53424.9453	76643.8906	37403.4727	34795.582	45240.9727	30750.5605	40926.6172	32842.957	31842.2441	38078.4102	31953.3223	45249.2812	62522.7969
2.8019	37377.3086	40113.6641	31665.6367	47287.3828	58512.3789	32480.1973	85474.2109	71104.6016	79653.0625	42722.7344	41305.7617	66673.3828	36011.6094	57560.6641	34071.2617	32690.4453	38509.9258	30691.1934	57616.8633	77709.5625
2.9353	46158.3672	47383.1953	32147.2344	37725.9922	41331.1641	36479.0234	71590.2812	68902.8906	56804.1484	53231.4219	55771.0312	90909.3828	46381.4961	70446.4609	37261.1328	34417.5	44359.4961	34851.5469	61276.8281	63133.4297
3.0687	56228.5352	67223.8125	36551.375	31502.3828	33659.2109	46285.793	50852.2227	49756.2891	42890.9453	65123.6016	67066.8281	93290.2969	48892.0312	60678.9219	46764.7461	41188.6016	56634.0898	39651.9688	49212.5859	44524.207
3.2021	53483.5742	66192.8438	46020.6914	28142.123	NaN	61697.7773	43838.0508	37741.6211	34945.8633	59948.7969	58951.2148	65707.6406	39994.9609	45054.8008	58685.5273	55939.1758	60455.6484	51614.4609	37834.8516	34908.8984
3.3355	42486.6914	53674.332	54914.2461	NaN	NaN	76067.1328	NaN	33126.7734	NaN	48078.0391	46011.3398	45514.1758	32863.0391	34659.7617	63045.1055	66034.7891	50890.2695	72310.0469	32750.4902	32866.8125
3.469	39151.5117	41448.7188	54190.3828	NaN	NaN	59762.1172	NaN	31929.3184	NaN	40701.1328	NaN	36993.2617	NaN	29768.0938	52357.5039	56123.2578	41360.0156	79465.4688	31355.2949	30887.6504
3.6024	41263.1992	37344.293	42635.125	NaN	NaN	43937.1641	NaN	29091.582	NaN	36334.2852	NaN	33970.7148	NaN	31883.9277	41127.5352	42953.5977	36315.7422	59648.7734	29882.5332	31062.9414
3.7358	46137.4375	36433.3438	35773.7812	NaN	NaN	39915.8906	NaN	NaN	NaN	NaN	NaN	34111.4102	NaN	NaN	35543.5273	36356.5273	34381.6602	43259.0078	NaN	NaN
3.8692	NaN	35285.4727	33654.4766	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35936.8633	NaN	NaN	31699.3867	NaN	33695.5586	35606.6953	NaN	NaN
4.0027	NaN	NaN	35643.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31844.0547	NaN	NaN	31646.4512	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30099.8945	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
