x	Y_20181208_15693b_12_9g	Y_20181208_15693b_6_9g
0	29803.1426	27759.502
0.1334	29574.8398	27929.125
0.2668	29329.4824	28285.4961
0.4003	30271.4668	27738.5215
0.5337	29087.6387	28573.4473
0.6671	29303.2715	28423.3418
0.8005	29252.1738	28853.8613
0.934	29490.0547	28326.1445
1.0674	29457.8262	28783.7637
1.2008	30277.8691	28634.5859
1.3342	30162.7422	29034.627
1.4676	29005.8379	29860.5957
1.6011	29021.9531	30090.5059
1.7345	29779.002	29276.375
1.8679	29155.1445	29940.207
2.0013	28558.4004	27962.7266
2.1347	28747.8887	29296.7383
2.2682	29725.7344	29919.9082
2.4016	30094.7285	28925.6484
2.535	30179.4883	28329.2305
2.6684	30787.6641	31643.5996
2.8019	31327.6797	30493.8555
2.9353	31385.6816	29941.4023
3.0687	31899.6172	31788.5996
3.2021	30891.2637	32933.4258
3.3355	33106.4375	34620.6953
3.469	36099.6094	35574.6289
3.6024	41694.0938	42891.3906
3.7358	52278.9141	58419.2617
3.8692	57774.3672	72378.8125
4.0027	52110.1211	69718.9922
4.1361	41122.9922	58987.5625
4.2695	36452.9961	NaN
4.4029	33529.0898	NaN
4.5363	32143.541	NaN
4.6698	32473.9766	NaN
4.8032	NaN	NaN
4.9366	NaN	NaN
