x	Y_20181208_15100_10_1g	Y_20181208_15100_15_2g	Y_20181208_15100_3_2g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_5_11g	Y_20181208_15100_5_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_9g	Y_20181208_15100_8_3g
0	11938.3945	12297.1299	10762.3643	10430.3027	9753.6133	12692.2764	11688.8633	9760.7168	11905.6445	10853.249
0.1334	12887.8076	13461.6787	11003.4238	11522.5967	11546.2031	12532.2715	11601.1973	10888.2881	12255.5361	10606.4316
0.2668	14734.4951	14413.9395	11844.6514	14677.9424	14055.8271	12298.1836	13309.7334	13495.6211	13969.3486	13134.8691
0.4003	15113.7021	15171.4395	12631.7168	17884.2363	15613.7578	14656.4424	14743.9834	15393.1289	18164.9316	15805.6377
0.5337	14976.5889	14858.083	14443.9678	19320.9238	16141.5596	16476.7734	18022.623	16145.5381	20588.877	16339.834
0.6671	14432.7344	14654.0303	15211.4932	18163.1094	14728.6484	19376.0859	20515.3242	14930.1895	17889.9512	16929.9746
0.8005	13853.2549	16066.375	14126.7471	16275.4531	14011.4326	18116.3633	20596.7246	14760.0449	15209.3809	15462.5098
0.934	14069.9639	15524.0166	14732.6377	15178.9219	14381.377	17025.8867	17514.2676	14179.7607	14250.8682	15589.9434
1.0674	14527.4131	15234.1533	14701.9863	15534.04	13848.6396	16814.2285	17677.1172	14265.8301	14143.7529	14960.6406
1.2008	14480.7803	15356	14528.002	14874.2158	14116.4961	17353.8887	17390.0547	13845.7139	15519.8154	14808.8779
1.3342	14457.6553	14439.6465	14455.6758	14845.0283	13814.7549	16691.6289	17672.2734	13474.3408	15915.0527	13902.8379
1.4676	14889.5479	14343.5557	14833.3652	15037.541	13805.6006	15876.8018	18429.1016	14300.6641	14831.6055	13721.4033
1.6011	15324.6982	13479.501	15252.127	14452.1982	14585.9424	15998.5723	17274.9648	14592.3945	14283.2744	12971.9678
1.7345	14870.0117	14771.3027	14521.7656	14835.002	14016.0088	16369.4395	16220.9258	14839.1777	14568.167	13841.1211
1.8679	14565.2305	15372.0654	15084.4404	15285.6367	13651.8164	16667.8008	15255.9658	16044.2471	13787.7344	14343.708
2.0013	15407.2822	14417.9785	15785.9551	14282.4375	13516.0908	16609.4297	14954.3564	14976.5518	13349.2217	15047.4355
2.1347	14666.3018	13140.6982	15520.3945	15147.0312	12961.8008	17212.3906	15556.3066	14104.2246	12818.2852	16475.9746
2.2682	14656.1416	12683.4043	14771.5381	16086.5049	13038.4463	17139.2246	15519.7158	14968.8672	12769.8887	16214.5078
2.4016	14285.3477	12950.6084	14111.6875	14965.7373	12665.5391	16452.7617	14708.6074	14588.0322	11995.1279	14780.5049
2.535	13840.7812	12750.2686	14028.8809	13497.0918	13179.334	16745.3477	14030.0615	13513.8438	12416.4854	13897.4941
2.6684	12848.0352	13354.0547	13711.8311	13153.6045	13146.2354	15014.5742	13098.8418	14320.1465	12187.7822	13277.0225
2.8019	13183.8477	13458.5205	13606.7061	12988.3047	12451.2803	14436.7217	12969.6865	12974.4414	12344.8066	11841.7432
2.9353	12536.7363	13446.877	13269.9971	12832.6953	12514.3076	13925.0498	12242.1191	13180.5488	NaN	12202.7979
3.0687	NaN	NaN	12607.5264	13404.5635	12561.2754	12928.5264	11528.3955	13502.5254	NaN	12156.0957
3.2021	NaN	NaN	NaN	NaN	NaN	12788.999	11925.4668	13377.2471	NaN	11752.5352
3.3355	NaN	NaN	NaN	NaN	NaN	13017.6016	11383.1875	NaN	NaN	11914.71
3.469	NaN	NaN	NaN	NaN	NaN	13794.6748	11520.4902	NaN	NaN	11522.125
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	11139.8574	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
